,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,お盆特選～がばい王者決定戦～1,1,4072,6.75,1,森永　淳,39,佐賀,51,A2,6.79,56.38,7.01,58.89,0.0,20.99
1,お盆特選～がばい王者決定戦～1,2,5056,6.8,3,西岡成美,24,徳島,46,B1,3.74,12.12,3.35,11.76,0.0,30.0
2,お盆特選～がばい王者決定戦～1,3,4981,6.92,2,牧山敦也,24,佐賀,50,B1,4.44,18.63,3.54,13.55,0.0,42.86
3,お盆特選～がばい王者決定戦～1,4,4552,6.81,5,杉山勝匡,31,佐賀,48,B1,4.22,23.47,4.96,38.36,0.0,33.33
4,お盆特選～がばい王者決定戦～1,5,5131,6.83,6,江藤敦宏,21,福岡,50,B2,1.12,0.0,0.0,0.0,0.0,32.91
5,お盆特選～がばい王者決定戦～1,6,5142,6.83,4,常住　蓮,19,佐賀,50,B2,2.07,0.0,1.5,0.0,0.0,33.72
6,お盆特選～がばい王者決定戦～2,1,3623,6.8,1,深川真二,46,佐賀,51,A1,7.8,62.5,7.52,67.11,0.0,36.11
7,お盆特選～がばい王者決定戦～2,2,3784,6.84,2,中島友和,43,佐賀,52,A2,5.95,45.95,6.02,40.66,0.0,38.55
8,お盆特選～がばい王者決定戦～2,3,4632,6.85,6,長尾京志,31,福岡,53,B1,4.98,25.26,0.0,0.0,0.0,31.82
9,お盆特選～がばい王者決定戦～2,4,5104,6.83,5,山田　丈,21,福岡,51,B2,1.89,0.0,0.0,0.0,0.0,32.1
10,お盆特選～がばい王者決定戦～2,5,4697,6.81,3,國弘翔平,34,福岡,50,B1,4.34,26.26,3.37,15.79,0.0,34.52
11,お盆特選～がばい王者決定戦～2,6,5118,6.89,4,野田なづ,20,佐賀,46,B2,1.29,0.0,1.0,0.0,0.0,38.96
12,お盆特選～がばい王者決定戦～3,1,4122,6.83,1,安東幸治,38,福岡,56,A2,5.59,38.46,5.74,36.17,0.0,34.88
13,お盆特選～がばい王者決定戦～3,2,5029,6.84,2,中　亮太,23,福岡,52,B1,3.3,14.29,3.63,25.0,0.0,42.86
14,お盆特選～がばい王者決定戦～3,3,4101,6.75,3,三井所尊,41,佐賀,52,A1,7.21,61.63,7.3,61.94,0.0,38.64
15,お盆特選～がばい王者決定戦～3,4,4873,6.86,4,蒲原健太,26,佐賀,52,B1,4.76,28.85,4.23,19.29,0.0,32.53
16,お盆特選～がばい王者決定戦～3,5,3211,6.84,5,北川敏弘,58,佐賀,53,B1,4.43,21.51,5.02,26.32,0.0,30.49
17,お盆特選～がばい王者決定戦～3,6,4942,6.84,6,柴田朋哉,30,福岡,52,B1,4.42,22.22,3.65,11.54,0.0,52.94
18,お盆特選～がばい王者決定戦～4,1,4222,6.8,3,山口高志,38,佐賀,51,B1,5.75,43.64,5.37,34.19,0.0,38.1
19,お盆特選～がばい王者決定戦～4,2,4822,6.78,1,百武　翔,27,佐賀,50,A2,5.43,29.21,5.41,35.59,0.0,31.08
