,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,長崎新聞社杯1,1,4004,6.95,1,山本浩輔,42,長崎,52,B1,4.09,23.08,5.54,38.41,25.0,48.48
1,長崎新聞社杯1,2,4241,6.98,2,大串重幸,35,長崎,52,B1,4.85,32.95,5.53,38.57,22.22,26.47
2,長崎新聞社杯1,3,4603,6.98,3,谷川将太,32,長崎,53,B1,4.56,27.42,4.94,28.46,40.74,47.62
3,長崎新聞社杯1,4,4213,7.01,4,重富伸也,36,長崎,54,B1,4.37,25.0,5.04,30.85,35.71,25.0
4,長崎新聞社杯1,5,4248,7.09,5,岡本　大,38,長崎,54,B1,4.63,26.53,5.3,31.58,40.0,30.3
5,長崎新聞社杯1,6,4919,7.02,6,吉田翔悟,29,長崎,52,B1,4.42,26.51,3.86,15.32,12.0,41.18
6,長崎新聞社杯2,1,3906,6.94,1,飯山晃三,42,長崎,59,B1,4.82,27.03,5.6,38.96,38.46,10.53
7,長崎新聞社杯2,2,3752,6.97,5,宇土泰就,49,福岡,54,B1,4.49,25.0,4.55,29.55,31.25,62.07
8,長崎新聞社杯2,3,5048,6.97,6,眞鳥康太,26,長崎,55,B1,2.62,7.87,2.73,3.92,23.08,43.48
9,長崎新聞社杯2,4,3151,7.0,3,落合敬一,56,長崎,56,B1,3.7,10.0,5.16,33.33,44.44,44.83
10,長崎新聞社杯2,5,3936,7.03,2,三瀬　譲,42,長崎,56,B1,4.36,22.73,4.95,29.6,29.17,17.39
11,長崎新聞社杯2,6,4747,7.01,4,山戸信二,35,長崎,51,B1,3.65,14.12,4.35,21.26,12.5,25.0
12,長崎新聞社杯3,1,4498,6.92,2,宮本夏樹,33,長崎,54,A2,5.53,30.67,5.96,41.51,22.73,19.23
13,長崎新聞社杯3,2,4315,6.95,1,山崎昂介,36,長崎,54,B1,4.39,25.29,4.73,23.36,28.57,42.11
14,長崎新聞社杯3,3,4614,6.96,6,石倉洋行,40,福岡,53,A1,6.27,45.0,6.9,56.67,20.0,42.42
15,長崎新聞社杯3,4,4164,7.0,3,岩永節也,38,長崎,52,B1,4.13,19.28,4.56,20.97,28.57,15.38
16,長崎新聞社杯3,5,4299,7.03,5,中島浩哉,37,長崎,58,B1,4.53,24.21,5.24,35.09,20.83,33.33
