,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,九州スポーツ杯1,1,3815,6.77,1,森岡満郎,44,岡山,54,A2,4.94,25.69,5.3,33.33,20.69,36.11
1,九州スポーツ杯1,2,3809,6.81,3,吉田　光,45,佐賀,50,B1,4.91,31.25,5.03,34.17,33.33,45.45
2,九州スポーツ杯1,3,3755,6.87,4,吉村和也,49,長崎,51,B1,4.43,22.67,4.28,18.52,38.46,44.55
3,九州スポーツ杯1,4,3870,6.83,6,寺嶋　雄,44,福井,51,B1,4.4,24.0,4.71,25.0,11.54,25.23
4,九州スポーツ杯1,5,4873,6.77,5,蒲原健太,26,佐賀,52,B1,4.87,28.45,4.29,20.29,25.0,30.0
5,九州スポーツ杯1,6,3044,6.88,2,三宅爾士,59,福井,58,B1,4.29,18.84,0.0,0.0,19.23,30.09
6,九州スポーツ杯2,1,4173,6.82,1,岡谷健吾,37,広島,57,A2,5.95,39.86,5.57,33.33,7.41,36.11
7,九州スポーツ杯2,2,4073,6.84,2,大橋純一,39,静岡,53,A1,6.18,41.43,7.9,71.79,42.86,34.55
8,九州スポーツ杯2,3,3950,6.9,3,石川哲秀,44,大阪,55,B1,4.23,20.41,3.75,15.0,28.57,33.96
9,九州スポーツ杯2,4,3508,6.87,5,久富政弘,49,佐賀,55,B1,4.71,30.61,5.44,34.92,12.5,37.17
10,九州スポーツ杯2,5,3883,6.84,6,山根大樹,46,広島,53,B1,3.78,16.67,5.0,25.93,41.38,33.93
11,九州スポーツ杯2,6,5138,6.88,4,村本大成,20,福岡,53,B2,1.27,0.0,0.0,0.0,14.29,29.52
12,九州スポーツ杯3,1,4357,6.77,1,田中和也,36,大阪,51,A1,7.32,60.69,5.84,35.48,50.0,34.69
13,九州スポーツ杯3,2,5121,6.83,5,定松勇樹,19,佐賀,51,B2,2.57,7.79,2.3,6.67,42.86,38.61
14,九州スポーツ杯3,3,4299,6.82,4,中島浩哉,37,長崎,57,B1,4.77,26.96,4.73,17.5,41.67,32.08
15,九州スポーツ杯3,4,4232,6.86,6,笠　雅雄,37,福岡,60,B1,3.78,19.75,3.13,6.25,41.38,21.65
16,九州スポーツ杯3,5,4448,6.8,3,青木玄太,33,滋賀,51,A2,6.69,50.41,6.16,39.47,39.29,28.71
17,九州スポーツ杯3,6,4969,6.79,2,町田洸希,29,長崎,53,B1,4.16,17.02,2.15,0.0,25.0,39.25
18,九州スポーツ杯4,1,4163,6.72,1,山崎裕司,38,広島,52,A2,5.97,41.18,5.96,34.55,53.57,29.36
19,九州スポーツ杯4,2,4503,6.86,3,上野真之,32,佐賀,51,A1,7.94,63.2,7.72,64.16,51.72,22.73
20,九州スポーツ杯4,3,4639,6.81,2,雑賀勇貴,29,大阪,52,B1,4.24,19.32,4.33,16.67,24.14,36.19
21,九州スポーツ杯4,4,4060,6.85,6,島田一生,41,福岡,55,A2,5.59,37.07,5.36,40.91,46.43,28.3
22,九州スポーツ杯4,5,3722,6.83,5,西村秀樹,50,福岡,51,B1,4.01,15.07,4.12,3.85,16.0,27.88
23,九州スポーツ杯4,6,5142,6.83,4,常住　蓮,19,佐賀,51,B2,2.09,2.27,2.0,5.88,62.96,32.14
24,九州スポーツ杯5,1,4873,6.77,1,蒲原健太,26,佐賀,52,B1,4.87,28.45,4.29,20.29,25.0,30.0
25,九州スポーツ杯5,2,4214,6.8,2,林　祐介,36,岡山,56,A2,5.75,37.14,0.0,0.0,21.74,42.59
26,九州スポーツ杯5,3,4572,6.9,6,渡部　悟,32,大阪,52,B1,5.31,32.58,4.87,33.33,16.0,42.45
27,九州スポーツ杯5,4,3300,6.84,4,川崎智幸,53,岡山,53,A2,6.03,43.48,2.85,0.0,55.17,23.85
28,九州スポーツ杯5,5,5064,6.9,5,品川二千,22,山口,50,B1,3.3,9.86,2.33,0.0,23.08,33.02
29,九州スポーツ杯5,6,4023,6.79,3,柴田友和,43,福岡,51,B1,4.23,19.15,5.03,28.95,35.71,32.69
30,九州スポーツ杯6,1,4472,6.84,4,尾嶋一広,33,兵庫,56,A1,6.45,44.59,6.08,52.0,34.48,44.95
