,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,ルーキーシリーズ第１６戦1,1,5086,6.97,4,本村　大,21,長崎,53,B2,2.25,1.75,2.16,0.0,21.21,10.0
1,ルーキーシリーズ第１６戦1,2,5002,6.95,2,上田健太,24,愛知,51,B1,4.5,25.0,0.0,0.0,26.47,16.22
2,ルーキーシリーズ第１６戦1,3,5050,6.99,3,木下雄介,25,滋賀,51,B1,2.4,1.54,0.0,0.0,30.0,21.21
3,ルーキーシリーズ第１６戦1,4,4966,6.93,1,田川大貴,22,長崎,54,B1,4.91,25.58,3.93,16.98,14.71,28.57
4,ルーキーシリーズ第１６戦1,5,5022,6.92,5,伊藤尚汰,25,福岡,48,B1,3.1,12.37,1.32,0.0,37.78,50.0
5,ルーキーシリーズ第１６戦1,6,5119,6.98,6,真田翔磨,20,福岡,53,B2,1.19,0.0,1.07,0.0,50.0,17.86
6,ルーキーシリーズ第１６戦2,1,5011,7.01,3,高木圭大,23,長崎,52,B1,3.08,6.25,2.16,4.21,17.14,25.0
7,ルーキーシリーズ第１６戦2,2,5064,6.99,5,品川二千,22,山口,51,B1,3.16,6.45,2.04,4.35,27.91,22.86
8,ルーキーシリーズ第１６戦2,3,5055,7.01,1,眞鳥章太,24,長崎,53,B1,3.63,13.41,2.24,4.0,22.22,23.26
9,ルーキーシリーズ第１６戦2,4,4957,6.97,6,竹之内極,25,福岡,56,B1,4.12,19.4,2.7,6.52,6.9,32.61
10,ルーキーシリーズ第１６戦2,5,5043,6.94,2,中村日向,21,香川,53,B1,4.45,20.55,1.13,0.0,29.41,14.29
11,ルーキーシリーズ第１６戦2,6,5101,6.96,4,表　健太,23,福岡,52,B2,1.66,1.49,0.0,0.0,25.81,35.56
12,ルーキーシリーズ第１６戦3,1,5041,6.99,1,荒牧凪沙,21,福岡,51,B1,3.7,12.24,1.74,0.0,16.67,34.04
13,ルーキーシリーズ第１６戦3,2,4902,6.97,3,山川雄大,27,兵庫,50,B1,4.26,22.62,3.11,16.67,17.95,31.11
14,ルーキーシリーズ第１６戦3,3,4960,6.93,6,黒野元基,24,愛知,53,A2,6.65,52.43,6.0,33.33,22.86,30.23
15,ルーキーシリーズ第１６戦3,4,5082,6.97,2,一色凌雅,21,愛知,56,B1,3.41,14.47,0.0,0.0,18.52,12.5
16,ルーキーシリーズ第１６戦3,5,4970,7.07,5,井町　泰,29,山口,51,B1,3.0,10.17,1.92,5.13,29.55,21.88
17,ルーキーシリーズ第１６戦3,6,4587,6.96,4,木田峰由,29,福井,53,A2,6.17,46.6,0.0,0.0,34.09,31.25
18,ルーキーシリーズ第１６戦4,1,4852,6.94,4,川原祐明,25,香川,50,A2,6.31,47.06,6.35,51.61,29.27,24.24
19,ルーキーシリーズ第１６戦4,2,4919,6.94,2,吉田翔悟,29,長崎,52,B1,4.56,26.6,3.89,15.83,52.5,36.96
20,ルーキーシリーズ第１６戦4,3,4850,6.93,3,野中一平,25,愛知,53,A1,6.17,40.18,6.67,44.44,35.71,54.76
21,ルーキーシリーズ第１６戦4,4,5090,6.99,6,生方靖亜,19,群馬,53,B1,3.26,11.25,0.0,0.0,21.21,45.0
22,ルーキーシリーズ第１６戦4,5,5008,7.01,5,羽野　諒,23,福岡,53,B1,3.02,5.38,1.98,0.0,28.0,40.48
23,ルーキーシリーズ第１６戦4,6,5032,6.98,1,谷口知優,22,香川,52,B1,3.44,16.67,1.89,2.78,14.71,31.11
24,ルーキーシリーズ第１６戦5,1,4879,6.94,1,山崎鉄平,25,佐賀,53,B1,5.61,42.59,4.84,25.81,25.0,22.73
25,ルーキーシリーズ第１６戦5,2,4888,6.9,4,金児隆太,32,群馬,49,A2,5.58,30.21,0.0,0.0,29.55,32.35
26,ルーキーシリーズ第１６戦5,3,4969,6.91,2,町田洸希,29,長崎,55,B1,3.84,12.05,2.7,9.89,33.33,25.64
27,ルーキーシリーズ第１６戦5,4,4822,6.91,6,百武　翔,27,佐賀,50,A2,5.37,28.09,0.0,0.0,39.13,35.71
28,ルーキーシリーズ第１６戦5,5,4851,6.95,3,関　浩哉,25,群馬,50,A1,6.6,50.0,6.18,36.36,7.69,31.71
29,ルーキーシリーズ第１６戦5,6,5119,6.98,5,真田翔磨,20,福岡,53,B2,1.19,0.0,1.07,0.0,50.0,17.86
30,ルーキーシリーズ第１６戦6,1,4771,6.99,1,下寺秀和,27,広島,55,A2,6.16,45.16,6.17,38.89,42.5,15.63
31,ルーキーシリーズ第１６戦6,2,4932,6.89,5,新開　航,24,福岡,50,A1,6.15,42.72,5.2,25.71,42.86,40.91
32,ルーキーシリーズ第１６戦6,3,5050,6.95,2,木下雄介,25,滋賀,51,B1,2.4,1.54,0.0,0.0,30.0,21.21
33,ルーキーシリーズ第１６戦6,4,4912,6.92,6,中山将太,24,福井,53,B1,5.34,39.08,3.67,16.67,40.0,36.96
34,ルーキーシリーズ第１６戦6,5,5101,6.97,3,表　健太,23,福岡,52,B2,1.66,1.49,0.0,0.0,25.81,35.56
35,ルーキーシリーズ第１６戦6,6,4873,6.93,4,蒲原健太,26,佐賀,52,B1,4.91,28.3,3.79,15.15,28.26,45.95
36,ルーキーシリーズ第１６戦7,1,4857,6.96,1,加藤翔馬,23,兵庫,55,A2,5.58,36.79,5.57,42.86,42.22,43.14
37,ルーキーシリーズ第１６戦7,2,5043,6.91,3,中村日向,21,香川,53,B1,4.45,20.55,1.13,0.0,29.41,14.29
38,ルーキーシリーズ第１６戦7,3,4848,6.94,4,仲谷颯仁,26,福岡,51,A1,7.86,69.61,5.92,25.0,20.93,37.84
39,ルーキーシリーズ第１６戦7,4,4933,6.95,6,板橋侑我,24,静岡,52,A2,6.01,39.47,6.12,41.18,9.38,22.22
40,ルーキーシリーズ第１６戦7,5,5086,6.94,5,本村　大,21,長崎,53,B2,2.25,1.75,2.16,0.0,21.21,10.0
41,ルーキーシリーズ第１６戦7,6,4970,6.99,2,井町　泰,29,山口,51,B1,3.0,10.17,1.92,5.13,29.55,21.88
42,ルーキーシリーズ第１６戦8,1,4828,6.91,1,松山将吾,26,滋賀,51,A2,6.15,41.67,0.0,0.0,28.13,28.57
43,ルーキーシリーズ第１６戦8,2,4960,6.91,5,黒野元基,24,愛知,53,A2,6.65,52.43,6.0,33.33,22.86,30.23
44,ルーキーシリーズ第１６戦8,3,5002,6.97,3,上田健太,24,愛知,51,B1,4.5,25.0,0.0,0.0,26.47,16.22
45,ルーキーシリーズ第１６戦8,4,5055,6.97,2,眞鳥章太,24,長崎,53,B1,3.63,13.41,2.24,4.0,22.22,23.26
46,ルーキーシリーズ第１６戦8,5,5016,6.92,6,宮田龍馬,22,兵庫,51,B1,3.0,6.67,0.0,0.0,58.14,27.03
47,ルーキーシリーズ第１６戦8,6,4939,6.93,4,宮之原輝,22,東京,50,A1,6.39,47.19,6.42,52.63,37.5,35.56
48,ルーキーシリーズ第１６戦9,1,4989,6.9,5,石原　翼,23,静岡,52,B1,4.94,29.27,5.2,40.0,40.91,25.0
49,ルーキーシリーズ第１６戦9,2,4919,6.93,4,吉田翔悟,29,長崎,52,B1,4.56,26.6,3.89,15.83,52.5,36.96
50,ルーキーシリーズ第１６戦9,3,4847,6.99,1,佐藤隆太,26,東京,51,A1,6.4,47.13,6.46,54.17,34.21,20.0
51,ルーキーシリーズ第１６戦9,4,4888,6.92,6,金児隆太,32,群馬,49,A2,5.58,30.21,0.0,0.0,29.55,32.35
52,ルーキーシリーズ第１６戦9,5,4587,6.92,3,木田峰由,29,福井,53,A2,6.17,46.6,0.0,0.0,34.09,31.25
53,ルーキーシリーズ第１６戦9,6,4820,6.91,2,上野　励,28,福岡,56,B1,3.54,15.38,2.88,12.5,38.1,19.35
54,ルーキーシリーズ第１６戦10,1,5028,6.96,2,原田才一,23,福岡,52,B1,5.15,35.79,3.25,16.67,34.69,30.43
55,ルーキーシリーズ第１６戦10,2,4857,6.99,3,加藤翔馬,23,兵庫,55,A2,5.58,36.79,5.57,42.86,42.22,43.14
56,ルーキーシリーズ第１６戦10,3,4850,6.97,5,野中一平,25,愛知,53,A1,6.17,40.18,6.67,44.44,35.71,54.76
57,ルーキーシリーズ第１６戦10,4,4932,6.88,1,新開　航,24,福岡,50,A1,6.15,42.72,5.2,25.71,42.86,40.91
58,ルーキーシリーズ第１６戦10,5,4902,6.98,4,山川雄大,27,兵庫,50,B1,4.26,22.62,3.11,16.67,17.95,31.11
59,ルーキーシリーズ第１６戦10,6,4822,6.92,6,百武　翔,27,佐賀,50,A2,5.37,28.09,0.0,0.0,39.13,35.71
60,ルーキーシリーズ第１６戦11,1,4851,6.91,1,関　浩哉,25,群馬,50,A1,6.6,50.0,6.18,36.36,7.69,31.71
61,ルーキーシリーズ第１６戦11,2,4771,6.93,2,下寺秀和,27,広島,55,A2,6.16,45.16,6.17,38.89,42.5,15.63
62,ルーキーシリーズ第１６戦11,3,4828,6.89,5,松山将吾,26,滋賀,51,A2,6.15,41.67,0.0,0.0,28.13,28.57
63,ルーキーシリーズ第１６戦11,4,4873,6.92,3,蒲原健太,26,佐賀,52,B1,4.91,28.3,3.79,15.15,28.26,45.95
64,ルーキーシリーズ第１６戦11,5,4848,6.88,6,仲谷颯仁,26,福岡,51,A1,7.86,69.61,5.92,25.0,20.93,37.84
65,ルーキーシリーズ第１６戦11,6,4957,6.96,4,竹之内極,25,福岡,56,B1,4.12,19.4,2.7,6.52,6.9,32.61
