レースID,順位,選手登番,展示,天候,風向,風速,波高,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-09-10大　村ルーキーシリーズ第１６戦1R,1,4957,7.0,晴,西,1,1,5,竹之内極,25,福岡,56,B1,4.12,19.4,2.7,6.52,6.9,32.61
2020-09-10大　村ルーキーシリーズ第１６戦1R,2,5011,6.99,晴,西,1,1,1,高木圭大,23,長崎,52,B1,3.08,6.25,2.16,4.21,17.14,25.0
2020-09-10大　村ルーキーシリーズ第１６戦1R,3,5032,6.96,晴,西,1,1,2,谷口知優,22,香川,52,B1,3.44,16.67,1.89,2.78,14.71,31.11
2020-09-10大　村ルーキーシリーズ第１６戦1R,4,4970,7.01,晴,西,1,1,3,井町　泰,29,山口,51,B1,3.0,10.17,1.92,5.13,29.55,21.88
2020-09-10大　村ルーキーシリーズ第１６戦1R,5,5086,7.02,晴,西,1,1,4,本村　大,21,長崎,53,B2,2.25,1.75,2.16,0.0,21.21,10.0
2020-09-10大　村ルーキーシリーズ第１６戦1R,6,5022,6.92,晴,西,1,1,6,伊藤尚汰,25,福岡,48,B1,3.1,12.37,1.32,0.0,37.78,50.0
2020-09-10大　村ルーキーシリーズ第１６戦2R,1,4873,6.98,晴,西,1,1,2,蒲原健太,26,佐賀,52,B1,4.91,28.3,3.79,15.15,28.26,45.95
2020-09-10大　村ルーキーシリーズ第１６戦2R,2,4969,6.96,晴,西,1,1,1,町田洸希,29,長崎,55,B1,3.84,12.05,2.7,9.89,33.33,25.64
2020-09-10大　村ルーキーシリーズ第１６戦2R,3,4966,6.99,晴,西,1,1,3,田川大貴,22,長崎,54,B1,4.91,25.58,3.93,16.98,14.71,28.57
2020-09-10大　村ルーキーシリーズ第１６戦2R,4,4820,6.96,晴,西,1,1,5,上野　励,28,福岡,56,B1,3.54,15.38,2.88,12.5,38.1,19.35
2020-09-10大　村ルーキーシリーズ第１６戦2R,5,5119,6.99,晴,西,1,1,6,真田翔磨,20,福岡,53,B2,1.19,0.0,1.07,0.0,50.0,17.86
2020-09-10大　村ルーキーシリーズ第１６戦2R,6,5090,7.01,晴,西,1,1,4,生方靖亜,19,群馬,53,B1,3.26,11.25,0.0,0.0,21.21,45.0
2020-09-10大　村ルーキーシリーズ第１６戦3R,1,4989,6.89,晴,北西,1,1,2,石原　翼,23,静岡,52,B1,4.94,29.27,5.2,40.0,40.91,25.0
2020-09-10大　村ルーキーシリーズ第１６戦3R,2,5064,7.0,晴,北西,1,1,5,品川二千,22,山口,51,B1,3.16,6.45,2.04,4.35,27.91,22.86
2020-09-10大　村ルーキーシリーズ第１６戦3R,3,4912,6.92,晴,北西,1,1,6,中山将太,24,福井,53,B1,5.34,39.08,3.67,16.67,40.0,36.96
2020-09-10大　村ルーキーシリーズ第１６戦3R,4,4851,6.99,晴,北西,1,1,4,関　浩哉,25,群馬,50,A1,6.6,50.0,6.18,36.36,7.69,31.71
2020-09-10大　村ルーキーシリーズ第１６戦3R,5,5082,7.02,晴,北西,1,1,1,一色凌雅,21,愛知,56,B1,3.41,14.47,0.0,0.0,18.52,12.5
2020-09-10大　村ルーキーシリーズ第１６戦3R,6,5041,6.96,晴,北西,1,1,3,荒牧凪沙,21,福岡,51,B1,3.7,12.24,1.74,0.0,16.67,34.04
2020-09-10大　村ルーキーシリーズ第１６戦4R,1,4933,6.98,晴,北,2,1,2,板橋侑我,24,静岡,52,A2,6.01,39.47,6.12,41.18,9.38,22.22
2020-09-10大　村ルーキーシリーズ第１６戦4R,2,4919,6.97,晴,北,2,1,4,吉田翔悟,29,長崎,52,B1,4.56,26.6,3.89,15.83,52.5,36.96
2020-09-10大　村ルーキーシリーズ第１６戦4R,3,5016,6.93,晴,北,2,1,5,宮田龍馬,22,兵庫,51,B1,3.0,6.67,0.0,0.0,58.14,27.03
2020-09-10大　村ルーキーシリーズ第１６戦4R,4,5101,6.95,晴,北,2,1,6,表　健太,23,福岡,52,B2,1.66,1.49,0.0,0.0,25.81,35.56
2020-09-10大　村ルーキーシリーズ第１６戦5R,1,5028,6.94,晴,北西,1,1,1,原田才一,23,福岡,52,B1,5.15,35.79,3.25,16.67,34.69,30.43
2020-09-10大　村ルーキーシリーズ第１６戦5R,2,4850,6.91,晴,北西,1,1,4,野中一平,25,愛知,53,A1,6.17,40.18,6.67,44.44,35.71,54.76
2020-09-10大　村ルーキーシリーズ第１６戦5R,3,5050,6.94,晴,北西,1,1,2,木下雄介,25,滋賀,51,B1,2.4,1.54,0.0,0.0,30.0,21.21
2020-09-10大　村ルーキーシリーズ第１６戦5R,4,5011,6.9,晴,北西,1,1,5,高木圭大,23,長崎,52,B1,3.08,6.25,2.16,4.21,17.14,25.0
2020-09-10大　村ルーキーシリーズ第１６戦5R,5,4902,6.92,晴,北西,1,1,6,山川雄大,27,兵庫,50,B1,4.26,22.62,3.11,16.67,17.95,31.11
2020-09-10大　村ルーキーシリーズ第１６戦5R,6,4771,6.91,晴,北西,1,1,3,下寺秀和,27,広島,55,A2,6.16,45.16,6.17,38.89,42.5,15.63
2020-09-10大　村ルーキーシリーズ第１６戦6R,1,4888,6.92,晴,北西,1,1,1,金児隆太,32,群馬,49,A2,5.58,30.21,0.0,0.0,29.55,32.35
2020-09-10大　村ルーキーシリーズ第１６戦6R,2,4857,6.92,晴,北西,1,1,2,加藤翔馬,23,兵庫,55,A2,5.58,36.79,5.57,42.86,42.22,43.14
2020-09-10大　村ルーキーシリーズ第１６戦6R,3,4932,6.87,晴,北西,1,1,4,新開　航,24,福岡,50,A1,6.15,42.72,5.2,25.71,42.86,40.91
