レースID,順位,選手登番,展示,天候,風向,風速,波高,会場,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-08-09大　村長崎新聞社杯1R,1,4919,7.02,晴,南,5,4,大　村,4,吉田翔悟,29,長崎,52,B1,4.42,26.51,3.86,15.32,12.0,41.18
2020-08-09大　村長崎新聞社杯1R,2,4004,7.06,晴,南,5,4,大　村,1,山本浩輔,42,長崎,52,B1,4.09,23.08,5.54,38.41,25.0,48.48
2020-08-09大　村長崎新聞社杯1R,3,4164,6.99,晴,南,5,4,大　村,2,岩永節也,38,長崎,52,B1,4.13,19.28,4.56,20.97,28.57,15.38
2020-08-09大　村長崎新聞社杯1R,4,4241,7.15,晴,南,5,4,大　村,6,大串重幸,35,長崎,52,B1,4.85,32.95,5.53,38.57,22.22,26.47
2020-08-09大　村長崎新聞社杯1R,5,3843,7.05,晴,南,5,4,大　村,5,上之晃弘,44,長崎,52,B1,4.1,23.46,5.95,42.76,0.0,38.71
2020-08-09大　村長崎新聞社杯1R,6,4213,7.06,晴,南,5,4,大　村,3,重富伸也,36,長崎,54,B1,4.37,25.0,5.04,30.85,35.71,25.0
2020-08-09大　村長崎新聞社杯2R,1,4498,7.05,晴,南,6,5,大　村,2,宮本夏樹,33,長崎,54,A2,5.53,30.67,5.96,41.51,22.73,19.23
2020-08-09大　村長崎新聞社杯2R,2,4315,7.16,晴,南,6,5,大　村,3,山崎昂介,36,長崎,54,B1,4.39,25.29,4.73,23.36,28.57,42.11
2020-08-09大　村長崎新聞社杯2R,3,4248,7.33,晴,南,6,5,大　村,6,岡本　大,38,長崎,54,B1,4.63,26.53,5.3,31.58,40.0,30.3
2020-08-09大　村長崎新聞社杯2R,4,3936,7.09,晴,南,6,5,大　村,1,三瀬　譲,42,長崎,56,B1,4.36,22.73,4.95,29.6,29.17,17.39
2020-08-09大　村長崎新聞社杯2R,5,4747,7.23,晴,南,6,5,大　村,5,山戸信二,35,長崎,51,B1,3.65,14.12,4.35,21.26,12.5,25.0
2020-08-09大　村長崎新聞社杯2R,6,4614,7.11,晴,南,6,5,大　村,4,石倉洋行,40,福岡,53,A1,6.27,45.0,6.9,56.67,20.0,42.42
2020-08-09大　村長崎新聞社杯3R,1,3944,7.09,曇り ,南,6,5,大　村,4,山口裕二,41,長崎,53,A1,6.35,40.31,7.51,61.66,8.33,4.76
2020-08-09大　村長崎新聞社杯3R,2,3349,7.08,曇り ,南,6,5,大　村,3,吉田一郎,52,長崎,51,A2,6.37,52.0,6.94,55.3,33.33,37.5
2020-08-09大　村長崎新聞社杯3R,3,5081,7.09,曇り ,南,6,5,大　村,5,篠原飛翔,21,福岡,51,B2,2.15,1.39,1.48,0.0,51.85,28.0
2020-08-09大　村長崎新聞社杯3R,4,3151,7.06,曇り ,南,6,5,大　村,1,落合敬一,56,長崎,56,B1,3.7,10.0,5.16,33.33,44.44,44.83
2020-08-09大　村長崎新聞社杯3R,5,3906,7.1,曇り ,南,6,5,大　村,6,飯山晃三,42,長崎,59,B1,4.82,27.03,5.6,38.96,38.46,10.53
2020-08-09大　村長崎新聞社杯3R,6,5009,7.08,曇り ,南,6,5,大　村,2,大賀龍之,23,福岡,56,B1,3.77,14.89,1.4,0.0,9.52,13.64
2020-08-09大　村長崎新聞社杯4R,1,4948,7.08,雨,南,5,4,大　村,1,木場悠介,27,長崎,52,B1,4.73,30.91,4.23,18.03,59.26,41.18
2020-08-09大　村長崎新聞社杯4R,2,4497,7.16,雨,南,5,4,大　村,2,桑原　悠,33,長崎,50,A1,6.54,41.07,7.41,60.81,4.0,21.43
2020-08-09大　村長崎新聞社杯4R,3,4299,7.16,雨,南,5,4,大　村,3,中島浩哉,37,長崎,58,B1,4.53,24.21,5.24,35.09,20.83,33.33
2020-08-09大　村長崎新聞社杯4R,4,4523,7.37,雨,南,5,4,大　村,5,中村辰也,32,長崎,51,A2,5.4,39.51,6.05,41.26,31.03,52.94
2020-08-09大　村長崎新聞社杯4R,5,3670,7.23,雨,南,5,4,大　村,6,古澤信二,48,福岡,56,B1,4.78,28.81,5.05,30.23,17.24,34.48
2020-08-09大　村長崎新聞社杯4R,6,5071,7.15,雨,南,5,4,大　村,4,野見山拓,26,福岡,51,B2,2.02,5.88,1.61,0.0,40.0,20.69
2020-08-09大　村長崎新聞社杯5R,1,4164,7.19,雨,南西,3,2,大　村,3,岩永節也,38,長崎,52,B1,4.13,19.28,4.56,20.97,28.57,15.38
2020-08-09大　村長崎新聞社杯5R,2,3779,7.08,雨,南西,3,2,大　村,5,原田幸哉,44,長崎,52,A1,7.18,53.33,8.28,71.34,39.29,16.0
2020-08-09大　村長崎新聞社杯5R,3,4640,7.15,雨,南西,3,2,大　村,2,山ノ内雅,29,福岡,55,A2,5.21,36.08,5.47,38.24,50.0,18.18
2020-08-09大　村長崎新聞社杯5R,4,4553,7.07,雨,南西,3,2,大　村,6,坪口竜也,31,長崎,53,A2,5.49,32.38,5.95,39.13,35.71,18.18
2020-08-09大　村長崎新聞社杯5R,5,3491,7.12,雨,南西,3,2,大　村,1,富永　茂,52,福岡,51,B1,4.09,15.31,3.93,15.22,5.56,56.25
2020-08-09大　村長崎新聞社杯5R,6,5048,7.13,雨,南西,3,2,大　村,4,眞鳥康太,26,長崎,55,B1,2.62,7.87,2.73,3.92,23.08,43.48
2020-08-09大　村長崎新聞社杯6R,1,4193,6.95,曇り ,南西,2,1,大　村,4,郷原章平,38,福岡,53,A1,6.47,52.94,6.17,55.56,53.85,69.57
2020-08-09大　村長崎新聞社杯6R,2,4259,7.03,曇り ,南西,2,1,大　村,1,真庭明志,36,長崎,52,A2,5.83,41.98,5.92,42.04,22.22,39.13
2020-08-09大　村長崎新聞社杯6R,3,4174,7.04,曇り ,南西,2,1,大　村,6,赤坂俊輔,37,長崎,50,A1,7.7,61.26,7.39,60.22,24.24,37.93
2020-08-09大　村長崎新聞社杯6R,4,4004,7.01,曇り ,南西,2,1,大　村,5,山本浩輔,42,長崎,52,B1,4.09,23.08,5.54,38.41,25.0,48.48
2020-08-09大　村長崎新聞社杯6R,5,3527,7.04,曇り ,南西,2,1,大　村,3,中嶋誠一,49,長崎,50,A2,6.1,39.29,6.43,48.36,26.47,40.48
2020-08-09大　村長崎新聞社杯6R,6,4603,6.98,曇り ,南西,2,1,大　村,2,谷川将太,32,長崎,53,B1,4.56,27.42,4.94,28.46,40.74,47.62
2020-08-09大　村長崎新聞社杯7R,1,4171,7.02,曇り ,無風,0,0,大　村,1,榎　幸司,37,長崎,51,A2,6.65,51.18,7.12,57.21,27.78,28.57
2020-08-09大　村長崎新聞社杯7R,2,4551,6.96,曇り ,無風,0,0,大　村,4,三川昂暁,31,福岡,55,A1,5.83,40.16,5.81,42.31,27.27,25.0
2020-08-09大　村長崎新聞社杯7R,3,4070,6.91,曇り ,無風,0,0,大　村,5,中村亮太,39,長崎,50,A2,6.75,49.56,7.08,60.0,27.27,41.18
2020-08-09大　村長崎新聞社杯7R,4,4241,7.02,曇り ,無風,0,0,大　村,3,大串重幸,35,長崎,52,B1,4.85,32.95,5.53,38.57,22.22,26.47
2020-08-09大　村長崎新聞社杯7R,5,3906,6.96,曇り ,無風,0,0,大　村,2,飯山晃三,42,長崎,59,B1,4.82,27.03,5.6,38.96,38.46,10.53
2020-08-09大　村長崎新聞社杯7R,6,5009,7.01,曇り ,無風,0,0,大　村,6,大賀龍之,23,福岡,56,B1,3.77,14.89,1.4,0.0,9.52,13.64
2020-08-09大　村長崎新聞社杯8R,1,4352,6.94,曇り ,北,1,1,大　村,5,下條雄太,34,長崎,52,A1,7.06,55.45,7.4,57.14,37.84,35.29
2020-08-09大　村長崎新聞社杯8R,2,4715,6.92,曇り ,北,1,1,大　村,1,村上　遼,28,長崎,51,A2,6.46,45.56,6.29,47.13,20.83,30.3
2020-08-09大　村長崎新聞社杯8R,3,4614,6.98,曇り ,北,1,1,大　村,3,石倉洋行,40,福岡,53,A1,6.27,45.0,6.9,56.67,20.0,42.42
2020-08-09大　村長崎新聞社杯8R,4,4213,6.94,曇り ,北,1,1,大　村,6,重富伸也,36,長崎,54,B1,4.37,25.0,5.04,30.85,35.71,25.0
2020-08-09大　村長崎新聞社杯8R,5,4299,6.94,曇り ,北,1,1,大　村,2,中島浩哉,37,長崎,58,B1,4.53,24.21,5.24,35.09,20.83,33.33
2020-08-09大　村長崎新聞社杯9R,1,3662,6.94,晴,無風,0,0,大　村,1,大庭元明,50,福岡,55,A1,6.2,48.82,5.67,44.9,42.11,34.38
2020-08-09大　村長崎新聞社杯9R,2,4497,6.95,晴,無風,0,0,大　村,5,桑原　悠,33,長崎,50,A1,6.54,41.07,7.41,60.81,4.0,21.43
2020-08-09大　村長崎新聞社杯9R,3,5048,6.94,晴,無風,0,0,大　村,6,眞鳥康太,26,長崎,55,B1,2.62,7.87,2.73,3.92,23.08,43.48
2020-08-09大　村長崎新聞社杯9R,4,3151,6.94,晴,無風,0,0,大　村,4,落合敬一,56,長崎,56,B1,3.7,10.0,5.16,33.33,44.44,44.83
2020-08-09大　村長崎新聞社杯9R,5,4248,6.99,晴,無風,0,0,大　村,3,岡本　大,38,長崎,54,B1,4.63,26.53,5.3,31.58,40.0,30.3
2020-08-09大　村長崎新聞社杯9R,6,4424,6.9,晴,無風,0,0,大　村,2,松尾昂明,35,福岡,50,A2,6.21,48.09,6.8,46.67,22.73,14.29
2020-08-09大　村長崎新聞社杯10R,1,3944,6.91,晴,南,1,1,大　村,1,山口裕二,41,長崎,53,A1,6.35,40.31,7.51,61.66,8.33,4.76
2020-08-09大　村長崎新聞社杯10R,2,3777,6.95,晴,南,1,1,大　村,2,樋口　亮,45,長崎,51,B1,5.64,40.0,6.27,47.48,33.33,25.93
2020-08-09大　村長崎新聞社杯10R,3,4174,6.99,晴,南,1,1,大　村,3,赤坂俊輔,37,長崎,50,A1,7.7,61.26,7.39,60.22,24.24,37.93
2020-08-09大　村長崎新聞社杯10R,4,4070,6.98,晴,南,1,1,大　村,4,中村亮太,39,長崎,50,A2,6.75,49.56,7.08,60.0,27.27,41.18
2020-08-09大　村長崎新聞社杯10R,5,4096,6.98,晴,南,1,1,大　村,5,石橋道友,38,長崎,53,A1,6.32,45.16,7.19,59.38,26.09,41.18
2020-08-09大　村長崎新聞社杯10R,6,4603,6.94,晴,南,1,1,大　村,6,谷川将太,32,長崎,53,B1,4.56,27.42,4.94,28.46,40.74,47.62
2020-08-09大　村長崎新聞社杯11R,1,4715,6.98,晴,南東,1,1,大　村,3,村上　遼,28,長崎,51,A2,6.46,45.56,6.29,47.13,20.83,30.3
2020-08-09大　村長崎新聞社杯11R,2,4504,6.96,晴,南東,1,1,大　村,6,前田将太,32,福岡,54,A1,7.51,59.59,6.41,40.74,27.59,13.04
2020-08-09大　村長崎新聞社杯11R,3,3752,6.94,晴,南東,1,1,大　村,5,宇土泰就,49,福岡,54,B1,4.49,25.0,4.55,29.55,31.25,62.07
2020-08-09大　村長崎新聞社杯11R,4,3349,6.99,晴,南東,1,1,大　村,4,吉田一郎,52,長崎,51,A2,6.37,52.0,6.94,55.3,33.33,37.5
2020-08-09大　村長崎新聞社杯11R,5,3779,6.95,晴,南東,1,1,大　村,1,原田幸哉,44,長崎,52,A1,7.18,53.33,8.28,71.34,39.29,16.0
2020-08-09大　村長崎新聞社杯11R,6,3527,6.99,晴,南東,1,1,大　村,2,中嶋誠一,49,長崎,50,A2,6.1,39.29,6.43,48.36,26.47,40.48
2020-08-09大　村長崎新聞社杯12R,1,4352,6.97,晴,東,1,1,大　村,1,下條雄太,34,長崎,52,A1,7.06,55.45,7.4,57.14,37.84,35.29
2020-08-09大　村長崎新聞社杯12R,2,4523,6.94,晴,東,1,1,大　村,6,中村辰也,32,長崎,51,A2,5.4,39.51,6.05,41.26,31.03,52.94
2020-08-09大　村長崎新聞社杯12R,3,4553,6.93,晴,東,1,1,大　村,2,坪口竜也,31,長崎,53,A2,5.49,32.38,5.95,39.13,35.71,18.18
2020-08-09大　村長崎新聞社杯12R,4,4193,6.88,晴,東,1,1,大　村,3,郷原章平,38,福岡,53,A1,6.47,52.94,6.17,55.56,53.85,69.57
2020-08-09大　村長崎新聞社杯12R,5,4551,6.96,晴,東,1,1,大　村,5,三川昂暁,31,福岡,55,A1,5.83,40.16,5.81,42.31,27.27,25.0
2020-08-09大　村長崎新聞社杯12R,6,4424,6.94,晴,東,1,1,大　村,4,松尾昂明,35,福岡,50,A2,6.21,48.09,6.8,46.67,22.73,14.29
2020-08-09芦　屋ＲＫＢラジオ杯1R,1,3872,6.88,晴,南,2,2,芦　屋,1,岡田憲行,44,大阪,52,A1,6.33,49.57,6.65,55.0,36.96,37.14
2020-08-09芦　屋ＲＫＢラジオ杯1R,2,4588,6.92,晴,南,2,2,芦　屋,4,田中京介,29,福岡,57,B1,4.71,30.69,4.27,22.92,29.55,35.0
2020-08-09芦　屋ＲＫＢラジオ杯1R,3,3444,6.84,晴,南,2,2,芦　屋,3,香月大介,50,福岡,52,B1,4.0,17.81,4.8,26.67,17.65,41.18
