レースID,順位,選手登番,展示,天候,風向,風速,波高,会場,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-08-03唐　津トータリゼータエンジニアリング杯1R,1,3527,6.77,晴,南西,4,4,唐　津,1,中嶋誠一,49,長崎,51,A2,6.01,38.52,5.29,34.29,33.18,32.05
2020-08-03唐　津トータリゼータエンジニアリング杯1R,2,4866,6.75,晴,南西,4,4,唐　津,3,橋本英一,30,福岡,53,B2,3.92,18.75,3.64,0.0,41.3,34.29
2020-08-03唐　津トータリゼータエンジニアリング杯1R,3,4855,6.77,晴,南西,4,4,唐　津,2,江頭賢太,24,長崎,53,B1,3.61,13.33,4.41,22.22,31.84,40.24
2020-08-03唐　津トータリゼータエンジニアリング杯1R,4,5105,6.69,晴,南西,4,4,唐　津,5,富田恕生,21,福岡,53,B2,1.38,0.0,0.0,0.0,38.24,41.77
2020-08-03唐　津トータリゼータエンジニアリング杯1R,5,3234,6.78,晴,南西,4,4,唐　津,4,金森史吉,53,香川,55,B1,3.59,17.76,4.6,26.67,27.83,35.14
2020-08-03唐　津トータリゼータエンジニアリング杯1R,6,3506,6.82,晴,南西,4,4,唐　津,6,宮西真昭,49,佐賀,52,B1,3.32,10.0,4.43,19.17,41.63,38.67
2020-08-03唐　津トータリゼータエンジニアリング杯2R,1,4027,6.73,晴,南西,4,4,唐　津,1,松江秀徳,42,佐賀,53,A2,5.93,39.42,6.66,50.92,35.1,27.85
2020-08-03唐　津トータリゼータエンジニアリング杯2R,2,3876,6.75,晴,南西,4,4,唐　津,2,中辻崇人,43,福岡,52,A1,7.03,56.52,7.54,64.29,33.03,38.96
2020-08-03唐　津トータリゼータエンジニアリング杯2R,3,4654,6.73,晴,南西,4,4,唐　津,3,篠田優也,34,兵庫,54,B1,5.16,34.02,0.0,0.0,32.88,25.32
2020-08-03唐　津トータリゼータエンジニアリング杯2R,4,3709,6.76,晴,南西,4,4,唐　津,4,田中浩之,46,山口,52,B1,3.53,15.96,3.5,14.29,36.68,23.29
2020-08-03唐　津トータリゼータエンジニアリング杯2R,5,4393,6.82,晴,南西,4,4,唐　津,6,田中孝明,34,福岡,56,B1,4.58,24.68,6.31,46.67,37.45,41.77
2020-08-03唐　津トータリゼータエンジニアリング杯2R,6,5085,6.77,晴,南西,4,4,唐　津,5,中村栄治,21,福井,53,B1,2.35,4.17,0.0,0.0,34.35,42.42
2020-08-03唐　津トータリゼータエンジニアリング杯3R,1,4000,6.73,晴,南,4,4,唐　津,1,松本博昭,43,広島,55,A2,5.85,39.52,6.19,41.86,29.07,31.08
2020-08-03唐　津トータリゼータエンジニアリング杯3R,2,3508,6.66,晴,南,4,4,唐　津,4,久富政弘,48,佐賀,53,B1,4.65,30.0,5.29,32.0,33.62,41.77
2020-08-03唐　津トータリゼータエンジニアリング杯3R,3,3514,6.7,晴,南,4,4,唐　津,3,山一鉄也,53,福岡,51,A1,6.61,51.15,5.9,41.94,26.91,37.84
2020-08-03唐　津トータリゼータエンジニアリング杯3R,4,4374,6.79,晴,南,4,4,唐　津,2,永田義紘,36,広島,50,B1,4.94,33.33,4.43,17.86,32.48,39.51
2020-08-03唐　津トータリゼータエンジニアリング杯3R,5,3108,6.74,晴,南,4,4,唐　津,5,松本真吾,56,徳島,50,B1,3.51,15.53,2.85,5.88,29.2,44.59
2020-08-03唐　津トータリゼータエンジニアリング杯3R,6,3246,6.76,晴,南,4,4,唐　津,6,星野政彦,55,兵庫,53,B1,4.96,28.45,5.45,28.57,32.13,29.17
2020-08-03唐　津トータリゼータエンジニアリング杯4R,1,4154,6.73,晴,南,4,4,唐　津,1,森安弘雅,40,香川,52,A2,5.65,38.57,5.7,50.0,34.53,36.99
2020-08-03唐　津トータリゼータエンジニアリング杯4R,2,4102,6.75,晴,南,4,4,唐　津,3,益田啓司,41,福岡,52,A1,6.4,46.03,6.45,52.5,34.13,31.94
2020-08-03唐　津トータリゼータエンジニアリング杯4R,3,4879,6.76,晴,南,4,4,唐　津,2,山崎鉄平,25,佐賀,53,B1,5.45,37.84,4.54,23.57,28.83,38.46
2020-08-03唐　津トータリゼータエンジニアリング杯4R,4,4022,6.78,晴,南,4,4,唐　津,5,待鳥雄紀,40,福岡,56,A2,6.0,36.89,5.91,41.82,33.33,23.68
2020-08-03唐　津トータリゼータエンジニアリング杯4R,5,3273,6.73,晴,南,4,4,唐　津,4,石田　豪,54,広島,51,B1,4.75,29.23,4.74,29.41,33.62,22.67
2020-08-03唐　津トータリゼータエンジニアリング杯4R,6,4232,6.81,晴,南,4,4,唐　津,6,笠　雅雄,37,福岡,61,B1,3.64,16.05,3.43,14.29,29.49,35.06
2020-08-03唐　津トータリゼータエンジニアリング杯5R,1,3711,6.76,晴,南西,4,4,唐　津,2,江本真治,45,山口,52,A2,6.01,40.0,5.17,35.19,49.34,34.21
