,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,ニッカン・コム杯1,1,4241,6.93,1,大串重幸,35,長崎,52,B1,4.69,26.8,5.46,36.99,56.1,41.86
1,ニッカン・コム杯1,2,3663,7.0,6,木山和幸,50,広島,50,B1,4.95,25.89,4.75,25.0,18.6,40.82
2,ニッカン・コム杯1,3,4841,7.01,2,高橋悠花,28,岡山,47,B2,4.06,22.64,4.04,26.09,33.33,29.79
3,ニッカン・コム杯1,4,4299,7.03,3,中島浩哉,37,長崎,57,B1,4.79,27.1,5.16,34.15,31.48,25.81
4,ニッカン・コム杯1,5,4107,7.0,4,吉村茂樹,40,群馬,64,B1,3.52,15.09,5.0,40.0,33.33,15.91
5,ニッカン・コム杯1,6,5052,6.99,5,赤井星璃,25,大阪,50,B2,1.79,0.0,1.53,0.0,38.64,33.33
6,ニッカン・コム杯2,1,4329,6.99,1,小松卓司,37,福岡,50,B1,5.36,32.43,3.88,12.5,40.0,9.76
7,ニッカン・コム杯2,2,4034,6.97,2,西原明生,41,香川,54,B1,4.74,27.08,3.17,17.24,34.62,39.22
8,ニッカン・コム杯2,3,4574,7.04,3,東　潤樹,32,広島,51,B1,5.33,31.07,5.8,40.0,34.78,22.92
9,ニッカン・コム杯2,4,4089,6.98,6,妹尾忠幸,40,岡山,54,A2,5.95,35.79,6.38,37.5,19.44,29.79
10,ニッカン・コム杯2,5,4006,6.99,5,小野勇作,42,佐賀,50,A1,6.1,45.35,5.84,39.53,33.33,10.0
11,ニッカン・コム杯2,6,4273,6.99,4,佐藤　旭,38,静岡,52,B1,5.05,29.59,4.43,17.86,25.0,54.72
12,ニッカン・コム杯3,1,4352,6.95,2,下條雄太,34,長崎,51,A1,6.95,52.71,7.43,56.97,29.79,43.14
13,ニッカン・コム杯3,2,3289,6.94,6,高橋淳美,57,大阪,47,B1,4.78,34.57,3.81,19.05,39.58,34.0
14,ニッカン・コム杯3,3,4441,6.96,3,末永由楽,34,岡山,51,A1,6.08,41.98,5.74,35.48,35.09,38.3
15,ニッカン・コム杯3,4,3604,6.96,1,武藤綾子,49,福岡,48,B1,4.88,21.98,5.11,25.53,42.86,13.51
16,ニッカン・コム杯3,5,4383,7.02,4,竹田吉行,35,徳島,51,B1,5.34,31.03,6.17,50.0,18.42,33.33
17,ニッカン・コム杯3,6,3878,6.95,5,胡本悟志,43,山口,51,B1,4.64,27.78,3.75,12.5,42.55,19.57
18,ニッカン・コム杯4,1,4695,6.92,1,尾崎雄二,34,長崎,52,B1,4.24,20.41,5.08,34.29,45.1,19.05
19,ニッカン・コム杯4,2,4120,6.97,2,柘植政浩,39,滋賀,52,A2,5.47,37.19,6.86,50.0,27.27,45.45
20,ニッカン・コム杯4,3,4580,6.97,3,長谷川雅,31,岡山,50,A1,6.24,38.46,6.26,43.86,27.91,27.78
21,ニッカン・コム杯4,4,3435,6.94,6,寺田千恵,51,岡山,46,A1,6.2,45.71,7.53,60.0,48.89,29.27
22,ニッカン・コム杯4,5,4724,6.92,4,吉田祐貴,34,佐賀,51,B1,4.65,25.53,3.64,14.29,35.71,17.65
23,ニッカン・コム杯4,6,3773,6.95,5,津留浩一,46,長崎,55,B1,4.71,27.54,5.61,37.89,27.91,26.19
24,ニッカン・コム杯5,1,4207,6.99,2,松下一也,37,静岡,53,A2,6.59,55.24,5.64,33.33,36.0,42.22
25,ニッカン・コム杯5,2,4094,6.93,4,中島真二,39,福岡,51,B1,4.52,17.53,4.77,26.92,11.63,44.68
26,ニッカン・コム杯5,3,3290,6.99,6,倉谷和信,56,大阪,53,A1,6.41,50.0,6.9,60.0,20.0,34.09
27,ニッカン・コム杯5,4,3872,7.04,3,岡田憲行,44,大阪,53,A1,6.38,48.0,6.35,55.0,30.43,48.94
