レースID,順位,選手登番,展示,天候,風向,風速,波高,会場,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-08-05芦　屋ＲＫＢラジオ杯1R,1,4653,6.8,晴,南西,1,1,芦　屋,1,小野達哉,34,大阪,51,A1,6.62,51.15,7.48,57.14,44.44,26.15
2020-08-05芦　屋ＲＫＢラジオ杯1R,2,3989,6.85,晴,南西,1,1,芦　屋,2,熊本英一,42,佐賀,57,B1,4.66,26.51,4.15,26.09,39.13,26.23
2020-08-05芦　屋ＲＫＢラジオ杯1R,3,3081,6.89,晴,南西,1,1,芦　屋,4,岡本慎治,57,山口,51,B1,5.46,34.04,5.72,39.13,62.5,33.33
2020-08-05芦　屋ＲＫＢラジオ杯1R,4,4010,6.84,晴,南西,1,1,芦　屋,3,越智照浩,40,香川,57,B1,4.25,16.13,4.56,22.22,17.65,18.52
2020-08-05芦　屋ＲＫＢラジオ杯1R,5,3660,6.92,晴,南西,1,1,芦　屋,5,長谷川親,51,香川,59,B1,4.21,14.74,4.3,19.57,27.5,47.37
2020-08-05芦　屋ＲＫＢラジオ杯1R,6,3372,6.87,晴,南西,1,1,芦　屋,6,加藤雅之,53,広島,52,B1,4.05,19.74,0.0,0.0,37.14,24.56
2020-08-05芦　屋ＲＫＢラジオ杯2R,1,3714,6.87,晴,東,2,2,芦　屋,3,梶原　正,45,福岡,56,B1,4.73,22.0,4.83,22.64,35.71,22.22
2020-08-05芦　屋ＲＫＢラジオ杯2R,2,3458,6.84,晴,東,2,2,芦　屋,1,東　健介,53,岡山,53,A2,5.52,35.78,4.96,31.37,25.0,12.07
2020-08-05芦　屋ＲＫＢラジオ杯2R,3,4166,6.84,晴,東,2,2,芦　屋,4,吉田拡郎,38,岡山,52,A1,7.37,53.52,7.6,57.14,15.15,35.38
2020-08-05芦　屋ＲＫＢラジオ杯2R,4,3444,6.83,晴,東,2,2,芦　屋,2,香月大介,50,福岡,52,B1,4.0,17.81,4.8,26.67,17.65,41.18
2020-08-05芦　屋ＲＫＢラジオ杯2R,5,4632,6.92,晴,東,2,2,芦　屋,5,長尾京志,31,福岡,52,B1,5.11,27.59,4.53,24.0,18.18,39.44
2020-08-05芦　屋ＲＫＢラジオ杯2R,6,3553,6.87,晴,東,2,2,芦　屋,6,平池仁志,48,香川,54,B1,4.18,20.41,4.0,21.43,23.33,24.59
2020-08-05芦　屋ＲＫＢラジオ杯3R,1,3961,6.9,晴,南,1,1,芦　屋,1,谷村一哉,41,山口,55,A1,7.01,51.41,5.6,40.0,34.78,26.56
2020-08-05芦　屋ＲＫＢラジオ杯3R,2,4204,6.79,晴,南,1,1,芦　屋,2,柴田大輔,37,福岡,51,B1,4.29,22.37,4.95,27.27,39.13,40.0
