レースID,順位,選手登番,展示,天候,風向,風速,波高,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-09-01唐　津日本モーターボート選手会会長杯1R,1,4006,6.82,晴,北,2,2,1,小野勇作,42,佐賀,51,A1,5.97,41.67,6.02,42.71,22.22,23.47
2020-09-01唐　津日本モーターボート選手会会長杯1R,2,3825,6.86,晴,北,2,2,3,宮嵜隆太,47,福岡,59,B1,3.58,19.4,3.88,12.5,28.57,47.31
2020-09-01唐　津日本モーターボート選手会会長杯1R,3,5118,6.91,晴,北,2,2,4,野田なづ,20,佐賀,46,B2,1.29,0.0,1.12,0.0,30.0,38.78
2020-09-01唐　津日本モーターボート選手会会長杯1R,4,5028,6.81,晴,北,2,2,2,原田才一,23,福岡,53,B1,5.09,34.31,3.43,14.29,0.0,34.38
2020-09-01唐　津日本モーターボート選手会会長杯1R,5,3802,6.84,晴,北,2,2,5,森岡真希,46,岡山,46,B1,4.5,24.29,3.74,21.05,22.22,38.54
2020-09-01唐　津日本モーターボート選手会会長杯1R,6,4709,6.81,晴,北,2,2,6,岡村将也,31,福岡,54,B1,5.18,32.73,7.41,58.62,30.0,33.71
2020-09-01唐　津日本モーターボート選手会会長杯2R,1,4278,6.84,晴,北,2,2,2,藤岡俊介,37,兵庫,52,A1,6.95,52.78,7.97,70.0,60.0,40.0
2020-09-01唐　津日本モーターボート選手会会長杯2R,2,3539,6.83,晴,北,2,2,3,金子順一,52,山口,51,B1,4.3,21.74,4.59,17.95,60.0,25.27
2020-09-01唐　津日本モーターボート選手会会長杯2R,3,5054,6.94,晴,北,2,2,5,佐々木大,24,大阪,52,B1,3.15,9.76,0.0,0.0,37.5,31.18
2020-09-01唐　津日本モーターボート選手会会長杯2R,4,4116,6.83,晴,北,2,2,1,川田正人,39,徳島,51,A2,5.26,33.06,5.22,33.33,46.67,35.42
2020-09-01唐　津日本モーターボート選手会会長杯2R,5,4657,6.87,晴,北,2,2,6,江崎一雄,33,福岡,55,B1,5.46,38.1,5.75,42.62,55.56,36.0
2020-09-01唐　津日本モーターボート選手会会長杯2R,6,5117,6.89,晴,北,2,2,4,冨名腰桃,20,福岡,46,B2,1.29,0.0,1.25,0.0,44.44,29.17
2020-09-01唐　津日本モーターボート選手会会長杯3R,1,4069,6.87,晴,北,3,3,1,山本修一,40,岡山,53,A2,7.02,58.02,0.0,0.0,27.78,25.58
2020-09-01唐　津日本モーターボート選手会会長杯3R,2,4058,6.9,晴,北,3,3,5,野末智一,41,静岡,50,B1,5.23,28.03,4.59,23.53,0.0,34.04
2020-09-01唐　津日本モーターボート選手会会長杯3R,3,3273,6.88,晴,北,3,3,2,石田　豪,54,広島,50,B1,4.92,30.53,4.56,27.91,0.0,37.63
2020-09-01唐　津日本モーターボート選手会会長杯3R,4,3963,6.85,晴,北,3,3,3,原田秀弥,41,大阪,55,A1,6.68,54.14,7.19,57.14,50.0,38.46
2020-09-01唐　津日本モーターボート選手会会長杯3R,5,3604,6.83,晴,北,3,3,6,武藤綾子,49,福岡,47,B1,5.05,22.55,5.22,22.22,30.0,24.47
2020-09-01唐　津日本モーターボート選手会会長杯3R,6,2930,6.94,晴,北,3,3,4,新良一規,64,山口,53,B1,3.88,19.7,4.67,33.33,33.33,41.41
2020-09-01唐　津日本モーターボート選手会会長杯4R,1,3439,6.86,晴,北,2,2,1,大平誉史,51,大阪,53,A2,5.89,38.6,6.15,40.0,20.0,28.4
2020-09-01唐　津日本モーターボート選手会会長杯4R,2,4475,6.81,晴,北,2,2,3,末永祐輝,32,山口,52,A2,6.1,43.7,5.25,28.57,47.37,21.74
2020-09-01唐　津日本モーターボート選手会会長杯4R,3,4349,6.85,晴,北,2,2,6,犬童千秋,34,福岡,49,B1,5.21,34.02,5.02,35.09,72.73,43.75
2020-09-01唐　津日本モーターボート選手会会長杯4R,4,4423,6.85,晴,北,2,2,5,坂口貴彦,31,岡山,55,B1,4.48,30.83,4.0,22.22,40.0,31.11
2020-09-01唐　津日本モーターボート選手会会長杯4R,5,3892,6.83,晴,北,2,2,4,草場康幸,44,佐賀,52,A2,4.78,25.68,5.69,39.86,11.76,40.22
2020-09-01唐　津日本モーターボート選手会会長杯4R,6,3483,6.84,晴,北,2,2,2,入船幸子,49,佐賀,43,B1,3.59,17.39,4.78,34.15,20.0,36.47
2020-09-01唐　津日本モーターボート選手会会長杯5R,1,4564,6.89,晴,北,3,3,1,山本景士,32,広島,53,B1,5.3,31.25,5.25,35.0,30.0,30.85
2020-09-01唐　津日本モーターボート選手会会長杯5R,2,4184,6.85,晴,北,3,3,2,渡邊雄一,34,大阪,49,A1,6.14,44.62,6.73,49.02,62.5,18.95
2020-09-01唐　津日本モーターボート選手会会長杯5R,3,3576,6.85,晴,北,3,3,4,白水勝也,47,福岡,51,A2,6.71,53.28,6.33,44.44,37.5,29.17
