,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,2020-08-06芦　屋ＲＫＢラジオ杯1R,1,3873,6.85,1,別府昌樹,44,広島,53,A2,6.12,42.72,6.55,53.45,46.67,26.23
1,2020-08-06芦　屋ＲＫＢラジオ杯1R,2,4449,6.87,2,中嶋達也,33,兵庫,54,B1,4.22,22.09,5.22,39.13,21.88,28.33
2,2020-08-06芦　屋ＲＫＢラジオ杯1R,3,4264,6.93,5,長尾章平,35,山口,52,B2,4.83,31.46,7.33,54.55,23.53,30.77
3,2020-08-06芦　屋ＲＫＢラジオ杯1R,4,4020,6.93,4,川上清人,40,香川,61,B1,4.78,37.21,5.48,42.86,30.43,35.09
4,2020-08-06芦　屋ＲＫＢラジオ杯1R,5,3775,6.88,3,泉　啓文,45,岡山,58,B1,4.5,24.75,3.0,10.34,25.58,21.05
5,2020-08-06芦　屋ＲＫＢラジオ杯1R,6,3036,6.93,6,吉本正昭,62,山口,57,B1,4.68,30.56,2.43,0.0,23.33,31.43
6,2020-08-06芦　屋ＲＫＢラジオ杯2R,1,4302,6.86,1,西野翔太,37,広島,51,A2,6.32,47.11,6.49,45.1,17.24,37.5
7,2020-08-06芦　屋ＲＫＢラジオ杯2R,2,4653,6.89,4,小野達哉,34,大阪,51,A1,6.62,51.15,7.48,57.14,44.44,26.15
8,2020-08-06芦　屋ＲＫＢラジオ杯2R,3,5014,6.9,2,梶山涼斗,22,佐賀,52,B1,3.8,14.86,1.62,0.0,32.56,25.45
9,2020-08-06芦　屋ＲＫＢラジオ杯2R,4,3444,6.86,5,香月大介,50,福岡,52,B1,4.0,17.81,4.8,26.67,17.65,41.18
10,2020-08-06芦　屋ＲＫＢラジオ杯2R,5,3553,6.93,3,平池仁志,48,香川,54,B1,4.18,20.41,4.0,21.43,23.33,24.59
11,2020-08-06芦　屋ＲＫＢラジオ杯2R,6,5136,6.97,6,濱野斗馬,20,香川,55,B2,1.29,0.0,0.0,0.0,30.3,33.85
12,2020-08-06芦　屋ＲＫＢラジオ杯3R,1,3564,6.89,4,桑原　啓,50,福岡,53,B1,4.21,18.89,4.75,25.0,26.53,49.28
13,2020-08-06芦　屋ＲＫＢラジオ杯3R,2,4166,6.94,3,吉田拡郎,38,岡山,52,A1,7.37,53.52,7.6,57.14,15.15,35.38
14,2020-08-06芦　屋ＲＫＢラジオ杯3R,3,4214,6.9,1,林　祐介,35,岡山,55,A2,5.37,34.41,5.39,44.44,35.56,24.59
15,2020-08-06芦　屋ＲＫＢラジオ杯3R,4,4588,7.0,6,田中京介,29,福岡,57,B1,4.71,30.69,4.27,22.92,29.55,35.0
16,2020-08-06芦　屋ＲＫＢラジオ杯3R,5,3442,6.96,5,宮武英司,50,香川,54,A2,5.53,31.0,5.29,38.1,38.64,21.74
17,2020-08-06芦　屋ＲＫＢラジオ杯3R,6,3627,6.9,2,井上恵一,50,福岡,53,B1,5.38,37.36,5.33,38.27,40.91,25.93
18,2020-08-06芦　屋ＲＫＢラジオ杯4R,1,3872,6.96,1,岡田憲行,44,大阪,52,A1,6.33,49.57,6.65,55.0,36.96,37.14
19,2020-08-06芦　屋ＲＫＢラジオ杯4R,2,3961,6.95,4,谷村一哉,41,山口,55,A1,7.01,51.41,5.6,40.0,34.78,26.56
20,2020-08-06芦　屋ＲＫＢラジオ杯4R,3,4632,7.0,2,長尾京志,31,福岡,52,B1,5.11,27.59,4.53,24.0,18.18,39.44
21,2020-08-06芦　屋ＲＫＢラジオ杯4R,4,4410,7.0,3,井上大輔,34,岡山,52,A2,5.57,40.16,5.65,34.78,37.84,30.3
22,2020-08-06芦　屋ＲＫＢラジオ杯4R,5,4355,6.93,6,小川広大,36,福岡,56,B1,4.24,19.57,4.6,24.56,30.43,26.67
23,2020-08-06芦　屋ＲＫＢラジオ杯4R,6,4204,6.87,5,柴田大輔,37,福岡,51,B1,4.29,22.37,4.95,27.27,39.13,40.0
24,2020-08-06芦　屋ＲＫＢラジオ杯5R,1,3708,6.91,1,岡部貴司,46,岡山,55,A2,4.97,25.35,6.21,39.29,15.63,25.4
25,2020-08-06芦　屋ＲＫＢラジオ杯5R,2,4395,6.91,2,下河雅史,34,福岡,55,B1,4.68,23.96,4.89,24.62,33.33,46.67
26,2020-08-06芦　屋ＲＫＢラジオ杯5R,3,4946,6.86,5,船越健吾,28,香川,52,B1,4.27,17.81,2.38,6.38,27.78,20.34
27,2020-08-06芦　屋ＲＫＢラジオ杯5R,4,3874,6.89,3,山本寛久,44,岡山,52,A1,6.49,43.0,6.93,50.0,40.0,28.79
28,2020-08-06芦　屋ＲＫＢラジオ杯5R,5,3458,6.91,6,東　健介,53,岡山,53,A2,5.52,35.78,4.96,31.37,25.0,12.07
29,2020-08-06芦　屋ＲＫＢラジオ杯5R,6,3660,6.97,4,長谷川親,51,香川,59,B1,4.21,14.74,4.3,19.57,27.5,47.37
30,2020-08-06芦　屋ＲＫＢラジオ杯6R,1,3535,6.99,1,渡　修平,47,兵庫,50,B1,4.47,21.59,3.58,8.33,4.0,40.85
31,2020-08-06芦　屋ＲＫＢラジオ杯6R,2,3081,6.92,3,岡本慎治,57,山口,51,B1,5.46,34.04,5.72,39.13,62.5,33.33
32,2020-08-06芦　屋ＲＫＢラジオ杯6R,3,3873,7.0,2,別府昌樹,44,広島,53,A2,6.12,42.72,6.55,53.45,46.67,26.23
33,2020-08-06芦　屋ＲＫＢラジオ杯6R,4,4679,6.95,6,植田太一,31,福岡,60,A2,4.96,32.0,5.25,36.36,12.5,31.88
34,2020-08-06芦　屋ＲＫＢラジオ杯6R,5,4789,6.95,4,古賀智之,31,福岡,52,B1,4.35,19.05,5.04,33.33,20.0,41.43
35,2020-08-06芦　屋ＲＫＢラジオ杯7R,1,5014,6.91,5,梶山涼斗,22,佐賀,52,B1,3.8,14.86,1.62,0.0,32.56,25.45
36,2020-08-06芦　屋ＲＫＢラジオ杯7R,2,3372,6.97,1,加藤雅之,53,広島,52,B1,4.05,19.74,0.0,0.0,37.14,24.56
37,2020-08-06芦　屋ＲＫＢラジオ杯7R,3,4010,6.95,4,越智照浩,40,香川,57,B1,4.25,16.13,4.56,22.22,17.65,18.52
38,2020-08-06芦　屋ＲＫＢラジオ杯7R,4,4020,6.89,2,川上清人,40,香川,61,B1,4.78,37.21,5.48,42.86,30.43,35.09
