レースID,順位,選手登番,展示,天候,風向,風速,波高,会場,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-08-04唐　津トータリゼータエンジニアリング杯1R,1,3543,6.74,晴,南,3,3,唐　津,1,福田雅一,51,香川,55,A2,5.7,42.11,5.92,34.62,30.9,32.88
2020-08-04唐　津トータリゼータエンジニアリング杯1R,2,4393,6.79,晴,南,3,3,唐　津,2,田中孝明,34,福岡,56,B1,4.58,24.68,6.31,46.67,37.45,41.77
2020-08-04唐　津トータリゼータエンジニアリング杯1R,3,5085,6.78,晴,南,3,3,唐　津,6,中村栄治,21,福井,53,B1,2.35,4.17,0.0,0.0,34.35,39.47
2020-08-04唐　津トータリゼータエンジニアリング杯1R,4,3234,6.76,晴,南,3,3,唐　津,3,金森史吉,53,香川,55,B1,3.59,17.76,4.6,26.67,27.83,35.14
2020-08-04唐　津トータリゼータエンジニアリング杯1R,5,3361,6.74,晴,南,3,3,唐　津,5,岡部　浩,51,徳島,51,B1,5.16,29.55,4.59,23.53,37.78,30.77
2020-08-04唐　津トータリゼータエンジニアリング杯1R,6,5012,6.8,晴,南,3,3,唐　津,4,加倉侑征,23,福岡,49,B1,4.28,21.43,3.89,17.14,37.44,41.33
2020-08-04唐　津トータリゼータエンジニアリング杯2R,1,4771,6.75,晴,南,4,4,唐　津,1,下寺秀和,27,広島,55,A2,6.15,42.25,5.89,40.43,35.89,32.79
2020-08-04唐　津トータリゼータエンジニアリング杯2R,2,4374,6.8,晴,南,4,4,唐　津,5,永田義紘,36,広島,50,B1,4.94,33.33,4.43,17.86,32.48,39.51
2020-08-04唐　津トータリゼータエンジニアリング杯2R,3,3884,6.76,晴,南,4,4,唐　津,6,豊田　聡,46,徳島,52,B1,3.76,14.63,3.38,12.5,41.96,37.66
2020-08-04唐　津トータリゼータエンジニアリング杯2R,4,4126,6.76,晴,南,4,4,唐　津,3,吉本玲緒,41,広島,56,B1,4.31,22.33,4.75,37.5,32.19,30.56
2020-08-04唐　津トータリゼータエンジニアリング杯2R,5,4027,6.72,晴,南,4,4,唐　津,2,松江秀徳,42,佐賀,53,A2,5.93,39.42,6.66,50.92,35.1,27.85
2020-08-04唐　津トータリゼータエンジニアリング杯2R,6,3506,6.84,晴,南,4,4,唐　津,4,宮西真昭,49,佐賀,52,B1,3.32,10.0,4.43,19.17,41.63,38.67
2020-08-04唐　津トータリゼータエンジニアリング杯3R,1,3876,6.74,晴,南,4,4,唐　津,1,中辻崇人,43,福岡,52,A1,7.03,56.52,7.54,64.29,33.03,38.96
2020-08-04唐　津トータリゼータエンジニアリング杯3R,2,4154,6.75,晴,南,4,4,唐　津,3,森安弘雅,40,香川,52,A2,5.65,38.57,5.7,50.0,34.53,36.99
2020-08-04唐　津トータリゼータエンジニアリング杯3R,3,4930,6.73,晴,南,4,4,唐　津,2,佐藤　悠,24,福井,54,B1,5.26,32.5,4.39,22.22,34.93,28.77
2020-08-04唐　津トータリゼータエンジニアリング杯3R,4,3709,6.75,晴,南,4,4,唐　津,6,田中浩之,46,山口,52,B1,3.53,15.96,3.5,14.29,36.68,23.29
2020-08-04唐　津トータリゼータエンジニアリング杯3R,5,5105,6.73,晴,南,4,4,唐　津,5,富田恕生,21,福岡,53,B2,1.38,0.0,0.0,0.0,38.24,41.77
2020-08-04唐　津トータリゼータエンジニアリング杯3R,6,4232,6.85,晴,南,4,4,唐　津,4,笠　雅雄,37,福岡,61,B1,3.64,16.05,3.43,14.29,29.49,35.06
