,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,2020-09-03唐　津日本モーターボート選手会会長杯1R,1,3273,6.79,3,石田　豪,54,広島,50,B1,4.92,30.53,4.56,27.91,0.0,37.63
1,2020-09-03唐　津日本モーターボート選手会会長杯1R,2,4564,6.85,4,山本景士,32,広島,53,B1,5.3,31.25,5.25,35.0,30.0,30.85
2,2020-09-03唐　津日本モーターボート選手会会長杯1R,3,2930,6.82,5,新良一規,64,山口,53,B1,3.88,19.7,4.67,33.33,33.33,41.41
3,2020-09-03唐　津日本モーターボート選手会会長杯1R,4,4184,6.77,1,渡邊雄一,34,大阪,49,A1,6.14,44.62,6.73,49.02,62.5,18.95
4,2020-09-03唐　津日本モーターボート選手会会長杯1R,5,4657,6.84,6,江崎一雄,33,福岡,55,B1,5.46,38.1,5.75,42.62,55.56,36.0
5,2020-09-03唐　津日本モーターボート選手会会長杯1R,6,5054,6.78,2,佐々木大,24,大阪,52,B1,3.15,9.76,0.0,0.0,37.5,31.18
6,2020-09-03唐　津日本モーターボート選手会会長杯2R,1,3439,6.77,1,大平誉史,51,大阪,53,A2,5.89,38.6,6.15,40.0,20.0,28.4
7,2020-09-03唐　津日本モーターボート選手会会長杯2R,2,4006,6.82,2,小野勇作,42,佐賀,51,A1,5.97,41.67,6.02,42.71,22.22,23.47
8,2020-09-03唐　津日本モーターボート選手会会長杯2R,3,4058,6.84,4,野末智一,41,静岡,50,B1,5.23,28.03,4.59,23.53,0.0,34.04
9,2020-09-03唐　津日本モーターボート選手会会長杯2R,4,4349,6.76,3,犬童千秋,34,福岡,49,B1,5.21,34.02,5.02,35.09,72.73,43.75
10,2020-09-03唐　津日本モーターボート選手会会長杯2R,5,3825,6.85,5,宮嵜隆太,47,福岡,59,B1,3.58,19.4,3.88,12.5,28.57,47.31
11,2020-09-03唐　津日本モーターボート選手会会長杯2R,6,5118,6.86,6,野田なづ,20,佐賀,46,B2,1.29,0.0,1.12,0.0,30.0,38.78
12,2020-09-03唐　津日本モーターボート選手会会長杯3R,1,4500,6.84,3,山田康二,32,佐賀,53,A2,7.78,68.03,8.03,68.22,0.0,39.8
13,2020-09-03唐　津日本モーターボート選手会会長杯3R,2,4423,6.79,6,坂口貴彦,31,岡山,55,B1,4.48,30.83,4.0,22.22,40.0,31.11
14,2020-09-03唐　津日本モーターボート選手会会長杯3R,3,3548,6.84,1,室田泰史,50,福井,54,A2,5.93,40.48,6.11,46.43,22.22,28.87
15,2020-09-03唐　津日本モーターボート選手会会長杯3R,4,3483,6.8,4,入船幸子,49,佐賀,43,B1,3.59,17.39,4.78,34.15,20.0,36.47
16,2020-09-03唐　津日本モーターボート選手会会長杯3R,5,4059,6.82,2,入澤友治,41,東京,53,B1,5.21,36.47,4.85,30.3,17.65,47.87
17,2020-09-03唐　津日本モーターボート選手会会長杯3R,6,5117,6.84,5,冨名腰桃,20,福岡,46,B2,1.29,0.0,1.25,0.0,44.44,29.17
18,2020-09-03唐　津日本モーターボート選手会会長杯4R,1,4278,6.75,3,藤岡俊介,37,兵庫,52,A1,6.95,52.78,7.97,70.0,60.0,40.0
19,2020-09-03唐　津日本モーターボート選手会会長杯4R,2,3654,6.76,1,武田光史,46,福井,52,A1,6.48,43.7,6.72,50.0,25.0,34.02
20,2020-09-03唐　津日本モーターボート選手会会長杯4R,3,5018,6.78,6,竹下大樹,21,福岡,54,B1,3.82,20.55,2.26,0.0,20.0,19.75
21,2020-09-03唐　津日本モーターボート選手会会長杯4R,4,5028,6.8,4,原田才一,23,福岡,53,B1,5.09,34.31,3.43,14.29,0.0,34.38
22,2020-09-03唐　津日本モーターボート選手会会長杯4R,5,4057,6.82,5,松井賢治,41,兵庫,51,A2,5.56,34.44,6.6,50.0,60.0,32.99
23,2020-09-03唐　津日本モーターボート選手会会長杯4R,6,4981,6.79,2,牧山敦也,24,佐賀,50,B1,4.43,18.97,3.59,13.66,0.0,24.44
24,2020-09-03唐　津日本モーターボート選手会会長杯5R,1,3333,6.8,6,丸尾義孝,52,徳島,52,A1,6.35,45.52,6.25,44.44,73.68,43.43
25,2020-09-03唐　津日本モーターボート選手会会長杯5R,2,3509,6.76,1,道上千夏,48,香川,49,B1,3.71,13.85,4.62,23.08,44.44,30.85
26,2020-09-03唐　津日本モーターボート選手会会長杯5R,3,3956,6.76,3,横澤剛治,43,静岡,57,A1,7.12,54.89,4.31,12.5,47.37,31.58
27,2020-09-03唐　津日本モーターボート選手会会長杯5R,4,4069,6.85,5,山本修一,40,岡山,53,A2,7.02,58.02,0.0,0.0,27.78,25.58
28,2020-09-03唐　津日本モーターボート選手会会長杯5R,5,4116,6.79,4,川田正人,39,徳島,51,A2,5.26,33.06,5.22,33.33,46.67,35.29
29,2020-09-03唐　津日本モーターボート選手会会長杯5R,6,2930,6.83,2,新良一規,64,山口,53,B1,3.88,19.7,4.67,33.33,33.33,41.41
30,2020-09-03唐　津日本モーターボート選手会会長杯6R,1,4402,6.77,2,乙藤智史,35,福岡,54,A2,6.09,42.52,5.55,25.0,0.0,26.32
31,2020-09-03唐　津日本モーターボート選手会会長杯6R,2,3576,6.79,4,白水勝也,47,福岡,51,A2,6.71,53.28,6.33,44.44,37.5,28.28
32,2020-09-03唐　津日本モーターボート選手会会長杯6R,3,4709,6.76,3,岡村将也,31,福岡,54,B1,5.18,32.73,7.41,58.62,30.0,33.71
33,2020-09-03唐　津日本モーターボート選手会会長杯6R,4,4475,6.73,5,末永祐輝,32,山口,52,A2,6.1,43.7,5.25,28.57,47.37,21.74
34,2020-09-03唐　津日本モーターボート選手会会長杯6R,5,3539,6.75,1,金子順一,52,山口,51,B1,4.3,21.74,4.59,17.95,60.0,25.27
35,2020-09-03唐　津日本モーターボート選手会会長杯6R,6,3158,6.77,6,島川光男,55,広島,54,A1,6.2,42.57,7.25,61.02,5.88,30.93
36,2020-09-03唐　津日本モーターボート選手会会長杯7R,1,3825,6.77,1,宮嵜隆太,47,福岡,59,B1,3.58,19.4,3.88,12.5,28.57,47.31
37,2020-09-03唐　津日本モーターボート選手会会長杯7R,2,4375,6.7,2,照屋厚仁,36,兵庫,50,A2,5.58,34.92,0.0,0.0,22.22,20.0
