レースID,順位,選手登番,展示,天候,風向,風速,波高,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-09-15若　松オールレディースＪＡＬカップ1R,1,3994,6.99,晴,北東,3,3,4,茶谷　桜,41,滋賀,46,B1,5.13,29.13,4.93,33.33,33.87,29.41
2020-09-15若　松オールレディースＪＡＬカップ1R,2,4694,6.91,晴,北東,3,3,1,高田　綾,35,福岡,44,B1,4.45,15.73,3.87,14.71,31.41,43.18
2020-09-15若　松オールレディースＪＡＬカップ1R,3,4170,6.91,晴,北東,3,3,6,西坂香松,38,香川,53,B2,3.09,9.09,2.73,10.0,25.54,45.45
2020-09-15若　松オールレディースＪＡＬカップ1R,4,4764,6.93,晴,北東,3,3,5,小池礼乃,30,福岡,47,B2,0.0,0.0,5.43,38.1,29.05,32.0
2020-09-15若　松オールレディースＪＡＬカップ1R,5,3509,7.01,晴,北東,3,3,3,道上千夏,48,香川,48,B1,3.88,15.52,4.42,23.08,33.16,36.84
2020-09-15若　松オールレディースＪＡＬカップ1R,6,4993,6.96,晴,北東,3,3,2,下野京香,22,東京,46,B1,2.15,5.88,2.18,11.76,33.95,31.71
2020-09-15若　松オールレディースＪＡＬカップ2R,1,4433,6.9,晴,北東,3,3,3,川野芽唯,34,福岡,47,A2,6.25,44.27,4.95,30.95,37.97,30.0
2020-09-15若　松オールレディースＪＡＬカップ2R,2,3280,6.93,晴,北東,3,3,2,垣内清美,53,三重,50,B1,4.9,37.04,0.0,0.0,41.36,51.11
2020-09-15若　松オールレディースＪＡＬカップ2R,3,3486,6.94,晴,北東,3,3,1,渋田治代,54,福岡,48,B1,4.43,20.93,5.03,29.41,33.16,36.17
2020-09-15若　松オールレディースＪＡＬカップ2R,4,3357,6.93,晴,北東,3,3,5,福島陽子,51,岡山,48,B1,4.37,17.33,3.82,20.59,37.37,39.62
2020-09-15若　松オールレディースＪＡＬカップ2R,5,4870,6.88,晴,北東,3,3,4,新田有理,28,広島,44,B1,4.83,29.21,5.0,20.0,31.21,36.36
2020-09-15若　松オールレディースＪＡＬカップ2R,6,3483,6.91,晴,北東,3,3,6,入船幸子,49,佐賀,43,B1,3.21,14.71,4.61,33.33,28.98,41.3
2020-09-15若　松オールレディースＪＡＬカップ3R,1,3645,6.93,晴,北東,3,3,1,淺田千亜,47,徳島,46,B1,5.3,37.84,0.0,0.0,35.43,30.43
2020-09-15若　松オールレディースＪＡＬカップ3R,2,4773,6.88,晴,北東,3,3,4,中川りな,27,福岡,48,B1,5.54,31.93,5.29,33.33,41.76,27.91
2020-09-15若　松オールレディースＪＡＬカップ3R,3,4387,6.86,晴,北東,3,3,6,平山智加,35,香川,44,A1,7.42,60.91,7.64,63.64,37.63,34.62
2020-09-15若　松オールレディースＪＡＬカップ3R,4,3254,6.87,晴,北東,3,3,2,柳澤千春,53,香川,46,B1,4.04,17.39,3.5,16.67,53.55,38.64
2020-09-15若　松オールレディースＪＡＬカップ3R,5,4605,6.94,晴,北東,3,3,3,森　世里,32,滋賀,54,B2,3.67,20.0,0.0,0.0,31.38,36.0
2020-09-15若　松オールレディースＪＡＬカップ3R,6,3551,6.88,晴,北東,3,3,5,藤田美代,49,福岡,43,B1,4.72,24.59,3.89,16.67,33.85,45.24
2020-09-15若　松オールレディースＪＡＬカップ4R,1,3302,6.89,晴,北東,3,3,3,谷川里江,53,愛知,45,A2,5.9,43.9,5.0,27.27,39.25,32.79
2020-09-15若　松オールレディースＪＡＬカップ4R,2,4443,6.93,晴,北東,3,3,4,津田裕絵,34,山口,49,B1,5.15,32.5,5.92,39.47,33.52,35.85
2020-09-15若　松オールレディースＪＡＬカップ4R,3,4738,6.93,晴,北東,3,3,2,清埜翔子,29,埼玉,50,B1,3.76,19.32,4.8,40.0,34.67,31.82
2020-09-15若　松オールレディースＪＡＬカップ4R,4,4098,6.9,晴,北東,3,3,1,赤澤文香,38,岡山,47,B1,4.89,26.79,5.9,40.0,21.79,40.38
2020-09-15若　松オールレディースＪＡＬカップ4R,5,4556,6.87,晴,北東,3,3,6,竹井奈美,31,福岡,47,A1,6.74,51.49,4.63,31.43,50.6,46.81
2020-09-15若　松オールレディースＪＡＬカップ4R,6,3802,6.97,晴,北東,3,3,5,森岡真希,46,岡山,47,B1,4.23,21.33,4.87,26.67,33.75,32.56
2020-09-15若　松オールレディースＪＡＬカップ5R,1,4349,6.9,晴,北東,3,3,3,犬童千秋,35,福岡,48,B1,5.23,34.34,4.86,19.44,35.83,34.04
2020-09-15若　松オールレディースＪＡＬカップ5R,2,3175,6.87,晴,北東,3,3,2,渡辺千草,56,東京,49,A2,5.3,24.64,5.39,16.67,34.41,38.89
2020-09-15若　松オールレディースＪＡＬカップ5R,3,4304,6.96,晴,北東,3,3,4,藤崎小百,37,福岡,48,A2,5.16,30.6,5.3,31.58,33.33,28.26
2020-09-15若　松オールレディースＪＡＬカップ5R,4,4680,6.88,晴,北東,3,3,5,後藤美翼,30,東京,46,B2,4.7,15.0,4.44,22.22,32.29,30.0
2020-09-15若　松オールレディースＪＡＬカップ5R,5,3845,6.94,晴,北東,3,3,1,中谷朋子,43,兵庫,46,A1,5.94,39.68,5.81,33.33,32.64,46.0
2020-09-15若　松オールレディースＪＡＬカップ5R,6,5118,6.93,晴,北東,3,3,6,野田なづ,20,佐賀,45,B2,1.37,0.0,1.0,0.0,38.92,39.13
2020-09-15若　松オールレディースＪＡＬカップ6R,1,4730,6.81,曇り ,北東,2,2,2,土屋実沙,31,静岡,45,A2,5.75,35.38,6.09,54.55,28.81,36.96
2020-09-15若　松オールレディースＪＡＬカップ6R,2,4611,6.88,曇り ,北東,2,2,6,今井美亜,30,福井,47,A2,6.04,42.03,4.33,22.22,39.89,35.42
