レースID,順位,選手登番,展示,天候,風向,風速,波高,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-09-07住之江第４８回高松宮記念特別競走1R,1,3514,6.78,曇り ,南,2,1,2,山一鉄也,53,福岡,51,A1,7.14,56.2,6.22,44.44,41.24,29.21
2020-09-07住之江第４８回高松宮記念特別競走1R,2,4042,6.73,曇り ,南,2,1,1,丸岡正典,41,大阪,51,A1,6.25,39.62,6.91,49.42,23.91,30.48
2020-09-07住之江第４８回高松宮記念特別競走1R,3,3795,6.8,曇り ,南,2,1,4,金子龍介,47,兵庫,51,A1,7.17,59.66,7.25,75.0,31.68,31.31
2020-09-07住之江第４８回高松宮記念特別競走1R,4,4361,6.78,曇り ,南,2,1,3,柳生泰二,35,山口,52,A1,6.56,50.91,6.35,52.94,25.29,33.71
2020-09-07住之江第４８回高松宮記念特別競走1R,5,4682,6.88,曇り ,南,2,1,6,大上卓人,30,広島,52,A1,6.91,54.37,7.5,70.0,38.38,28.0
2020-09-07住之江第４８回高松宮記念特別競走1R,6,4437,6.85,曇り ,南,2,1,5,中田元泰,34,香川,55,A1,6.19,44.66,7.33,61.9,31.68,37.0
2020-09-07住之江第４８回高松宮記念特別競走2R,1,3557,6.77,曇り ,南,5,2,1,太田和美,47,大阪,53,A1,7.22,52.13,7.03,53.9,20.0,42.39
2020-09-07住之江第４８回高松宮記念特別競走2R,2,3968,6.77,曇り ,南,5,2,4,茶谷信次,44,滋賀,52,A1,6.0,39.29,6.35,45.0,26.14,36.17
2020-09-07住之江第４８回高松宮記念特別競走2R,3,4754,6.81,曇り ,南,5,2,5,松尾　充,32,三重,50,A1,6.35,51.75,5.41,31.03,23.86,34.91
2020-09-07住之江第４８回高松宮記念特別競走2R,4,4760,6.79,曇り ,南,5,2,6,山崎　郡,30,大阪,51,A1,6.53,46.51,6.71,51.5,33.33,35.05
2020-09-07住之江第４８回高松宮記念特別競走2R,5,4362,6.77,曇り ,南,5,2,3,土屋智則,35,群馬,51,A1,6.79,51.59,6.35,35.0,34.62,41.3
2020-09-07住之江第４８回高松宮記念特別競走2R,6,4739,6.76,曇り ,南,5,2,2,中村晃朋,28,香川,51,A1,5.49,36.78,6.64,46.15,31.25,28.57
