レースID,順位,選手登番,展示,天候,風向,風速,波高,会場,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-08-25下　関第６６回ボートレースメモリアル1R,1,4885,6.81,晴,東,4,4,下　関,1,大山千広,24,福岡,47,A1,6.97,50.86,6.78,56.25,30.7,37.86
2020-08-25下　関第６６回ボートレースメモリアル1R,2,4063,6.83,晴,東,4,4,下　関,3,市橋卓士,40,徳島,52,A1,6.83,54.0,7.27,57.69,39.08,37.74
2020-08-25下　関第６６回ボートレースメモリアル1R,3,4344,6.84,晴,東,4,4,下　関,5,新田雄史,35,三重,53,A1,7.92,64.6,7.36,48.48,46.53,32.71
2020-08-25下　関第６６回ボートレースメモリアル1R,4,4831,6.84,晴,東,4,4,下　関,6,羽野直也,25,福岡,52,A1,7.11,55.63,6.67,51.16,30.36,40.2
2020-08-25下　関第６６回ボートレースメモリアル1R,5,4497,6.85,晴,東,4,4,下　関,4,桑原　悠,33,長崎,50,A1,6.56,43.44,7.63,66.67,38.54,44.12
2020-08-25下　関第６６回ボートレースメモリアル1R,6,2992,6.84,晴,東,4,4,下　関,2,今村　豊,59,山口,51,A1,6.93,50.56,6.61,39.44,33.33,40.78
2020-08-25下　関第６６回ボートレースメモリアル2R,1,3961,6.84,晴,東,4,4,下　関,1,谷村一哉,41,山口,52,A1,7.07,52.8,6.99,53.57,41.24,37.62
2020-08-25下　関第６６回ボートレースメモリアル2R,2,3573,6.81,晴,東,4,4,下　関,2,前本泰和,48,広島,50,A1,8.44,66.67,7.05,51.76,31.48,31.68
2020-08-25下　関第６６回ボートレースメモリアル2R,3,4477,6.9,晴,東,4,4,下　関,3,篠崎仁志,32,福岡,53,A1,7.88,59.52,8.89,76.32,29.59,39.81
2020-08-25下　関第６６回ボートレースメモリアル2R,4,4688,6.9,晴,東,4,4,下　関,4,永井彪也,27,東京,51,A1,7.45,52.24,6.33,33.33,36.73,33.01
2020-08-25下　関第６６回ボートレースメモリアル2R,5,4586,6.8,晴,東,4,4,下　関,5,磯部　誠,29,愛知,53,A1,7.9,59.2,3.33,0.0,48.39,28.26
2020-08-25下　関第６６回ボートレースメモリアル2R,6,4450,6.87,晴,東,4,4,下　関,6,平高奈菜,33,香川,47,A1,7.73,60.91,7.19,59.26,28.43,39.6
2020-08-25下　関第６６回ボートレースメモリアル3R,1,3779,6.84,晴,東,4,4,下　関,2,原田幸哉,44,長崎,52,A1,6.77,50.0,7.76,60.0,28.33,44.66
2020-08-25下　関第６６回ボートレースメモリアル3R,2,3822,6.78,晴,東,4,4,下　関,1,平尾崇典,47,岡山,49,A1,7.78,64.29,6.25,46.43,28.44,31.0
2020-08-25下　関第６６回ボートレースメモリアル3R,3,4350,6.87,晴,東,4,4,下　関,6,篠崎元志,34,福岡,51,A1,7.55,51.59,7.32,48.0,27.78,34.0
2020-08-25下　関第６６回ボートレースメモリアル3R,4,3388,6.89,晴,東,4,4,下　関,5,今垣光太,50,福井,51,A1,7.27,48.03,6.44,44.0,31.25,34.65
2020-08-25下　関第６６回ボートレースメモリアル3R,5,4503,6.91,晴,東,4,4,下　関,4,上野真之,32,佐賀,50,A1,7.98,62.99,7.32,48.65,30.3,47.0
2020-08-25下　関第６６回ボートレースメモリアル3R,6,4095,6.84,晴,東,4,4,下　関,3,福来　剛,39,東京,52,A1,7.12,54.37,4.63,21.05,27.78,40.2
2020-08-25下　関第６６回ボートレースメモリアル4R,1,4075,6.82,晴,東,4,4,下　関,1,中野次郎,39,東京,52,A1,6.7,45.97,6.26,33.33,45.0,39.6
2020-08-25下　関第６６回ボートレースメモリアル4R,2,4044,6.86,晴,東,4,4,下　関,3,湯川浩司,40,大阪,50,A1,7.4,51.85,6.58,46.15,35.64,33.96
2020-08-25下　関第６６回ボートレースメモリアル4R,3,4074,6.86,晴,東,4,4,下　関,6,柳沢　一,39,愛知,50,A1,6.79,45.21,6.38,41.67,33.0,27.88
2020-08-25下　関第６６回ボートレースメモリアル4R,4,4188,6.87,晴,東,4,4,下　関,4,久田敏之,39,群馬,51,A1,7.26,55.22,7.25,50.0,29.89,46.0
