,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,2020-09-20大　村ニッカン・コム杯1R,1,4241,6.8,5,大串重幸,35,長崎,52,B1,4.69,26.8,5.46,36.99,56.1,41.86
1,2020-09-20大　村ニッカン・コム杯1R,2,3773,6.84,1,津留浩一,46,長崎,55,B1,4.71,27.54,5.61,37.89,27.91,26.19
2,2020-09-20大　村ニッカン・コム杯1R,3,4273,6.82,2,佐藤　旭,38,静岡,52,B1,5.05,29.59,4.43,17.86,25.0,54.72
3,2020-09-20大　村ニッカン・コム杯1R,4,4094,6.81,3,中島真二,39,福岡,51,B1,4.52,17.53,4.77,26.92,11.63,44.68
4,2020-09-20大　村ニッカン・コム杯1R,5,3878,6.84,4,胡本悟志,43,山口,51,B1,4.64,27.78,3.75,12.5,42.55,19.57
5,2020-09-20大　村ニッカン・コム杯1R,6,4107,6.89,6,吉村茂樹,40,群馬,64,B1,3.52,15.09,5.0,40.0,33.33,15.91
6,2020-09-20大　村ニッカン・コム杯2R,1,4677,6.79,2,片橋幸貴,32,滋賀,54,A2,5.78,41.12,5.78,33.33,20.0,38.0
7,2020-09-20大　村ニッカン・コム杯2R,2,3746,6.76,4,岡瀬正人,45,岡山,52,A2,6.02,40.54,6.2,44.44,36.96,36.36
8,2020-09-20大　村ニッカン・コム杯2R,3,4724,6.81,6,吉田祐貴,34,佐賀,51,B1,4.65,25.53,3.64,14.29,35.71,17.65
9,2020-09-20大　村ニッカン・コム杯2R,4,4299,6.86,1,中島浩哉,37,長崎,57,B1,4.79,27.1,5.16,34.15,31.48,25.81
10,2020-09-20大　村ニッカン・コム杯2R,5,3663,6.87,3,木山和幸,50,広島,50,B1,4.95,25.89,4.75,25.0,18.6,40.82
11,2020-09-20大　村ニッカン・コム杯2R,6,3070,6.79,5,山室展弘,59,岡山,50,A2,5.54,42.68,6.13,44.23,36.36,25.0
12,2020-09-20大　村ニッカン・コム杯3R,1,4383,6.83,1,竹田吉行,35,徳島,51,B1,5.34,31.03,6.17,50.0,18.42,33.33
13,2020-09-20大　村ニッカン・コム杯3R,2,4120,6.79,3,柘植政浩,39,滋賀,52,A2,5.47,37.19,6.86,50.0,27.27,45.45
