レースID,順位,選手登番,展示,天候,風向,風速,波高,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-09-14唐　津スポーツ報知杯1R,1,3629,6.78,晴,西,1,1,1,浅見昌克,50,埼玉,52,A2,5.91,41.67,6.06,46.0,38.89,30.0
2020-09-14唐　津スポーツ報知杯1R,2,4790,6.82,晴,西,1,1,3,柳内敬太,30,兵庫,52,B1,4.59,24.0,0.0,0.0,35.29,27.55
2020-09-14唐　津スポーツ報知杯1R,3,3052,6.77,晴,西,1,1,4,原田正己,57,徳島,52,B1,3.36,13.7,3.25,0.0,43.48,32.99
2020-09-14唐　津スポーツ報知杯1R,4,4458,6.78,晴,西,1,1,2,抹香雄三,34,広島,53,B1,5.03,23.0,4.82,22.81,50.0,33.66
2020-09-14唐　津スポーツ報知杯1R,5,4487,6.78,晴,西,1,1,6,三原　司,34,福岡,51,B2,4.69,25.93,5.63,47.37,50.0,37.37
2020-09-14唐　津スポーツ報知杯1R,6,3478,6.85,晴,西,1,1,5,嶋田貴支,49,香川,52,B1,5.28,29.03,3.79,14.29,17.65,36.63
2020-09-14唐　津スポーツ報知杯2R,1,3975,6.74,晴,北,1,1,1,小野寺智,43,香川,52,A2,5.8,35.16,5.37,31.58,44.44,37.37
2020-09-14唐　津スポーツ報知杯2R,2,4202,6.81,晴,北,1,1,4,浮田圭浩,38,岡山,54,B1,5.33,34.41,5.27,29.17,18.75,20.39
2020-09-14唐　津スポーツ報知杯2R,3,4436,6.84,晴,北,1,1,2,渋谷明憲,34,大阪,52,A2,5.81,43.0,5.26,34.04,33.33,24.24
2020-09-14唐　津スポーツ報知杯2R,4,3936,6.81,晴,北,1,1,3,三瀬　譲,43,長崎,57,B1,3.86,18.0,4.69,20.69,40.0,44.55
2020-09-14唐　津スポーツ報知杯2R,5,3607,6.81,晴,北,1,1,5,原田智和,48,大阪,51,B1,4.4,24.66,4.68,26.32,57.89,33.33
2020-09-14唐　津スポーツ報知杯2R,6,5025,6.85,晴,北,1,1,6,粟田　祥,25,徳島,57,B2,1.86,4.05,2.08,8.33,23.53,30.0
2020-09-14唐　津スポーツ報知杯3R,1,4142,6.79,晴,北西,1,1,1,平野和明,39,愛知,53,A1,5.63,38.89,6.08,38.89,38.89,24.49
2020-09-14唐　津スポーツ報知杯3R,2,3837,6.83,晴,北西,1,1,3,秋山広一,45,香川,50,A1,6.51,44.25,6.65,45.95,38.89,38.61
2020-09-14唐　津スポーツ報知杯3R,3,4789,6.83,晴,北西,1,1,5,古賀智之,31,福岡,52,B1,4.51,19.12,5.16,25.0,42.11,28.72
2020-09-14唐　津スポーツ報知杯3R,4,3953,6.81,晴,北西,1,1,6,志道吉和,44,福岡,51,B1,5.39,37.5,5.43,40.0,47.06,22.47
2020-09-14唐　津スポーツ報知杯3R,5,4277,6.79,晴,北西,1,1,2,金田大輔,37,岡山,52,B1,4.49,25.26,5.25,31.25,11.76,29.9
2020-09-14唐　津スポーツ報知杯3R,6,3561,6.79,晴,北西,1,1,4,池田真治,52,岡山,52,B1,3.65,15.58,0.0,0.0,50.0,35.0
2020-09-14唐　津スポーツ報知杯4R,1,4359,6.82,晴,北東,3,3,3,横川聖志,36,徳島,55,B1,5.24,35.44,4.5,37.5,31.58,41.18
2020-09-14唐　津スポーツ報知杯4R,2,4070,6.82,晴,北東,3,3,5,中村亮太,39,長崎,51,A2,6.91,51.16,7.04,56.6,33.33,28.71
2020-09-14唐　津スポーツ報知杯4R,3,4452,6.78,晴,北東,3,3,6,松尾　祭,32,香川,54,A2,5.33,33.66,4.61,38.89,72.22,41.75
2020-09-14唐　津スポーツ報知杯4R,4,3757,6.82,晴,北東,3,3,1,畑　和宏,48,広島,52,A2,5.87,39.64,5.69,33.33,27.78,23.08
2020-09-14唐　津スポーツ報知杯4R,5,4333,6.84,晴,北東,3,3,4,村田友也,36,徳島,64,B2,3.84,22.81,2.38,12.5,31.58,32.65
2020-09-14唐　津スポーツ報知杯4R,6,3444,6.83,晴,北東,3,3,2,香月大介,50,福岡,52,B1,4.35,21.79,4.37,13.16,36.84,34.31
2020-09-14唐　津スポーツ報知杯5R,1,4607,6.8,晴,北東,5,5,1,鶴田勇雄,31,福岡,52,B1,5.54,27.52,5.6,33.33,29.41,32.35
2020-09-14唐　津スポーツ報知杯5R,2,4137,6.94,晴,北東,5,5,5,君島秀三,40,滋賀,53,A1,6.47,47.22,7.79,63.16,21.05,30.48
