,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,2020-08-31唐　津日本モーターボート選手会会長杯1R,1,4184,6.89,1,渡邊雄一,34,大阪,49,A1,6.14,44.62,6.73,49.02,62.5,18.95
1,2020-08-31唐　津日本モーターボート選手会会長杯1R,2,4981,6.98,3,牧山敦也,24,佐賀,50,B1,4.43,18.97,3.59,13.66,0.0,24.44
2,2020-08-31唐　津日本モーターボート選手会会長杯1R,3,3539,6.9,2,金子順一,52,山口,51,B1,4.3,21.74,4.59,17.95,60.0,25.27
3,2020-08-31唐　津日本モーターボート選手会会長杯1R,4,5018,6.9,5,竹下大樹,21,福岡,54,B1,3.82,20.55,2.26,0.0,20.0,19.75
4,2020-08-31唐　津日本モーターボート選手会会長杯1R,5,4059,6.94,4,入澤友治,41,東京,53,B1,5.21,36.47,4.85,30.3,17.65,47.87
5,2020-08-31唐　津日本モーターボート選手会会長杯1R,6,3802,6.98,6,森岡真希,46,岡山,46,B1,4.5,24.29,3.74,21.05,22.22,38.54
6,2020-08-31唐　津日本モーターボート選手会会長杯2R,1,3892,6.86,1,草場康幸,44,佐賀,52,A2,4.78,25.68,5.69,39.86,11.76,40.22
7,2020-08-31唐　津日本モーターボート選手会会長杯2R,2,4346,6.94,4,前田健太,35,福岡,54,B1,4.7,23.13,5.46,38.46,36.36,33.33
8,2020-08-31唐　津日本モーターボート選手会会長杯2R,3,3158,6.95,2,島川光男,55,広島,54,A1,6.2,42.57,7.25,61.02,5.88,30.93
9,2020-08-31唐　津日本モーターボート選手会会長杯2R,4,3604,6.98,3,武藤綾子,49,福岡,47,B1,5.05,22.55,5.22,22.22,30.0,24.47
10,2020-08-31唐　津日本モーターボート選手会会長杯2R,5,2930,6.98,5,新良一規,64,山口,53,B1,3.88,19.7,4.67,33.33,33.33,41.41
11,2020-08-31唐　津日本モーターボート選手会会長杯2R,6,5117,6.92,6,冨名腰桃,20,福岡,46,B2,1.29,0.0,1.25,0.0,44.44,29.17
