,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,2020-08-13唐　津お盆特選～がばい王者決定戦～1R,1,4445,6.69,1,宮地元輝,33,佐賀,55,A1,6.98,59.0,6.99,52.42,0.0,48.78
1,2020-08-13唐　津お盆特選～がばい王者決定戦～1R,2,3989,6.88,2,熊本英一,42,佐賀,57,B1,4.68,26.67,4.26,17.24,0.0,40.54
2,2020-08-13唐　津お盆特選～がばい王者決定戦～1R,3,4552,6.86,3,杉山勝匡,31,佐賀,48,B1,4.22,23.47,4.96,38.36,0.0,33.33
3,2020-08-13唐　津お盆特選～がばい王者決定戦～1R,4,4994,6.78,5,山本梨菜,22,佐賀,48,B1,4.41,17.14,3.48,8.54,0.0,32.53
4,2020-08-13唐　津お盆特選～がばい王者決定戦～1R,5,4873,6.77,4,蒲原健太,26,佐賀,52,B1,4.76,28.85,4.23,19.29,0.0,32.53
5,2020-08-13唐　津お盆特選～がばい王者決定戦～1R,6,5029,6.86,6,中　亮太,23,福岡,52,B1,3.3,14.29,3.63,25.0,0.0,42.86
6,2020-08-13唐　津お盆特選～がばい王者決定戦～2R,1,4500,6.79,1,山田康二,32,佐賀,53,A2,7.76,67.62,7.92,66.39,0.0,42.17
7,2020-08-13唐　津お盆特選～がばい王者決定戦～2R,2,4092,6.77,2,岡部大輔,39,佐賀,52,A2,6.27,48.21,5.2,32.1,0.0,36.14
8,2020-08-13唐　津お盆特選～がばい王者決定戦～2R,3,3617,6.81,5,竹田広樹,47,佐賀,55,B1,4.27,25.53,3.9,20.25,0.0,38.46
9,2020-08-13唐　津お盆特選～がばい王者決定戦～2R,4,4765,6.8,3,野田部宏,30,福岡,52,B1,3.7,15.15,2.35,5.88,0.0,37.5
10,2020-08-13唐　津お盆特選～がばい王者決定戦～2R,5,4942,6.79,4,柴田朋哉,30,福岡,52,B1,4.42,22.22,3.65,11.54,0.0,52.94
11,2020-08-13唐　津お盆特選～がばい王者決定戦～2R,6,5131,6.83,6,江藤敦宏,21,福岡,50,B2,1.12,0.0,0.0,0.0,0.0,32.91
12,2020-08-13唐　津お盆特選～がばい王者決定戦～3R,1,4112,6.78,1,大久保信,40,佐賀,50,A2,5.75,35.29,6.06,40.34,0.0,38.37
13,2020-08-13唐　津お盆特選～がばい王者決定戦～3R,2,4724,6.76,2,吉田祐貴,34,佐賀,51,B1,4.58,25.27,4.23,20.79,0.0,24.05
