レースID,順位,選手登番,展示,天候,風向,風速,波高,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-09-26大　村ＢＴＳ松浦開設記念1R,1,3906,6.87,晴,北,4,3,1,飯山晃三,42,長崎,58,B1,4.75,28.45,5.65,38.99,26.42,23.21
2020-09-26大　村ＢＴＳ松浦開設記念1R,2,4393,6.93,晴,北,4,3,3,田中孝明,34,福岡,56,B1,4.32,15.85,5.19,33.33,22.73,28.0
2020-09-26大　村ＢＴＳ松浦開設記念1R,3,3459,6.86,晴,北,4,3,6,中野和裕,53,佐賀,54,B1,3.74,8.77,3.79,17.86,31.48,29.63
2020-09-26大　村ＢＴＳ松浦開設記念1R,4,4855,6.89,晴,北,4,3,2,江頭賢太,24,長崎,51,B1,3.59,15.07,4.96,30.0,30.36,42.86
2020-09-26大　村ＢＴＳ松浦開設記念1R,5,4705,6.91,晴,北,4,3,4,吉川勇作,32,長崎,53,B1,4.22,23.58,5.02,30.77,26.53,29.09
2020-09-26大　村ＢＴＳ松浦開設記念1R,6,4309,6.9,晴,北,4,3,5,坂口明義,36,香川,54,B2,2.57,3.57,3.63,10.0,33.33,27.78
2020-09-26大　村ＢＴＳ松浦開設記念2R,1,4747,6.86,晴,北,5,4,3,山戸信二,35,長崎,51,B1,3.71,13.41,4.24,20.0,28.85,48.15
2020-09-26大　村ＢＴＳ松浦開設記念2R,2,4031,6.93,晴,北,5,4,2,飯島　誠,42,埼玉,52,B1,4.12,26.92,4.4,20.0,17.78,37.04
2020-09-26大　村ＢＴＳ松浦開設記念2R,3,3151,6.91,晴,北,5,4,1,落合敬一,56,長崎,56,B1,3.92,12.99,5.12,32.28,54.9,34.55
2020-09-26大　村ＢＴＳ松浦開設記念2R,4,4946,6.89,晴,北,5,4,4,船越健吾,28,香川,51,B1,4.23,17.58,2.71,17.65,37.5,12.24
2020-09-26大　村ＢＴＳ松浦開設記念2R,5,4041,6.82,晴,北,5,4,6,小林基樹,41,山口,55,B1,4.4,22.79,5.04,30.43,30.77,15.69
2020-09-26大　村ＢＴＳ松浦開設記念2R,6,4457,6.91,晴,北,5,4,5,神田達也,34,愛知,52,B1,4.18,17.95,4.21,10.53,27.27,36.21
2020-09-26大　村ＢＴＳ松浦開設記念3R,1,4121,6.82,晴,北,5,4,1,富永修一,38,福岡,51,B1,5.07,31.91,0.0,0.0,20.45,42.11
2020-09-26大　村ＢＴＳ松浦開設記念3R,2,4323,6.85,晴,北,5,4,5,山田佑樹,33,岡山,57,B1,5.11,32.73,3.24,12.2,37.04,33.33
2020-09-26大　村ＢＴＳ松浦開設記念3R,3,3522,6.9,晴,北,5,4,6,長溝一生,52,佐賀,52,A2,6.13,45.74,6.0,43.18,23.08,37.04
2020-09-26大　村ＢＴＳ松浦開設記念3R,4,2878,6.87,晴,北,5,4,3,富山弘幸,62,大阪,57,A2,5.34,28.18,0.0,0.0,35.59,10.87
2020-09-26大　村ＢＴＳ松浦開設記念3R,5,4226,6.83,晴,北,5,4,2,村田浩司,38,山口,53,B1,4.56,23.26,4.16,28.89,33.33,30.91
2020-09-26大　村ＢＴＳ松浦開設記念3R,6,4368,6.9,晴,北,5,4,4,山口隆史,34,福岡,52,B1,4.51,19.44,5.33,30.56,29.63,12.5
2020-09-26大　村ＢＴＳ松浦開設記念4R,1,3853,6.86,晴,北,5,4,2,岩崎正哉,48,福岡,58,A2,5.73,33.81,5.65,25.0,30.91,37.74
2020-09-26大　村ＢＴＳ松浦開設記念4R,2,3211,6.85,晴,北,5,4,1,北川敏弘,58,佐賀,53,B1,4.32,21.65,5.21,33.33,47.27,29.63
2020-09-26大　村ＢＴＳ松浦開設記念4R,3,3054,6.84,晴,北,5,4,3,北川幸典,57,広島,57,A2,5.74,42.72,5.7,40.0,35.29,41.51
