,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,2020-08-24唐　津か・らっキーバトル２ｎｄ1R,1,4873,6.81,4,蒲原健太,26,佐賀,52,B1,4.75,28.07,4.25,19.32,50.0,50.0
1,2020-08-24唐　津か・らっキーバトル２ｎｄ1R,2,4096,6.8,1,石橋道友,38,長崎,53,A1,6.21,44.23,7.19,58.67,90.0,40.43
2,2020-08-24唐　津か・らっキーバトル２ｎｄ1R,3,5101,6.85,5,表　健太,23,福岡,52,B2,1.54,1.43,1.11,0.0,0.0,40.26
3,2020-08-24唐　津か・らっキーバトル２ｎｄ1R,4,4661,6.81,3,中島昂章,28,佐賀,51,B1,4.68,20.37,4.33,17.48,0.0,31.4
4,2020-08-24唐　津か・らっキーバトル２ｎｄ1R,5,3631,6.85,2,田添康介,50,長崎,58,B1,4.84,24.55,4.87,17.95,90.0,32.1
5,2020-08-24唐　津か・らっキーバトル２ｎｄ1R,6,3411,6.84,6,池上隆行,51,広島,53,B1,3.89,14.52,4.15,17.31,62.5,26.58
6,2020-08-24唐　津か・らっキーバトル２ｎｄ2R,1,4314,6.82,3,青木幸太,36,福岡,51,B1,5.43,30.43,6.15,41.03,20.0,31.11
7,2020-08-24唐　津か・らっキーバトル２ｎｄ2R,2,4367,6.76,1,山口修路,34,福岡,50,A2,5.66,35.11,4.46,23.08,0.0,39.36
8,2020-08-24唐　津か・らっキーバトル２ｎｄ2R,3,3349,6.89,2,吉田一郎,52,長崎,51,A2,6.34,51.35,6.64,54.55,33.33,31.91
9,2020-08-24唐　津か・らっキーバトル２ｎｄ2R,4,3928,6.87,5,林　恵祐,44,福岡,60,B1,4.15,19.61,5.03,32.35,10.0,17.81
10,2020-08-24唐　津か・らっキーバトル２ｎｄ2R,5,3879,6.83,6,中村　格,47,岡山,58,B1,3.99,15.63,4.2,20.0,0.0,31.82
11,2020-08-24唐　津か・らっキーバトル２ｎｄ2R,6,4651,6.84,4,佐藤大騎,35,大阪,52,B1,3.62,15.49,4.92,35.14,0.0,22.62
12,2020-08-24唐　津か・らっキーバトル２ｎｄ3R,1,4416,6.83,1,三宅健太,33,広島,54,A2,5.35,30.63,4.98,31.71,0.0,29.76
13,2020-08-24唐　津か・らっキーバトル２ｎｄ3R,2,4949,6.79,4,横田貴満,27,佐賀,53,B1,4.37,19.1,3.4,13.6,0.0,37.5
14,2020-08-24唐　津か・らっキーバトル２ｎｄ3R,3,4248,6.85,5,岡本　大,38,長崎,55,B1,4.56,25.0,4.0,25.0,30.0,29.55
15,2020-08-24唐　津か・らっキーバトル２ｎｄ3R,4,4143,6.81,2,浦田晃嗣,39,佐賀,56,B1,4.48,22.12,5.03,26.74,0.0,25.84
16,2020-08-24唐　津か・らっキーバトル２ｎｄ3R,5,4710,6.81,3,福田宗平,30,大阪,51,A2,5.76,37.86,5.41,35.29,0.0,31.82
17,2020-08-24唐　津か・らっキーバトル２ｎｄ3R,6,5086,6.81,6,本村　大,21,長崎,54,B2,2.06,1.47,3.0,16.67,10.0,34.83
18,2020-08-24唐　津か・らっキーバトル２ｎｄ4R,1,4106,6.78,1,坂井康嗣,40,佐賀,51,A2,5.64,34.07,5.41,29.38,0.0,28.57
19,2020-08-24唐　津か・らっキーバトル２ｎｄ4R,2,4434,6.75,6,田中辰彦,34,広島,54,A2,5.72,36.04,4.45,27.27,33.33,32.18
20,2020-08-24唐　津か・らっキーバトル２ｎｄ4R,3,4220,6.79,5,深川和仁,38,香川,56,A1,5.6,40.0,8.2,70.0,0.0,30.95
21,2020-08-24唐　津か・らっキーバトル２ｎｄ4R,4,3731,6.89,4,高濱芳久,47,広島,53,B1,5.35,34.51,5.34,44.83,0.0,37.78
22,2020-08-24唐　津か・らっキーバトル２ｎｄ4R,5,4257,6.82,3,古川　健,36,広島,50,B1,4.92,33.02,4.74,33.33,60.0,25.93
23,2020-08-24唐　津か・らっキーバトル２ｎｄ4R,6,3753,6.87,2,河上哲也,49,香川,53,B1,3.81,16.67,3.86,17.86,22.22,34.88
24,2020-08-24唐　津か・らっキーバトル２ｎｄ5R,1,3631,6.85,3,田添康介,50,長崎,58,B1,4.84,24.55,4.87,17.95,90.0,32.1
25,2020-08-24唐　津か・らっキーバトル２ｎｄ5R,2,3600,6.81,2,玄馬　徹,50,岡山,50,B1,4.32,29.03,4.37,26.32,11.11,28.77
26,2020-08-24唐　津か・らっキーバトル２ｎｄ5R,3,4027,6.8,5,松江秀徳,42,佐賀,53,A2,5.9,38.41,6.55,49.71,22.22,21.95
