レースID,順位,選手登番,展示,天候,風向,風速,波高,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-09-24唐　津九州スポーツ杯1R,1,3815,6.77,雨,南,1,1,1,森岡満郎,44,岡山,54,A2,4.94,25.69,5.3,33.33,20.69,36.11
2020-09-24唐　津九州スポーツ杯1R,2,3809,6.81,雨,南,1,1,3,吉田　光,45,佐賀,50,B1,4.91,31.25,5.03,34.17,33.33,45.45
2020-09-24唐　津九州スポーツ杯1R,3,3755,6.87,雨,南,1,1,4,吉村和也,49,長崎,51,B1,4.43,22.67,4.28,18.52,38.46,44.55
2020-09-24唐　津九州スポーツ杯1R,4,3870,6.83,雨,南,1,1,6,寺嶋　雄,44,福井,51,B1,4.4,24.0,4.71,25.0,11.54,25.23
2020-09-24唐　津九州スポーツ杯1R,5,4873,6.77,雨,南,1,1,5,蒲原健太,26,佐賀,52,B1,4.87,28.45,4.29,20.29,25.0,30.0
2020-09-24唐　津九州スポーツ杯1R,6,3044,6.88,雨,南,1,1,2,三宅爾士,59,福井,58,B1,4.29,18.84,0.0,0.0,19.23,30.09
2020-09-24唐　津九州スポーツ杯2R,1,4173,6.82,雨,南,1,1,1,岡谷健吾,37,広島,57,A2,5.95,39.86,5.57,33.33,7.41,36.11
2020-09-24唐　津九州スポーツ杯2R,2,4073,6.84,雨,南,1,1,2,大橋純一,39,静岡,53,A1,6.18,41.43,7.9,71.79,42.86,34.55
2020-09-24唐　津九州スポーツ杯2R,3,3950,6.9,雨,南,1,1,3,石川哲秀,44,大阪,55,B1,4.23,20.41,3.75,15.0,28.57,33.96
2020-09-24唐　津九州スポーツ杯2R,4,3508,6.87,雨,南,1,1,5,久富政弘,49,佐賀,55,B1,4.71,30.61,5.44,34.92,12.5,37.17
2020-09-24唐　津九州スポーツ杯2R,5,3883,6.84,雨,南,1,1,6,山根大樹,46,広島,53,B1,3.78,16.67,5.0,25.93,41.38,33.93
2020-09-24唐　津九州スポーツ杯2R,6,5138,6.88,雨,南,1,1,4,村本大成,20,福岡,53,B2,1.27,0.0,0.0,0.0,14.29,29.52
2020-09-24唐　津九州スポーツ杯3R,1,4357,6.77,曇り ,無風,0,0,1,田中和也,36,大阪,51,A1,7.32,60.69,5.84,35.48,50.0,34.69
2020-09-24唐　津九州スポーツ杯3R,2,5121,6.83,曇り ,無風,0,0,5,定松勇樹,19,佐賀,51,B2,2.57,7.79,2.3,6.67,42.86,38.61
2020-09-24唐　津九州スポーツ杯3R,3,4299,6.82,曇り ,無風,0,0,4,中島浩哉,37,長崎,57,B1,4.77,26.96,4.73,17.5,41.67,32.08
2020-09-24唐　津九州スポーツ杯3R,4,4232,6.86,曇り ,無風,0,0,6,笠　雅雄,37,福岡,60,B1,3.78,19.75,3.13,6.25,41.38,21.65
2020-09-24唐　津九州スポーツ杯3R,5,4448,6.8,曇り ,無風,0,0,3,青木玄太,33,滋賀,51,A2,6.69,50.41,6.16,39.47,39.29,28.71
2020-09-24唐　津九州スポーツ杯3R,6,4969,6.79,曇り ,無風,0,0,2,町田洸希,29,長崎,53,B1,4.16,17.02,2.15,0.0,25.0,39.25
2020-09-24唐　津九州スポーツ杯4R,1,4163,6.72,曇り ,無風,0,0,1,山崎裕司,38,広島,52,A2,5.97,41.18,5.96,34.55,53.57,29.36
2020-09-24唐　津九州スポーツ杯4R,2,4503,6.86,曇り ,無風,0,0,3,上野真之,32,佐賀,51,A1,7.94,63.2,7.72,64.16,51.72,22.73
2020-09-24唐　津九州スポーツ杯4R,3,4639,6.81,曇り ,無風,0,0,2,雑賀勇貴,29,大阪,52,B1,4.24,19.32,4.33,16.67,24.14,36.19
2020-09-24唐　津九州スポーツ杯4R,4,4060,6.85,曇り ,無風,0,0,6,島田一生,41,福岡,55,A2,5.59,37.07,5.36,40.91,46.43,28.3
