,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,2020-08-23唐　津か・らっキーバトル２ｎｄ1R,1,4352,6.84,1,下條雄太,34,長崎,52,A1,7.14,55.36,5.81,37.04,0.0,42.53
1,2020-08-23唐　津か・らっキーバトル２ｎｄ1R,2,4966,6.84,2,田川大貴,22,長崎,53,B1,4.74,24.73,3.98,15.91,60.0,23.53
2,2020-08-23唐　津か・らっキーバトル２ｎｄ1R,3,4180,6.88,3,上野秀和,37,福岡,58,B1,4.04,19.35,5.21,31.03,0.0,30.11
3,2020-08-23唐　津か・らっキーバトル２ｎｄ1R,4,3411,6.8,4,池上隆行,51,広島,53,B1,3.89,14.52,4.15,17.31,62.5,26.58
4,2020-08-23唐　津か・らっキーバトル２ｎｄ1R,5,4143,6.84,5,浦田晃嗣,39,佐賀,56,B1,4.48,22.12,5.03,26.74,0.0,25.84
5,2020-08-23唐　津か・らっキーバトル２ｎｄ1R,6,5101,6.76,6,表　健太,23,福岡,52,B2,1.54,1.43,1.11,0.0,0.0,40.26
6,2020-08-23唐　津か・らっキーバトル２ｎｄ2R,1,4027,6.75,1,松江秀徳,42,佐賀,53,A2,5.9,38.41,6.55,49.71,22.22,21.95
7,2020-08-23唐　津か・らっキーバトル２ｎｄ2R,2,5086,6.83,4,本村　大,21,長崎,54,B2,2.06,1.47,3.0,16.67,10.0,34.83
8,2020-08-23唐　津か・らっキーバトル２ｎｄ2R,3,3631,6.84,5,田添康介,50,長崎,58,B1,4.84,24.55,4.87,17.95,90.0,32.1
9,2020-08-23唐　津か・らっキーバトル２ｎｄ2R,4,4710,6.83,2,福田宗平,30,大阪,51,A2,5.76,37.86,5.41,35.29,0.0,31.82
10,2020-08-23唐　津か・らっキーバトル２ｎｄ2R,5,4268,6.84,6,和合俊介,34,福岡,57,B1,4.1,18.75,3.58,13.89,22.22,40.96
11,2020-08-23唐　津か・らっキーバトル２ｎｄ2R,6,3734,6.85,3,宮田政勝,46,福岡,54,B1,5.35,36.27,5.38,29.79,0.0,28.09
12,2020-08-23唐　津か・らっキーバトル２ｎｄ3R,1,3731,6.87,2,高濱芳久,47,広島,53,B1,5.35,34.51,5.34,44.83,0.0,37.78
13,2020-08-23唐　津か・らっキーバトル２ｎｄ3R,2,4148,6.84,3,枝尾　賢,38,福岡,50,A1,7.31,56.83,6.72,56.25,0.0,31.91
14,2020-08-23唐　津か・らっキーバトル２ｎｄ3R,3,4272,6.83,1,大場広孝,38,福岡,59,A2,5.27,34.48,4.26,23.08,20.0,18.6
15,2020-08-23唐　津か・らっキーバトル２ｎｄ3R,4,4257,6.83,5,古川　健,36,広島,50,B1,4.92,33.02,4.74,33.33,60.0,25.93
16,2020-08-23唐　津か・らっキーバトル２ｎｄ3R,5,4661,6.79,6,中島昂章,28,佐賀,51,B1,4.68,20.37,4.33,17.48,0.0,31.4
