レースID,順位,選手登番,展示,天候,風向,風速,波高,会場,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-08-30芦　屋ＢＴＳ高城オープン２２周年記念1R,1,4043,6.82,晴,無風,0,1,芦　屋,1,桐本康臣,40,三重,55,A1,5.9,41.61,7.94,74.29,19.61,36.05
2020-08-30芦　屋ＢＴＳ高城オープン２２周年記念1R,2,3261,6.89,晴,無風,0,1,芦　屋,4,大川茂実,57,岡山,50,B1,4.53,21.1,0.0,0.0,29.63,28.0
2020-08-30芦　屋ＢＴＳ高城オープン２２周年記念1R,3,3741,6.88,晴,無風,0,1,芦　屋,3,松尾基成,46,福岡,56,B1,4.44,23.0,4.49,18.87,38.6,33.33
2020-08-30芦　屋ＢＴＳ高城オープン２２周年記念1R,4,2912,6.88,晴,無風,0,1,芦　屋,2,尾崎鉄也,64,長崎,56,B1,4.49,27.84,4.53,31.37,20.41,26.76
2020-08-30芦　屋ＢＴＳ高城オープン２２周年記念1R,5,5075,6.86,晴,無風,0,1,芦　屋,6,中島秀治,24,滋賀,54,B1,3.13,8.6,3.22,0.0,28.3,27.63
2020-08-30芦　屋ＢＴＳ高城オープン２２周年記念1R,6,4974,6.83,晴,無風,0,1,芦　屋,5,安井瑞紀,27,岡山,48,B1,4.57,25.0,2.0,0.0,24.07,25.3
2020-08-30芦　屋ＢＴＳ高城オープン２２周年記念2R,1,4259,6.86,晴,東,1,1,芦　屋,1,真庭明志,36,長崎,52,A2,5.89,43.62,5.38,31.03,25.45,12.99
2020-08-30芦　屋ＢＴＳ高城オープン２２周年記念2R,2,4370,6.97,晴,東,1,1,芦　屋,4,山口達也,33,岡山,56,A1,5.92,46.67,7.13,56.25,23.08,30.77
2020-08-30芦　屋ＢＴＳ高城オープン２２周年記念2R,3,3953,6.85,晴,東,1,1,芦　屋,2,志道吉和,43,福岡,51,B1,5.14,36.44,5.45,40.63,25.86,32.91
2020-08-30芦　屋ＢＴＳ高城オープン２２周年記念2R,4,3994,6.85,晴,東,1,1,芦　屋,5,茶谷　桜,41,滋賀,46,B1,5.11,30.7,3.88,25.0,24.49,25.68
2020-08-30芦　屋ＢＴＳ高城オープン２２周年記念2R,5,3478,6.88,晴,東,1,1,芦　屋,3,嶋田貴支,49,香川,51,B1,5.38,30.91,5.71,42.86,38.98,19.18
2020-08-30芦　屋ＢＴＳ高城オープン２２周年記念2R,6,3254,6.94,晴,東,1,1,芦　屋,6,柳澤千春,53,香川,46,B1,4.25,17.5,4.68,15.79,22.73,44.71
