レースID,順位,選手登番,展示,天候,風向,風速,波高,会場,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-08-20大　村ヴィーナスシリーズ第１０戦1R,1,4924,7.02,晴,西,2,1,大　村,6,中北　涼,27,長崎,46,B1,3.63,14.81,3.28,8.0,32.26,32.43
2020-08-20大　村ヴィーナスシリーズ第１０戦1R,2,4720,7.05,晴,西,2,1,大　村,3,西澤日花,26,長崎,44,B2,3.97,15.79,3.65,13.46,31.25,41.38
2020-08-20大　村ヴィーナスシリーズ第１０戦1R,3,4997,7.02,晴,西,2,1,大　村,2,濱崎寿里,27,埼玉,50,B2,2.18,5.13,1.63,0.0,36.11,67.65
2020-08-20大　村ヴィーナスシリーズ第１０戦1R,4,4998,6.97,晴,西,2,1,大　村,1,中村かな,26,東京,45,B1,3.86,20.0,1.13,0.0,33.33,40.0
2020-08-20大　村ヴィーナスシリーズ第１０戦1R,5,5079,7.01,晴,西,2,1,大　村,4,大石真央,22,静岡,47,B2,1.88,0.0,0.0,0.0,36.84,34.29
2020-08-20大　村ヴィーナスシリーズ第１０戦1R,6,5140,7.01,晴,西,2,1,大　村,5,吉田彩乃,19,静岡,52,B2,1.15,0.0,0.0,0.0,30.0,38.46
2020-08-20大　村ヴィーナスシリーズ第１０戦2R,1,4844,7.01,晴,西,1,1,大　村,6,村上奈穂,27,広島,48,B1,4.06,18.18,4.89,21.05,43.59,25.71
2020-08-20大　村ヴィーナスシリーズ第１０戦2R,2,5108,7.07,晴,西,1,1,大　村,5,柴田愛梨,21,群馬,47,B2,1.48,0.0,0.0,0.0,41.18,36.84
2020-08-20大　村ヴィーナスシリーズ第１０戦2R,3,5129,7.04,晴,西,1,1,大　村,4,山口真喜,23,長崎,49,B2,1.41,0.0,1.0,0.0,37.84,33.33
2020-08-20大　村ヴィーナスシリーズ第１０戦3R,1,4791,7.01,晴,西,1,1,大　村,1,黒澤めぐ,30,東京,49,B1,5.42,35.94,3.78,11.11,36.11,38.64
2020-08-20大　村ヴィーナスシリーズ第１０戦3R,2,4825,7.01,晴,西,1,1,大　村,4,倉持莉々,26,東京,50,A2,5.86,33.85,4.57,13.04,48.39,40.0
2020-08-20大　村ヴィーナスシリーズ第１０戦3R,3,4117,7.02,晴,西,1,1,大　村,2,廣中智紗,39,東京,45,A2,6.53,44.57,7.27,60.0,45.95,47.5
2020-08-20大　村ヴィーナスシリーズ第１０戦3R,4,4974,6.99,晴,西,1,1,大　村,3,安井瑞紀,27,岡山,49,B1,4.6,25.29,2.5,7.14,31.82,40.54
2020-08-20大　村ヴィーナスシリーズ第１０戦3R,5,3182,7.06,晴,西,1,1,大　村,5,久保田美,55,群馬,50,B1,3.71,20.83,3.0,4.17,34.29,33.33
2020-08-20大　村ヴィーナスシリーズ第１０戦3R,6,5013,6.99,晴,西,1,1,大　村,6,山下夏鈴,23,三重,45,B1,3.18,12.5,3.0,10.53,51.35,37.21
2020-08-20大　村ヴィーナスシリーズ第１０戦4R,1,4208,6.94,晴,北西,1,1,大　村,2,三浦永理,37,静岡,47,B1,6.0,47.62,5.2,30.0,31.91,42.42
