,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,2020-08-21大　村ヴィーナスシリーズ第１０戦1R,1,4870,6.96,2,新田有理,28,広島,45,B1,4.41,23.33,4.19,18.75,33.33,35.29
1,2020-08-21大　村ヴィーナスシリーズ第１０戦1R,2,4088,6.98,1,野田祥子,40,長崎,47,B1,4.66,30.26,4.54,25.88,32.43,29.17
2,2020-08-21大　村ヴィーナスシリーズ第１０戦1R,3,4947,6.99,4,間庭菜摘,28,福岡,48,B2,2.74,7.41,1.75,6.25,41.67,36.54
3,2020-08-21大　村ヴィーナスシリーズ第１０戦1R,4,5108,7.02,5,柴田愛梨,21,群馬,47,B2,1.48,0.0,0.0,0.0,41.18,36.84
4,2020-08-21大　村ヴィーナスシリーズ第１０戦1R,5,4720,7.03,3,西澤日花,26,長崎,44,B2,3.97,15.79,3.65,13.46,31.25,41.38
5,2020-08-21大　村ヴィーナスシリーズ第１０戦1R,6,5129,7.03,6,山口真喜,23,長崎,49,B2,1.41,0.0,1.0,0.0,37.84,33.33
6,2020-08-21大　村ヴィーナスシリーズ第１０戦2R,1,4924,6.95,1,中北　涼,27,長崎,46,B1,3.63,14.81,3.28,8.0,32.26,32.43
7,2020-08-21大　村ヴィーナスシリーズ第１０戦2R,2,4791,6.99,5,黒澤めぐ,30,東京,49,B1,5.42,35.94,3.78,11.11,36.11,38.64
8,2020-08-21大　村ヴィーナスシリーズ第１０戦2R,3,4964,7.07,3,土屋　南,23,岡山,48,A2,6.12,41.73,5.49,35.9,31.58,32.35
9,2020-08-21大　村ヴィーナスシリーズ第１０戦2R,4,5069,6.98,4,山崎小葉,19,群馬,44,B1,2.76,4.29,0.0,0.0,37.84,38.46
10,2020-08-21大　村ヴィーナスシリーズ第１０戦2R,5,4689,6.98,2,豊田　結,27,静岡,56,B1,4.27,21.0,3.94,11.76,45.71,53.33
11,2020-08-21大　村ヴィーナスシリーズ第１０戦2R,6,5013,6.97,6,山下夏鈴,23,三重,45,B1,3.18,12.5,3.0,10.53,51.35,37.21
12,2020-08-21大　村ヴィーナスシリーズ第１０戦3R,1,5057,6.81,2,上田紗奈,24,大阪,45,B1,3.77,22.08,2.04,8.33,46.88,44.12
13,2020-08-21大　村ヴィーナスシリーズ第１０戦3R,2,4183,6.96,3,宇野弥生,34,愛知,47,A1,5.61,37.31,5.05,21.05,52.63,40.0
14,2020-08-21大　村ヴィーナスシリーズ第１０戦3R,3,3334,6.85,1,角ひとみ,51,広島,45,A2,5.3,34.38,0.0,0.0,42.86,54.05
15,2020-08-21大　村ヴィーナスシリーズ第１０戦3R,4,4998,6.83,4,中村かな,26,東京,45,B1,3.86,20.0,1.13,0.0,33.33,40.0
16,2020-08-21大　村ヴィーナスシリーズ第１０戦3R,5,4408,6.83,6,仁科さや,34,長崎,48,B2,3.93,22.22,3.5,8.33,35.9,27.78
17,2020-08-21大　村ヴィーナスシリーズ第１０戦3R,6,5140,6.89,5,吉田彩乃,19,静岡,52,B2,1.15,0.0,0.0,0.0,30.0,38.46
18,2020-08-21大　村ヴィーナスシリーズ第１０戦4R,1,3618,6.84,1,海野ゆか,46,広島,44,A2,6.48,46.51,6.88,53.85,38.24,37.14
19,2020-08-21大　村ヴィーナスシリーズ第１０戦4R,2,4123,6.92,2,細川裕子,38,愛知,48,A1,6.8,55.17,5.75,25.0,42.42,41.67
20,2020-08-21大　村ヴィーナスシリーズ第１０戦4R,3,4546,6.92,5,浜田亜理,32,埼玉,47,A2,5.99,41.24,6.27,45.45,40.0,38.89
21,2020-08-21大　村ヴィーナスシリーズ第１０戦4R,4,5079,6.9,4,大石真央,22,静岡,47,B2,1.88,0.0,0.0,0.0,36.84,34.29
22,2020-08-21大　村ヴィーナスシリーズ第１０戦4R,5,4473,6.91,6,藤堂里香,33,福井,44,B2,3.8,16.33,4.82,36.36,31.43,44.19
23,2020-08-21大　村ヴィーナスシリーズ第１０戦4R,6,4997,6.91,3,濱崎寿里,27,埼玉,50,B2,2.18,5.13,1.63,0.0,36.11,67.65
24,2020-08-21大　村ヴィーナスシリーズ第１０戦5R,1,4556,6.84,1,竹井奈美,31,福岡,47,A1,6.88,54.44,7.67,77.78,43.33,40.0
25,2020-08-21大　村ヴィーナスシリーズ第１０戦5R,2,4825,6.93,3,倉持莉々,26,東京,50,A2,5.86,33.85,4.57,13.04,48.39,40.0
26,2020-08-21大　村ヴィーナスシリーズ第１０戦5R,3,3611,6.94,4,岩崎芳美,48,徳島,48,A1,6.27,43.81,4.38,18.75,53.33,30.77
27,2020-08-21大　村ヴィーナスシリーズ第１０戦5R,4,5003,6.95,2,来田衣織,24,兵庫,48,B1,3.41,13.51,1.13,0.0,30.23,29.41
28,2020-08-21大　村ヴィーナスシリーズ第１０戦5R,5,5019,6.92,5,柴田百恵,20,静岡,45,B1,4.25,18.45,1.5,0.0,31.58,36.36
29,2020-08-21大　村ヴィーナスシリーズ第１０戦5R,6,5129,6.99,6,山口真喜,23,長崎,49,B2,1.41,0.0,1.0,0.0,37.84,33.33
30,2020-08-21大　村ヴィーナスシリーズ第１０戦6R,1,4482,6.99,1,守屋美穂,31,岡山,44,A1,7.43,56.03,7.18,60.71,33.33,25.71
31,2020-08-21大　村ヴィーナスシリーズ第１０戦6R,2,4478,7.03,3,櫻本あゆ,32,東京,46,A2,6.44,50.59,0.0,0.0,34.29,43.24
32,2020-08-21大　村ヴィーナスシリーズ第１０戦6R,3,3871,7.01,5,池田紫乃,44,長崎,44,A2,4.81,29.33,4.67,32.69,42.42,30.77
33,2020-08-21大　村ヴィーナスシリーズ第１０戦6R,4,5069,6.93,6,山崎小葉,19,群馬,44,B1,2.76,4.29,0.0,0.0,37.84,38.46
34,2020-08-21大　村ヴィーナスシリーズ第１０戦6R,5,3182,7.0,4,久保田美,55,群馬,50,B1,3.71,20.83,3.0,4.17,34.29,33.33
35,2020-08-21大　村ヴィーナスシリーズ第１０戦6R,6,4963,6.95,2,實森美祐,23,広島,47,B1,5.44,35.16,4.83,33.33,35.29,31.43
36,2020-08-21大　村ヴィーナスシリーズ第１０戦7R,1,4464,6.91,1,山下友貴,34,静岡,43,A2,5.5,30.26,3.71,11.76,35.48,42.5
