,レースID,順位,選手登番,展示,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
0,ＢＴＳ松浦開設記念1,1,4725,6.83,2,佐竹太一,34,兵庫,51,B1,4.93,28.8,5.21,33.33,28.57,26.42
1,ＢＴＳ松浦開設記念1,2,4919,6.84,1,吉田翔悟,29,長崎,52,B1,4.83,30.48,4.16,19.85,11.36,19.57
2,ＢＴＳ松浦開設記念1,3,4946,6.85,4,船越健吾,28,香川,51,B1,4.23,17.58,2.71,17.65,37.5,12.24
3,ＢＴＳ松浦開設記念1,4,3246,6.82,3,星野政彦,56,兵庫,54,B1,4.88,26.36,3.86,14.29,28.57,49.09
4,ＢＴＳ松浦開設記念1,5,4031,6.89,5,飯島　誠,42,埼玉,52,B1,4.12,26.92,4.4,20.0,17.78,37.04
5,ＢＴＳ松浦開設記念1,6,5136,6.89,6,濱野斗馬,20,香川,54,B2,1.18,0.0,0.0,0.0,30.0,31.11
6,ＢＴＳ松浦開設記念2,1,4782,6.83,2,浜崎準也,33,岡山,49,B1,5.93,42.75,4.31,25.0,40.38,36.54
7,ＢＴＳ松浦開設記念2,2,4747,6.84,1,山戸信二,35,長崎,51,B1,3.71,13.41,4.24,20.0,28.85,48.15
8,ＢＴＳ松浦開設記念2,3,4215,6.81,3,吉島祥之,36,愛知,56,B1,5.05,27.56,5.76,40.0,24.53,44.23
9,ＢＴＳ松浦開設記念2,4,4705,6.88,5,吉川勇作,32,長崎,53,B1,4.22,23.58,5.02,30.77,26.53,29.09
10,ＢＴＳ松浦開設記念2,5,3151,6.91,6,落合敬一,56,長崎,56,B1,3.92,12.99,5.12,32.28,54.9,34.55
11,ＢＴＳ松浦開設記念2,6,4309,6.88,4,坂口明義,36,香川,54,B2,2.57,3.57,3.63,10.0,33.33,27.78
12,ＢＴＳ松浦開設記念3,1,4886,6.87,2,入海　馨,24,岡山,54,A2,5.31,35.96,6.73,53.85,38.89,17.07
13,ＢＴＳ松浦開設記念3,2,4041,6.8,1,小林基樹,41,山口,55,B1,4.4,22.79,5.04,30.43,30.77,15.69
14,ＢＴＳ松浦開設記念3,3,4184,6.77,5,渡邊雄一,34,大阪,50,A1,6.2,42.64,0.0,0.0,38.46,18.87
15,ＢＴＳ松浦開設記念3,4,4252,6.79,4,松下哲也,37,福岡,51,B1,4.44,21.24,4.33,23.08,54.72,30.36
16,ＢＴＳ松浦開設記念3,5,4635,6.88,3,峰重力也,30,岡山,53,B1,5.09,30.21,4.63,23.33,37.5,37.5
17,ＢＴＳ松浦開設記念3,6,4226,6.81,6,村田浩司,38,山口,53,B1,4.56,23.26,4.16,28.89,33.33,30.91
18,ＢＴＳ松浦開設記念4,1,4323,6.84,4,山田佑樹,33,岡山,57,B1,5.11,32.73,3.24,12.2,37.04,33.33
19,ＢＴＳ松浦開設記念4,2,3459,6.84,1,中野和裕,53,佐賀,54,B1,3.74,8.77,3.79,17.86,31.48,29.63
20,ＢＴＳ松浦開設記念4,3,4931,6.8,3,木谷賢太,24,香川,53,A2,5.73,41.11,5.61,35.71,44.23,25.64
21,ＢＴＳ松浦開設記念4,4,4547,6.86,2,中田竜太,32,埼玉,50,A1,6.38,45.95,6.31,30.77,33.33,17.78
