レースID,順位,選手登番,展示,天候,風向,風速,波高,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-09-28大　村ＢＴＳ松浦開設記念1R,1,3906,6.93,晴,南西,1,1,1,飯山晃三,42,長崎,58,B1,4.75,28.45,5.65,38.99,26.42,23.21
2020-09-28大　村ＢＴＳ松浦開設記念1R,2,4393,6.95,晴,南西,1,1,2,田中孝明,34,福岡,56,B1,4.32,15.85,5.19,33.33,22.73,28.0
2020-09-28大　村ＢＴＳ松浦開設記念1R,3,4031,6.97,晴,南西,1,1,3,飯島　誠,42,埼玉,52,B1,4.12,26.92,4.4,20.0,17.78,37.04
2020-09-28大　村ＢＴＳ松浦開設記念1R,4,4705,6.98,晴,南西,1,1,4,吉川勇作,32,長崎,53,B1,4.22,23.58,5.02,30.77,26.53,29.09
2020-09-28大　村ＢＴＳ松浦開設記念1R,5,3151,6.99,晴,南西,1,1,5,落合敬一,56,長崎,56,B1,3.92,12.99,5.12,32.28,54.9,34.55
2020-09-28大　村ＢＴＳ松浦開設記念1R,6,4457,6.98,晴,南西,1,1,6,神田達也,34,愛知,52,B1,4.18,17.95,4.21,10.53,27.27,36.21
2020-09-28大　村ＢＴＳ松浦開設記念2R,1,4226,6.96,晴,南,1,1,4,村田浩司,38,山口,53,B1,4.56,23.26,4.16,28.89,33.33,30.91
2020-09-28大　村ＢＴＳ松浦開設記念2R,2,3459,6.91,晴,南,1,1,3,中野和裕,53,佐賀,54,B1,3.74,8.77,3.79,17.86,31.48,29.63
2020-09-28大　村ＢＴＳ松浦開設記念2R,3,4747,6.96,晴,南,1,1,6,山戸信二,35,長崎,51,B1,3.71,13.41,4.24,20.0,28.85,48.15
2020-09-28大　村ＢＴＳ松浦開設記念2R,4,4368,6.96,晴,南,1,1,1,山口隆史,34,福岡,52,B1,4.51,19.44,5.33,30.56,29.63,12.5
2020-09-28大　村ＢＴＳ松浦開設記念2R,5,4855,6.91,晴,南,1,1,2,江頭賢太,24,長崎,51,B1,3.59,15.07,4.96,30.0,30.36,42.86
2020-09-28大　村ＢＴＳ松浦開設記念2R,6,5136,7.0,晴,南,1,1,5,濱野斗馬,20,香川,54,B2,1.18,0.0,0.0,0.0,30.0,31.11
2020-09-28大　村ＢＴＳ松浦開設記念3R,1,3951,6.91,晴,南,1,1,5,石川吉鎬,44,大阪,56,B1,5.36,31.68,5.0,25.0,50.94,28.89
2020-09-28大　村ＢＴＳ松浦開設記念3R,2,4121,6.93,晴,南,1,1,4,富永修一,38,福岡,51,B1,5.07,31.91,0.0,0.0,20.45,42.11
2020-09-28大　村ＢＴＳ松浦開設記念3R,3,3522,6.96,晴,南,1,1,3,長溝一生,52,佐賀,52,A2,6.13,45.74,6.0,43.18,23.08,37.04
