レースID,順位,選手登番,展示,天候,風向,風速,波高,会場,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-08-19大　村ヴィーナスシリーズ第１０戦1R,1,4720,7.02,晴,北西,1,1,大　村,1,西澤日花,26,長崎,44,B2,3.97,15.79,3.65,13.46,31.25,41.38
2020-08-19大　村ヴィーナスシリーズ第１０戦1R,2,5088,6.97,晴,北西,1,1,大　村,5,高憧四季,20,大阪,47,B1,1.74,2.13,1.4,0.0,56.76,42.22
2020-08-19大　村ヴィーナスシリーズ第１０戦1R,3,5069,6.95,晴,北西,1,1,大　村,4,山崎小葉,19,群馬,44,B1,2.76,4.29,0.0,0.0,37.84,38.46
2020-08-19大　村ヴィーナスシリーズ第１０戦1R,4,4088,6.96,晴,北西,1,1,大　村,3,野田祥子,40,長崎,47,B1,4.66,30.26,4.54,25.88,32.43,29.17
2020-08-19大　村ヴィーナスシリーズ第１０戦1R,5,4947,6.98,晴,北西,1,1,大　村,2,間庭菜摘,28,福岡,48,B2,2.74,7.41,1.75,6.25,41.67,36.54
2020-08-19大　村ヴィーナスシリーズ第１０戦1R,6,5013,6.96,晴,北西,1,1,大　村,6,山下夏鈴,23,三重,45,B1,3.18,12.5,3.0,10.53,51.35,37.21
2020-08-19大　村ヴィーナスシリーズ第１０戦2R,1,4844,7.01,晴,北西,1,1,大　村,1,村上奈穂,27,広島,48,B1,4.06,18.18,4.89,21.05,43.59,25.71
2020-08-19大　村ヴィーナスシリーズ第１０戦2R,2,4963,6.99,晴,北西,1,1,大　村,6,實森美祐,23,広島,47,B1,5.44,35.16,4.83,33.33,35.29,31.43
2020-08-19大　村ヴィーナスシリーズ第１０戦2R,3,3182,6.98,晴,北西,1,1,大　村,2,久保田美,55,群馬,50,B1,3.71,20.83,3.0,4.17,34.29,33.33
2020-08-19大　村ヴィーナスシリーズ第１０戦2R,4,5129,6.99,晴,北西,1,1,大　村,4,山口真喜,23,長崎,49,B2,1.41,0.0,1.0,0.0,37.84,33.33
