レースID,順位,選手登番,展示,天候,風向,風速,波高,会場,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭1R,1,4105,7.02,晴,南西,3,2,大　村,4,松下直也,40,兵庫,51,A2,5.48,35.04,4.06,29.41,29.63,44.44
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭1R,2,3944,7.0,晴,南西,3,2,大　村,1,山口裕二,41,長崎,52,A1,6.36,41.1,7.44,60.41,50.0,34.78
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭1R,3,4645,7.03,晴,南西,3,2,大　村,5,上村純一,40,群馬,52,A2,6.09,48.57,5.92,42.31,29.17,48.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭1R,4,4416,7.07,晴,南西,3,2,大　村,6,三宅健太,33,広島,53,A2,5.65,34.58,5.22,28.57,22.73,52.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭1R,5,3901,7.1,晴,南西,3,2,大　村,2,松田憲幸,43,山口,51,A2,5.46,34.56,5.24,33.33,47.62,42.86
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭1R,6,3757,7.0,晴,南西,3,2,大　村,3,畑　和宏,48,広島,51,A2,5.82,38.74,6.08,48.0,29.17,33.33
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭2R,1,4171,7.02,晴,南西,3,2,大　村,1,榎　幸司,37,長崎,52,A2,6.42,47.33,7.09,57.0,43.48,38.1
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭2R,2,4172,7.03,晴,南西,3,2,大　村,2,森定晃史,37,岡山,51,A1,6.28,42.54,6.89,53.57,39.29,42.86
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭2R,3,4260,7.08,晴,南西,3,2,大　村,3,中越博紀,36,香川,54,A1,6.15,43.09,6.85,42.5,53.57,37.5
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭2R,4,4584,6.98,晴,南西,3,2,大　村,4,村岡賢人,30,岡山,52,A1,6.9,51.54,5.86,35.71,34.78,80.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭2R,5,4880,7.05,晴,南西,3,2,大　村,5,澤崎雄哉,25,東京,51,A2,5.49,36.46,4.89,11.11,37.5,22.22
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭2R,6,4531,7.05,晴,南西,3,2,大　村,6,武富智亮,31,佐賀,51,A2,6.2,46.72,6.4,44.0,52.63,35.29
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭3R,1,4494,6.92,晴,南西,2,1,大　村,1,河合佑樹,33,静岡,50,A2,6.92,53.85,7.0,50.0,45.83,36.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭3R,2,4112,7.01,晴,南西,2,1,大　村,4,大久保信,40,佐賀,51,A2,5.82,37.4,5.32,31.67,43.75,24.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭3R,3,4601,6.93,晴,南西,2,1,大　村,2,森野正弘,35,山口,54,A1,6.68,55.0,6.48,52.17,40.0,40.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭3R,4,4553,7.01,晴,南西,2,1,大　村,3,坪口竜也,31,長崎,54,A2,5.7,35.96,5.99,40.28,36.84,25.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭3R,5,3790,7.06,晴,南西,2,1,大　村,5,佐口達也,48,群馬,55,A2,5.21,33.57,4.53,17.65,35.29,33.33
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭3R,6,4352,6.99,晴,南西,2,1,大　村,6,下條雄太,34,長崎,52,A1,7.03,55.08,7.44,59.35,37.04,23.08
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭4R,1,3746,6.99,晴,西,3,2,大　村,5,岡瀬正人,45,岡山,52,A2,5.88,39.86,6.09,46.67,62.5,40.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭4R,2,4042,6.96,晴,西,3,2,大　村,6,丸岡正典,40,大阪,51,A1,6.32,41.01,7.09,50.72,28.57,38.1
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭4R,3,3685,6.95,晴,西,3,2,大　村,1,荒井輝年,46,岡山,56,A1,6.81,50.63,7.65,60.0,32.0,42.86
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭4R,4,4099,6.98,晴,西,3,2,大　村,2,吉永則雄,41,大阪,52,A2,6.42,44.55,6.22,44.44,25.0,37.04
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭4R,5,4715,6.99,晴,西,3,2,大　村,4,村上　遼,28,長崎,51,A2,6.45,47.92,6.36,49.43,77.78,26.67
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭4R,6,4175,7.02,晴,西,3,2,大　村,3,川尻泰輔,37,埼玉,55,A2,5.37,34.48,5.89,42.11,27.27,28.57
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭5R,1,3997,6.94,晴,南西,1,1,大　村,1,北村征嗣,41,大阪,54,A1,6.95,49.67,0.0,0.0,30.43,54.55
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭5R,2,4469,7.0,晴,南西,1,1,大　村,2,土山卓也,33,福井,54,A2,5.89,37.9,6.44,44.19,42.86,40.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭5R,3,4070,6.98,晴,南西,1,1,大　村,5,中村亮太,39,長崎,50,A2,6.68,48.72,7.07,60.45,34.78,35.29
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭5R,4,4645,7.0,晴,南西,1,1,大　村,3,上村純一,40,群馬,52,A2,6.09,48.57,5.92,42.31,29.17,48.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭5R,5,3837,7.02,晴,南西,1,1,大　村,6,秋山広一,45,香川,49,A1,6.56,42.75,6.87,52.17,23.08,21.43
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭5R,6,3251,7.01,晴,南西,1,1,大　村,4,平石和男,54,埼玉,51,A2,6.04,36.88,6.34,46.88,55.56,22.22
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭6R,1,4166,6.92,晴,南西,1,1,大　村,4,吉田拡郎,38,岡山,53,A1,7.35,55.56,7.03,51.28,37.04,41.67
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭6R,2,4061,6.97,晴,南西,1,1,大　村,1,萩原秀人,41,福井,54,A1,7.44,53.38,7.07,50.0,31.58,27.78
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭6R,3,3612,7.04,晴,南西,1,1,大　村,5,馬袋義則,47,兵庫,52,A2,6.0,44.1,7.57,56.67,30.77,29.63
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭6R,4,3622,6.98,晴,南西,1,1,大　村,6,山崎智也,46,群馬,52,A1,6.89,49.46,5.93,26.83,31.58,36.36
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭6R,5,4060,7.01,晴,南西,1,1,大　村,2,島田一生,41,福岡,55,A2,5.38,36.75,5.5,36.54,33.33,25.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭6R,6,3901,7.05,晴,南西,1,1,大　村,3,松田憲幸,43,山口,51,A2,5.46,34.56,5.24,33.33,47.62,42.86
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭7R,1,4084,6.92,晴,南西,1,1,大　村,1,杉山正樹,40,愛知,54,A1,6.86,46.9,6.91,56.82,29.17,42.86
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭7R,2,4402,6.95,晴,南西,1,1,大　村,3,乙藤智史,35,福岡,54,A2,5.89,39.2,6.57,47.83,23.81,24.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭7R,3,4308,6.98,晴,南西,1,1,大　村,6,河村　了,36,愛知,51,A1,7.04,45.38,5.94,32.35,51.85,56.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭7R,4,4932,6.98,晴,南西,1,1,大　村,2,新開　航,24,福岡,51,A1,6.11,41.25,5.12,26.92,62.07,50.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭7R,5,4105,7.03,晴,南西,1,1,大　村,5,松下直也,40,兵庫,51,A2,5.48,35.04,4.06,29.41,29.63,44.44
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭7R,6,4496,6.93,晴,南西,1,1,大　村,4,内堀　学,33,東京,54,A1,6.69,50.41,6.24,29.41,31.58,34.62
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭8R,1,4504,6.99,晴,南西,1,1,大　村,1,前田将太,32,福岡,55,A1,7.29,56.69,6.11,38.89,55.56,35.71
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭8R,2,4112,7.01,晴,南西,1,1,大　村,2,大久保信,40,佐賀,51,A2,5.82,37.4,5.32,31.67,43.75,24.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭8R,3,3746,7.02,晴,南西,1,1,大　村,3,岡瀬正人,45,岡山,52,A2,5.88,39.86,6.09,46.67,62.5,40.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭8R,4,3959,6.96,晴,南西,1,1,大　村,6,坪井康晴,42,静岡,53,A1,7.29,51.88,6.79,40.35,29.17,27.78
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭8R,5,4172,7.05,晴,南西,1,1,大　村,4,森定晃史,37,岡山,51,A1,6.28,42.54,6.89,53.57,39.29,42.86
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭8R,6,3757,7.0,晴,南西,1,1,大　村,5,畑　和宏,48,広島,51,A2,5.82,38.74,6.08,48.0,29.17,33.33
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭9R,1,4166,6.92,晴,南西,1,1,大　村,1,吉田拡郎,38,岡山,53,A1,7.35,55.56,7.03,51.28,37.04,41.67
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭9R,2,4030,7.02,晴,南西,1,1,大　村,2,森高一真,42,香川,50,A1,7.42,53.6,7.85,65.0,33.33,33.33
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭9R,3,4584,6.97,晴,南西,1,1,大　村,3,村岡賢人,30,岡山,52,A1,6.9,51.54,5.86,35.71,34.78,80.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭9R,4,4019,7.0,晴,南西,1,1,大　村,6,笠原　亮,40,静岡,53,A1,7.3,60.19,6.38,40.0,41.67,28.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭9R,5,3813,7.0,晴,南西,1,1,大　村,5,佐藤大介,44,愛知,53,A1,6.39,44.93,6.46,42.86,25.0,42.31
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭9R,6,3790,7.13,晴,南西,1,1,大　村,4,佐口達也,48,群馬,55,A2,5.21,33.57,4.53,17.65,35.29,33.33
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭10R,1,4171,6.97,晴,南西,2,1,大　村,4,榎　幸司,37,長崎,52,A2,6.42,47.33,7.09,57.0,43.48,38.1
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭10R,2,3837,6.96,晴,南西,2,1,大　村,1,秋山広一,45,香川,49,A1,6.56,42.75,6.87,52.17,23.08,21.43
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭10R,3,3685,6.94,晴,南西,2,1,大　村,5,荒井輝年,46,岡山,56,A1,6.81,50.63,7.65,60.0,32.0,42.86
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭10R,4,4061,6.96,晴,南西,2,1,大　村,2,萩原秀人,41,福井,54,A1,7.44,53.38,7.07,50.0,31.58,27.78
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭10R,5,4084,6.89,晴,南西,2,1,大　村,6,杉山正樹,40,愛知,54,A1,6.86,46.9,6.91,56.82,29.17,42.86
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭10R,6,4601,6.9,晴,南西,2,1,大　村,3,森野正弘,35,山口,54,A1,6.68,55.0,6.48,52.17,40.0,40.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭11R,1,4308,6.94,晴,南西,1,1,大　村,1,河村　了,36,愛知,51,A1,7.04,45.38,5.94,32.35,51.85,56.0
2020-08-02大　村ボートレース発祥地記念第２４回モーターボート誕生祭11R,2,4496,6.9,晴,南西,1,1,大　村,2,内堀　学,33,東京,54,A1,6.69,50.41,6.24,29.41,31.58,34.62
