レースID,順位,選手登番,展示,天候,風向,風速,波高,艇番,名前,年齢,支部,体重,階級,全国勝率,全国2率,当地勝率,当地2率,モーター2率,ボート2率
2020-09-12大　村ルーキーシリーズ第１６戦1R,1,4919,6.95,曇り ,西,1,1,3,吉田翔悟,29,長崎,52,B1,4.56,26.6,3.89,15.83,52.5,36.96
2020-09-12大　村ルーキーシリーズ第１６戦1R,2,5048,6.96,曇り ,西,1,1,2,眞鳥康太,26,長崎,55,B1,3.02,10.0,3.11,6.56,30.19,44.68
2020-09-12大　村ルーキーシリーズ第１６戦1R,3,5011,6.97,曇り ,西,1,1,1,高木圭大,23,長崎,52,B1,3.08,6.25,2.16,4.21,17.14,25.0
2020-09-12大　村ルーキーシリーズ第１６戦1R,4,4820,6.91,曇り ,西,1,1,6,上野　励,28,福岡,56,B1,3.54,15.38,2.88,12.5,38.1,31.37
2020-09-12大　村ルーキーシリーズ第１６戦1R,5,5119,6.96,曇り ,西,1,1,4,真田翔磨,20,福岡,53,B2,1.19,0.0,1.07,0.0,50.0,17.86
2020-09-12大　村ルーキーシリーズ第１６戦1R,6,5082,7.03,曇り ,西,1,1,5,一色凌雅,21,愛知,56,B1,3.41,14.47,0.0,0.0,18.52,12.5
2020-09-12大　村ルーキーシリーズ第１６戦2R,1,4969,6.89,曇り ,北西,2,1,1,町田洸希,29,長崎,55,B1,3.84,12.05,2.7,9.89,33.33,25.64
2020-09-12大　村ルーキーシリーズ第１６戦2R,2,5055,6.96,曇り ,北西,2,1,2,眞鳥章太,24,長崎,53,B1,3.63,13.41,2.24,4.0,22.22,23.26
2020-09-12大　村ルーキーシリーズ第１６戦2R,3,5008,6.95,曇り ,北西,2,1,4,羽野　諒,23,福岡,53,B1,3.02,5.38,1.98,0.0,28.0,40.48
2020-09-12大　村ルーキーシリーズ第１６戦2R,4,5086,6.98,曇り ,北西,2,1,3,本村　大,21,長崎,53,B2,2.25,1.75,2.16,0.0,21.21,10.0
2020-09-12大　村ルーキーシリーズ第１６戦2R,5,5064,6.99,曇り ,北西,2,1,6,品川二千,22,山口,51,B1,3.16,6.45,2.04,4.35,27.91,22.86
2020-09-12大　村ルーキーシリーズ第１６戦2R,6,5002,6.92,曇り ,北西,2,1,5,上田健太,24,愛知,51,B1,4.5,25.0,0.0,0.0,26.47,16.22
2020-09-12大　村ルーキーシリーズ第１６戦3R,1,5050,6.86,曇り ,北,2,1,1,木下雄介,25,滋賀,51,B1,2.4,1.54,0.0,0.0,30.0,21.21
2020-09-12大　村ルーキーシリーズ第１６戦3R,2,5016,6.87,曇り ,北,2,1,3,宮田龍馬,22,兵庫,51,B1,3.0,6.67,0.0,0.0,58.14,27.03
2020-09-12大　村ルーキーシリーズ第１６戦3R,3,4879,6.9,曇り ,北,2,1,4,山崎鉄平,25,佐賀,53,B1,5.61,42.59,4.84,25.81,25.0,22.73
2020-09-12大　村ルーキーシリーズ第１６戦3R,4,5043,6.87,曇り ,北,2,1,2,中村日向,21,香川,53,B1,4.45,20.55,1.13,0.0,29.41,14.29
2020-09-12大　村ルーキーシリーズ第１６戦3R,5,5101,6.89,曇り ,北,2,1,6,表　健太,23,福岡,52,B2,1.66,1.49,0.0,0.0,25.81,35.56
2020-09-12大　村ルーキーシリーズ第１６戦3R,6,5032,6.89,曇り ,北,2,1,5,谷口知優,22,香川,52,B1,3.44,16.67,1.89,2.78,14.71,31.11
2020-09-12大　村ルーキーシリーズ第１６戦4R,1,4771,6.84,晴,北,3,2,1,下寺秀和,27,広島,55,A2,6.16,45.16,6.17,38.89,42.5,15.63
2020-09-12大　村ルーキーシリーズ第１６戦4R,2,4960,6.9,晴,北,3,2,4,黒野元基,24,愛知,53,A2,6.65,52.43,6.0,33.33,22.86,30.23
2020-09-12大　村ルーキーシリーズ第１６戦4R,3,4850,6.84,晴,北,3,2,6,野中一平,25,愛知,53,A1,6.17,40.18,6.67,44.44,35.71,54.76
2020-09-12大　村ルーキーシリーズ第１６戦4R,4,5028,6.81,晴,北,3,2,3,原田才一,23,福岡,52,B1,5.15,35.79,3.25,16.67,34.69,30.43
2020-09-12大　村ルーキーシリーズ第１６戦4R,5,5022,6.86,晴,北,3,2,5,伊藤尚汰,25,福岡,48,B1,3.1,12.37,1.32,0.0,37.78,50.0
2020-09-12大　村ルーキーシリーズ第１６戦4R,6,4902,6.86,晴,北,3,2,2,山川雄大,27,兵庫,50,B1,4.26,22.62,3.11,16.67,17.95,31.11
2020-09-12大　村ルーキーシリーズ第１６戦5R,1,4828,6.83,晴,北,3,2,1,松山将吾,26,滋賀,51,A2,6.15,41.67,0.0,0.0,28.13,28.57
2020-09-12大　村ルーキーシリーズ第１６戦5R,2,4857,6.91,晴,北,3,2,2,加藤翔馬,23,兵庫,55,A2,5.58,36.79,5.57,42.86,42.22,43.14
2020-09-12大　村ルーキーシリーズ第１６戦5R,3,4848,6.93,晴,北,3,2,4,仲谷颯仁,26,福岡,51,A1,7.86,69.61,5.92,25.0,20.93,37.84
2020-09-12大　村ルーキーシリーズ第１６戦5R,4,4822,6.87,晴,北,3,2,6,百武　翔,27,佐賀,50,A2,5.37,28.09,0.0,0.0,39.13,35.71
2020-09-12大　村ルーキーシリーズ第１６戦5R,5,4989,6.82,晴,北,3,2,5,石原　翼,23,静岡,52,B1,4.94,29.27,5.2,40.0,40.91,25.0
2020-09-12大　村ルーキーシリーズ第１６戦5R,6,5048,6.91,晴,北,3,2,3,眞鳥康太,26,長崎,55,B1,3.02,10.0,3.11,6.56,30.19,44.68
2020-09-12大　村ルーキーシリーズ第１６戦6R,1,4932,6.84,晴,北,3,2,6,新開　航,24,福岡,50,A1,6.15,42.72,5.2,25.71,42.86,40.91
2020-09-12大　村ルーキーシリーズ第１６戦6R,2,4939,6.86,晴,北,3,2,1,宮之原輝,22,東京,50,A1,6.39,47.19,6.42,52.63,37.5,35.56
2020-09-12大　村ルーキーシリーズ第１６戦6R,3,4933,6.89,晴,北,3,2,3,板橋侑我,24,静岡,52,A2,6.01,39.47,6.12,41.18,9.38,22.22
2020-09-12大　村ルーキーシリーズ第１６戦6R,4,5082,6.93,晴,北,3,2,2,一色凌雅,21,愛知,56,B1,3.41,14.47,0.0,0.0,18.52,12.5
2020-09-12大　村ルーキーシリーズ第１６戦6R,5,4966,6.91,晴,北,3,2,4,田川大貴,22,長崎,54,B1,4.91,25.58,3.93,16.98,14.71,28.57
2020-09-12大　村ルーキーシリーズ第１６戦6R,6,5086,6.88,晴,北,3,2,5,本村　大,21,長崎,53,B2,2.25,1.75,2.16,0.0,21.21,10.0
2020-09-12大　村ルーキーシリーズ第１６戦7R,1,4587,6.8,晴,北,3,2,1,木田峰由,29,福井,53,A2,6.17,46.6,0.0,0.0,34.09,31.25
2020-09-12大　村ルーキーシリーズ第１６戦7R,2,4873,6.82,晴,北,3,2,2,蒲原健太,26,佐賀,52,B1,4.91,28.3,3.79,15.15,28.26,45.95
2020-09-12大　村ルーキーシリーズ第１６戦7R,3,4852,6.84,晴,北,3,2,6,川原祐明,25,香川,50,A2,6.31,47.06,6.35,51.61,29.27,24.24
2020-09-12大　村ルーキーシリーズ第１６戦7R,4,5055,6.92,晴,北,3,2,3,眞鳥章太,24,長崎,53,B1,3.63,13.41,2.24,4.0,22.22,23.26
2020-09-12大　村ルーキーシリーズ第１６戦7R,5,5011,6.86,晴,北,3,2,5,高木圭大,23,長崎,52,B1,3.08,6.25,2.16,4.21,17.14,25.0
2020-09-12大　村ルーキーシリーズ第１６戦7R,6,5101,6.86,晴,北,3,2,4,表　健太,23,福岡,52,B2,1.66,1.49,0.0,0.0,25.81,35.56
2020-09-12大　村ルーキーシリーズ第１６戦8R,1,4851,6.86,晴,北,3,2,1,関　浩哉,25,群馬,50,A1,6.6,50.0,6.18,36.36,7.69,31.71
2020-09-12大　村ルーキーシリーズ第１６戦8R,2,5041,6.96,晴,北,3,2,2,荒牧凪沙,21,福岡,51,B1,3.7,12.24,1.74,0.0,16.67,34.04
2020-09-12大　村ルーキーシリーズ第１６戦8R,3,4888,6.88,晴,北,3,2,3,金児隆太,32,群馬,49,A2,5.58,30.21,0.0,0.0,29.55,32.35
2020-09-12大　村ルーキーシリーズ第１６戦8R,4,4847,6.91,晴,北,3,2,6,佐藤隆太,26,東京,51,A1,6.4,47.13,6.46,54.17,34.21,20.0
2020-09-12大　村ルーキーシリーズ第１６戦8R,5,4957,6.9,晴,北,3,2,5,竹之内極,25,福岡,56,B1,4.12,19.4,2.7,6.52,6.9,32.61
2020-09-12大　村ルーキーシリーズ第１６戦8R,6,4902,6.89,晴,北,3,2,4,山川雄大,27,兵庫,50,B1,4.26,22.62,3.11,16.67,17.95,31.11
2020-09-12大　村ルーキーシリーズ第１６戦9R,1,4850,6.81,晴,北,3,2,1,野中一平,25,愛知,53,A1,6.17,40.18,6.67,44.44,35.71,54.76
2020-09-12大　村ルーキーシリーズ第１６戦9R,2,4857,6.86,晴,北,3,2,5,加藤翔馬,23,兵庫,55,A2,5.58,36.79,5.57,42.86,42.22,43.14
2020-09-12大　村ルーキーシリーズ第１６戦9R,3,4828,6.83,晴,北,3,2,2,松山将吾,26,滋賀,51,A2,6.15,41.67,0.0,0.0,28.13,28.57
2020-09-12大　村ルーキーシリーズ第１６戦9R,4,4919,6.83,晴,北,3,2,6,吉田翔悟,29,長崎,52,B1,4.56,26.6,3.89,15.83,52.5,36.96
2020-09-12大　村ルーキーシリーズ第１６戦9R,5,4933,6.91,晴,北,3,2,4,板橋侑我,24,静岡,52,A2,6.01,39.47,6.12,41.18,9.38,22.22
2020-09-12大　村ルーキーシリーズ第１６戦10R,1,4932,6.82,晴,北,4,3,1,新開　航,24,福岡,50,A1,6.15,42.72,5.2,25.71,42.86,40.91
2020-09-12大　村ルーキーシリーズ第１６戦10R,2,4879,6.83,晴,北,4,3,6,山崎鉄平,25,佐賀,53,B1,5.61,42.59,4.84,25.81,25.0,22.73
2020-09-12大　村ルーキーシリーズ第１６戦10R,3,4848,6.88,晴,北,4,3,2,仲谷颯仁,26,福岡,51,A1,7.86,69.61,5.92,25.0,20.93,37.84
2020-09-12大　村ルーキーシリーズ第１６戦10R,4,4960,6.83,晴,北,4,3,3,黒野元基,24,愛知,53,A2,6.65,52.43,6.0,33.33,22.86,30.23
2020-09-12大　村ルーキーシリーズ第１６戦10R,5,4587,6.88,晴,北,4,3,5,木田峰由,29,福井,53,A2,6.17,46.6,0.0,0.0,34.09,31.25
2020-09-12大　村ルーキーシリーズ第１６戦11R,1,4852,6.83,晴,北,5,4,1,川原祐明,25,香川,50,A2,6.31,47.06,6.35,51.61,29.27,24.24
2020-09-12大　村ルーキーシリーズ第１６戦11R,2,4939,6.89,晴,北,5,4,3,宮之原輝,22,東京,50,A1,6.39,47.19,6.42,52.63,37.5,35.56
2020-09-12大　村ルーキーシリーズ第１６戦11R,3,4851,6.89,晴,北,5,4,4,関　浩哉,25,群馬,50,A1,6.6,50.0,6.18,36.36,7.69,31.71
2020-09-12大　村ルーキーシリーズ第１６戦11R,4,4771,6.88,晴,北,5,4,5,下寺秀和,27,広島,55,A2,6.16,45.16,6.17,38.89,42.5,15.63
2020-09-12大　村ルーキーシリーズ第１６戦11R,5,4989,6.82,晴,北,5,4,2,石原　翼,23,静岡,52,B1,4.94,29.27,5.2,40.0,40.91,25.0
2020-09-12大　村ルーキーシリーズ第１６戦11R,6,5016,6.86,晴,北,5,4,6,宮田龍馬,22,兵庫,51,B1,3.0,6.67,0.0,0.0,58.14,27.03
2020-09-12大　村ルーキーシリーズ第１６戦12R,1,4966,6.85,晴,北,5,4,1,田川大貴,22,長崎,54,B1,4.91,25.58,3.93,16.98,14.71,28.57
2020-09-12大　村ルーキーシリーズ第１６戦12R,2,4957,6.93,晴,北,5,4,2,竹之内極,25,福岡,56,B1,4.12,19.4,2.7,6.52,6.9,32.61
2020-09-12大　村ルーキーシリーズ第１６戦12R,3,4873,6.89,晴,北,5,4,3,蒲原健太,26,佐賀,52,B1,4.91,28.3,3.79,15.15,28.26,45.95
2020-09-12大　村ルーキーシリーズ第１６戦12R,4,4888,6.84,晴,北,5,4,4,金児隆太,32,群馬,49,A2,5.58,30.21,0.0,0.0,29.55,32.35
2020-09-12大　村ルーキーシリーズ第１６戦12R,5,4912,6.77,晴,北,5,4,6,中山将太,24,福井,53,B1,5.34,39.08,3.67,16.67,40.0,36.96
2020-09-12大　村ルーキーシリーズ第１６戦12R,6,5043,6.86,晴,北,5,4,5,中村日向,21,香川,53,B1,4.45,20.55,1.13,0.0,29.41,14.29
2020-09-12唐　津スポーツ報知杯1R,1,4137,6.96,雨,北東,3,3,1,君島秀三,40,滋賀,53,A1,6.47,47.22,7.79,63.16,21.05,30.48
2020-09-12唐　津スポーツ報知杯1R,2,3006,6.92,雨,北東,3,3,3,上條信一,62,大阪,55,B1,3.03,12.12,4.53,26.32,27.27,32.32
2020-09-12唐　津スポーツ報知杯1R,3,4458,6.91,雨,北東,3,3,2,抹香雄三,34,広島,53,B1,5.03,23.0,4.82,22.81,50.0,33.66
2020-09-12唐　津スポーツ報知杯1R,4,3052,7.03,雨,北東,3,3,4,原田正己,57,徳島,52,B1,3.36,13.7,3.25,0.0,43.48,32.99
2020-09-12唐　津スポーツ報知杯1R,5,3607,6.94,雨,北東,3,3,6,原田智和,48,大阪,51,B1,4.4,24.66,4.68,26.32,57.89,33.33
2020-09-12唐　津スポーツ報知杯1R,6,3444,6.89,雨,北東,3,3,5,香月大介,50,福岡,52,B1,4.35,21.79,4.37,13.16,36.84,34.31
2020-09-12唐　津スポーツ報知杯2R,1,3462,6.87,雨,北東,2,2,2,竹上真司,53,岡山,52,A1,6.1,42.74,6.05,50.0,11.11,41.51
2020-09-12唐　津スポーツ報知杯2R,2,3615,6.86,雨,北東,2,2,1,横田　茂,47,広島,51,A2,5.41,35.34,5.72,41.38,25.0,22.77
2020-09-12唐　津スポーツ報知杯2R,3,4790,6.92,雨,北東,2,2,6,柳内敬太,30,兵庫,52,B1,4.59,24.0,0.0,0.0,35.29,27.55
2020-09-12唐　津スポーツ報知杯2R,4,3936,6.9,雨,北東,2,2,4,三瀬　譲,43,長崎,57,B1,3.86,18.0,4.69,20.69,40.0,44.55
2020-09-12唐　津スポーツ報知杯2R,5,5025,6.91,雨,北東,2,2,3,粟田　祥,25,徳島,57,B2,1.86,4.05,2.08,8.33,23.53,30.0
2020-09-12唐　津スポーツ報知杯2R,6,4487,6.9,雨,北東,2,2,5,三原　司,34,福岡,51,B2,4.69,25.93,5.63,47.37,50.0,37.37
2020-09-12唐　津スポーツ報知杯3R,1,3837,6.86,曇り ,南,1,1,1,秋山広一,45,香川,50,A1,6.51,44.25,6.65,45.95,38.89,38.61
2020-09-12唐　津スポーツ報知杯3R,2,4333,6.85,曇り ,南,1,1,5,村田友也,36,徳島,64,B2,3.84,22.81,2.38,12.5,31.58,32.65
2020-09-12唐　津スポーツ報知杯3R,3,4158,6.81,曇り ,南,1,1,2,木場雄二,39,山口,57,B1,4.13,20.88,3.56,18.75,29.41,30.0
2020-09-12唐　津スポーツ報知杯3R,4,3561,6.88,曇り ,南,1,1,4,池田真治,52,岡山,52,B1,3.65,15.58,0.0,0.0,50.0,35.0
2020-09-12唐　津スポーツ報知杯3R,5,3478,6.94,曇り ,南,1,1,6,嶋田貴支,49,香川,52,B1,5.28,29.03,3.79,14.29,17.65,36.63
2020-09-12唐　津スポーツ報知杯3R,6,4111,6.85,曇り ,南,1,1,3,奥田　誠,40,広島,54,A1,5.46,37.65,4.52,25.93,13.33,30.39
2020-09-12唐　津スポーツ報知杯4R,1,4193,6.85,曇り ,北,1,1,1,郷原章平,39,福岡,53,A1,6.5,52.48,5.97,48.39,23.53,26.92
2020-09-12唐　津スポーツ報知杯4R,2,4070,6.74,曇り ,北,1,1,4,中村亮太,39,長崎,51,A2,6.91,51.16,7.04,56.6,33.33,28.71
2020-09-12唐　津スポーツ報知杯4R,3,4761,6.87,曇り ,北,1,1,3,山田晃大,30,滋賀,52,B1,5.41,37.89,6.2,40.0,11.11,49.0
2020-09-12唐　津スポーツ報知杯4R,4,4277,6.78,曇り ,北,1,1,2,金田大輔,37,岡山,52,B1,4.49,25.26,5.25,31.25,11.76,29.9
2020-09-12唐　津スポーツ報知杯4R,5,3975,6.84,曇り ,北,1,1,6,小野寺智,43,香川,52,A2,5.8,35.16,5.37,31.58,44.44,37.37
2020-09-12唐　津スポーツ報知杯4R,6,3953,6.83,曇り ,北,1,1,5,志道吉和,44,福岡,51,B1,5.39,37.5,5.43,40.0,47.06,22.47
2020-09-12唐　津スポーツ報知杯5R,1,3484,6.88,曇り ,北東,4,4,4,芝田浩治,48,兵庫,54,A1,6.04,37.04,5.58,42.11,38.89,42.0
2020-09-12唐　津スポーツ報知杯5R,2,4458,6.94,曇り ,北東,4,4,6,抹香雄三,34,広島,53,B1,5.03,23.0,4.82,22.81,50.0,33.66
2020-09-12唐　津スポーツ報知杯5R,3,3427,6.89,曇り ,北東,4,4,3,大賀広幸,53,山口,52,A2,6.24,47.56,4.0,20.0,23.53,35.87
2020-09-12唐　津スポーツ報知杯5R,4,4515,6.86,曇り ,北東,4,4,2,藤田浩人,34,佐賀,55,A2,5.64,36.21,6.27,42.86,22.22,38.24
2020-09-12唐　津スポーツ報知杯5R,5,3629,6.91,曇り ,北東,4,4,5,浅見昌克,50,埼玉,52,A2,5.91,41.67,6.06,46.0,38.89,30.0
2020-09-12唐　津スポーツ報知杯5R,6,3006,6.88,曇り ,北東,4,4,1,上條信一,62,大阪,55,B1,3.03,12.12,4.53,26.32,27.27,32.32
2020-09-12唐　津スポーツ報知杯6R,1,4445,6.85,曇り ,北東,3,3,4,宮地元輝,33,佐賀,55,A1,6.95,58.25,6.99,52.67,31.25,25.25
2020-09-12唐　津スポーツ報知杯6R,2,3052,6.88,曇り ,北東,3,3,1,原田正己,57,徳島,52,B1,3.36,13.7,3.25,0.0,43.48,32.99
2020-09-12唐　津スポーツ報知杯6R,3,4452,6.87,曇り ,北東,3,3,3,松尾　祭,32,香川,54,A2,5.33,33.66,4.61,38.89,72.22,41.75
2020-09-12唐　津スポーツ報知杯6R,4,4487,6.9,曇り ,北東,3,3,6,三原　司,34,福岡,51,B2,4.69,25.93,5.63,47.37,50.0,37.37
2020-09-12唐　津スポーツ報知杯6R,5,4531,6.85,曇り ,北東,3,3,5,武富智亮,31,佐賀,52,A2,6.33,46.36,6.23,46.71,17.65,23.53
2020-09-12唐　津スポーツ報知杯6R,6,4142,6.89,曇り ,北東,3,3,2,平野和明,39,愛知,53,A1,5.63,38.89,6.08,38.89,38.89,24.49
2020-09-12唐　津スポーツ報知杯7R,1,3936,6.86,曇り ,北東,3,3,2,三瀬　譲,43,長崎,57,B1,3.86,18.0,4.69,20.69,40.0,44.55
2020-09-12唐　津スポーツ報知杯7R,2,3607,6.94,曇り ,北東,3,3,4,原田智和,48,大阪,51,B1,4.4,24.66,4.68,26.32,57.89,33.33
2020-09-12唐　津スポーツ報知杯7R,3,4607,6.88,曇り ,北東,3,3,5,鶴田勇雄,31,福岡,52,B1,5.54,27.52,5.6,33.33,29.41,32.35
