レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
ライジングゼファーフクオカ杯1,2130,490,660,34200,5030,570,210,120,42040,480
ライジングゼファーフクオカ杯2,110,100,180,230,190,120,450,350,1330,930
ライジングゼファーフクオカ杯3,160,150,230,490,340,130,130,150,600,190
ライジングゼファーフクオカ杯4,12520,320,140,10890,5320,1110,3180,1110,78060,13750
ライジングゼファーフクオカ杯5,110,100,110,180,160,110,150,320,870,370
ライジングゼファーフクオカ杯6,400,100,160,1010,360,120,1210,600,10660,1640
ライジングゼファーフクオカ杯7,170,230,710,2380,1780,270,150,360,5030,490
ライジングゼファーフクオカ杯8,100,100,230,290,460,190,190,520,1300,820
ライジングゼファーフクオカ杯9,540,390,180,2680,690,370,340,130,5310,470
ライジングゼファーフクオカ杯10,510,120,430,550,330,160,410,530,1670,950
ライジングゼファーフクオカ杯11,210,100,130,300,370,120,490,1280,2030,1000
ライジングゼファーフクオカ杯12,840,250,620,6850,1760,640,180,250,21110,660
第６６回ボートレースメモリアル1,220,110,150,540,350,210,150,400,2080,800
第６６回ボートレースメモリアル2,250,160,130,1110,310,190,570,490,4940,1350
第６６回ボートレースメモリアル3,120,120,350,490,410,190,160,320,1620,490
第６６回ボートレースメモリアル4,160,100,250,450,370,180,140,290,1010,380
第６６回ボートレースメモリアル5,110,120,540,1070,910,230,120,250,2240,440
第６６回ボートレースメモリアル6,580,140,190,950,300,160,570,420,7390,1240
第６６回ボートレースメモリアル7,150,170,270,650,670,300,350,760,3330,1630
第６６回ボートレースメモリアル8,300,130,140,1150,350,190,250,250,4930,890
第６６回ボートレースメモリアル9,130,100,180,290,240,170,150,280,880,490
第６６回ボートレースメモリアル10,150,130,420,2310,1760,380,300,1340,11010,2410
第６６回ボートレースメモリアル11,140,100,150,390,290,180,210,510,1470,630
第６６回ボートレースメモリアル12,110,100,140,360,300,150,150,240,1110,410
黒神杯争奪1,100,100,170,190,200,130,290,450,1510,910
黒神杯争奪2,430,190,100,740,190,130,230,150,2520,370
黒神杯争奪3,940,170,100,3590,440,160,270,140,6830,380
黒神杯争奪4,110,120,350,800,600,210,100,280,1550,280
黒神杯争奪5,280,110,400,1020,690,210,170,210,1800,490
黒神杯争奪6,580,300,150,1960,960,500,320,370,7570,1610
黒神杯争奪7,2000,500,180,6770,1920,300,370,170,21050,1050
黒神杯争奪8,190,140,160,620,240,210,510,230,2050,430
黒神杯争奪9,260,100,400,760,510,160,460,930,3710,1910
黒神杯争奪10,120,100,110,170,140,100,120,150,440,200
黒神杯争奪11,3700,1210,830,32290,8100,1960,1960,1800,111420,15220
黒神杯争奪12,440,240,590,1440,1180,520,1010,1670,9480,6200
ヴィーナスシリーズ第１１戦第６回マクール杯1,130,100,160,180,160,140,300,440,990,550
ヴィーナスシリーズ第１１戦第６回マクール杯2,100,100,220,480,380,200,140,340,840,340
ヴィーナスシリーズ第１１戦第６回マクール杯3,350,190,120,820,340,210,640,460,4690,1530
ヴィーナスシリーズ第１１戦第６回マクール杯4,150,110,480,1430,1150,360,280,620,5300,1160
ヴィーナスシリーズ第１１戦第６回マクール杯5,1090,390,240,5650,1430,300,200,120,15990,560
ヴィーナスシリーズ第１１戦第６回マクール杯6,230,190,110,490,310,120,150,200,1180,310
ヴィーナスシリーズ第１１戦第６回マクール杯7,240,120,180,640,230,130,490,420,2670,830
ヴィーナスシリーズ第１１戦第６回マクール杯8,340,130,160,770,280,160,240,220,3040,450
ヴィーナスシリーズ第１１戦第６回マクール杯9,300,320,120,650,240,100,100,100,1150,170
ヴィーナスシリーズ第１１戦第６回マクール杯10,190,180,200,620,530,230,190,370,3310,1080
