レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
2020-09-29大　村ＢＴＳ松浦開設記念1R,310,220,560,1540,1530,360,320,910,5130,1770
2020-09-29大　村ＢＴＳ松浦開設記念2R,180,250,530,450,310,210,250,610,1690,1090
2020-09-29大　村ＢＴＳ松浦開設記念3R,140,100,130,310,540,140,260,440,1360,650
2020-09-29大　村ＢＴＳ松浦開設記念4R,370,410,410,5590,5300,500,200,180,25080,690
2020-09-29大　村ＢＴＳ松浦開設記念5R,300,250,1120,2710,2800,700,410,800,10310,1870
2020-09-29大　村ＢＴＳ松浦開設記念6R,170,110,190,460,360,180,110,180,720,210
2020-09-29大　村ＢＴＳ松浦開設記念7R,120,100,210,350,260,160,140,240,750,310
2020-09-29大　村ＢＴＳ松浦開設記念8R,740,180,1650,11450,10360,1220,530,1050,37840,4880
2020-09-29大　村ＢＴＳ松浦開設記念9R,420,100,160,3730,2360,400,160,200,13050,670
2020-09-29大　村ＢＴＳ松浦開設記念10R,760,200,110,1340,240,150,1290,380,8770,1300
2020-09-29大　村ＢＴＳ松浦開設記念11R,120,100,120,190,200,130,250,280,1260,660
2020-09-29大　村ＢＴＳ松浦開設記念12R,120,100,110,240,200,120,130,240,590,290
2020-09-29芦　屋４Ｋソリューションカップ1R,1670,290,480,14520,4700,350,280,130,30050,380
2020-09-29芦　屋４Ｋソリューションカップ2R,110,100,120,250,210,140,290,450,1130,520
2020-09-29芦　屋４Ｋソリューションカップ3R,1460,380,720,5980,2130,510,200,240,21080,1370
2020-09-29芦　屋４Ｋソリューションカップ4R,100,100,130,260,210,100,140,240,510,190
2020-09-29芦　屋４Ｋソリューションカップ5R,120,180,430,1440,1140,220,350,670,5120,1150
2020-09-29芦　屋４Ｋソリューションカップ6R,720,200,110,680,530,170,140,240,1760,390
2020-09-29芦　屋４Ｋソリューションカップ7R,190,320,120,280,260,150,210,260,1080,520
2020-09-29芦　屋４Ｋソリューションカップ8R,150,110,290,1930,1960,570,230,1710,7680,2880
2020-09-29芦　屋４Ｋソリューションカップ9R,150,100,280,370,460,110,130,160,940,200
2020-09-29芦　屋４Ｋソリューションカップ10R,140,100,170,380,200,160,270,220,850,440
2020-09-29芦　屋４Ｋソリューションカップ11R,170,100,100,220,160,110,150,300,710,340
