レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
ニッカン・コム杯1,620,200,100,1690,480,140,400,130,6690,530
ニッカン・コム杯2,250,280,300,1590,740,350,1290,1530,15040,6800
ニッカン・コム杯3,280,100,140,510,280,200,240,280,1820,580
ニッカン・コム杯4,340,210,100,1860,340,170,320,240,4860,760
ニッカン・コム杯5,270,110,240,860,630,190,120,190,1430,240
ニッカン・コム杯6,130,100,100,320,250,110,100,210,590,170
ニッカン・コム杯7,870,110,100,1000,160,120,230,260,3570,400
ニッカン・コム杯8,100,100,100,210,220,130,190,280,660,330
ニッカン・コム杯9,130,110,110,210,160,100,150,120,430,190
ニッカン・コム杯10,120,100,140,360,240,170,280,280,1240,510
ニッカン・コム杯11,100,120,640,1110,840,280,140,680,3370,650
ニッカン・コム杯12,110,100,130,300,230,120,160,260,890,320
日刊スポーツ杯争奪戦1,110,100,100,200,190,110,300,860,820,560
日刊スポーツ杯争奪戦2,350,200,100,480,360,360,490,240,1550,610
日刊スポーツ杯争奪戦3,160,100,300,510,130,120,140,290,1120,230
日刊スポーツ杯争奪戦4,290,100,180,790,430,230,540,440,4860,1770
日刊スポーツ杯争奪戦5,220,100,150,480,300,190,260,150,750,260
日刊スポーツ杯争奪戦6,370,220,310,920,670,260,170,240,1910,370
日刊スポーツ杯争奪戦7,100,110,110,340,240,110,330,680,1240,580
日刊スポーツ杯争奪戦8,100,100,100,200,150,110,280,220,550,290
日刊スポーツ杯争奪戦9,250,150,140,1610,390,280,340,250,3200,700
日刊スポーツ杯争奪戦10,600,740,310,4520,2080,720,660,890,28540,9250
日刊スポーツ杯争奪戦11,1250,130,100,5360,3870,500,1210,1310,38060,7800
日刊スポーツ杯争奪戦12,100,100,100,240,190,130,300,440,1120,620
ＢＯＡＴＢｏｙカップ1,150,120,280,2700,3230,570,140,430,8680,950
ＢＯＡＴＢｏｙカップ2,120,100,100,200,160,110,150,240,420,190
ＢＯＡＴＢｏｙカップ3,120,100,120,200,150,110,180,350,660,290
ＢＯＡＴＢｏｙカップ4,100,100,220,300,230,120,140,190,660,330
ＢＯＡＴＢｏｙカップ5,260,190,230,1570,680,310,250,600,6790,2080
ＢＯＡＴＢｏｙカップ6,230,150,100,1380,590,260,230,380,4210,1030
ＢＯＡＴＢｏｙカップ7,140,150,360,2600,1420,640,340,590,5880,3170
ＢＯＡＴＢｏｙカップ8,120,100,110,230,140,140,300,220,560,180
ＢＯＡＴＢｏｙカップ9,160,140,110,790,710,260,160,280,1870,740
ＢＯＡＴＢｏｙカップ10,1600,600,120,5450,610,280,750,150,14810,780
ＢＯＡＴＢｏｙカップ11,160,150,610,1030,610,440,330,1260,5960,2270
ＢＯＡＴＢｏｙカップ12,1230,220,100,3310,580,120,240,100,4850,240
第１９回シモデンカップ1,100,100,130,300,400,190,130,300,890,390
第１９回シモデンカップ2,220,100,140,490,260,150,730,310,3860,1330
第１９回シモデンカップ3,730,560,760,16100,6910,1230,700,1060,58340,6300
