レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
お盆特選～がばい王者決定戦～1,100,100,190,380,310,180,190,330,890,470
お盆特選～がばい王者決定戦～2,120,110,140,140,130,110,150,140,370,240
お盆特選～がばい王者決定戦～3,140,200,590,1070,1280,320,130,290,3110,400
お盆特選～がばい王者決定戦～4,130,110,230,530,370,200,170,280,1110,450
お盆特選～がばい王者決定戦～5,650,270,510,11860,10600,1280,420,600,102010,6420
お盆特選～がばい王者決定戦～6,220,140,100,360,170,130,120,110,560,180
お盆特選～がばい王者決定戦～7,100,130,280,990,1020,250,360,750,3970,2100
お盆特選～がばい王者決定戦～8,240,100,280,540,460,160,720,1770,3240,1960
お盆特選～がばい王者決定戦～9,250,100,140,2180,1700,180,110,140,3730,420
お盆特選～がばい王者決定戦～10,350,140,210,880,320,190,880,420,6430,1360
お盆特選～がばい王者決定戦～11,190,170,1410,1070,740,320,210,480,3460,950
お盆特選～がばい王者決定戦～12,120,100,260,800,790,220,140,350,2630,590
お盆特選レース1,100,110,220,430,400,150,120,180,790,180
お盆特選レース2,500,380,260,9970,9950,2030,680,2030,63860,15510
お盆特選レース3,900,130,230,1950,1390,290,1420,490,26770,6110
お盆特選レース4,130,100,120,360,240,100,160,220,770,330
お盆特選レース5,1300,670,210,8300,1510,940,300,160,30340,2280
お盆特選レース6,350,100,120,820,300,140,180,140,2100,290
お盆特選レース7,320,110,150,1220,450,140,150,110,1280,140
お盆特選レース8,1450,220,100,2050,340,190,210,100,4390,400
お盆特選レース9,130,100,110,170,120,110,320,350,470,340
お盆特選レース10,140,110,100,360,210,120,130,120,720,220
お盆特選レース11,120,100,100,270,140,130,210,240,710,370
お盆特選レース12,170,110,120,330,210,130,170,210,1010,530
日刊スポーツ杯お盆特選競走1,300,200,250,920,810,290,290,280,4040,690
日刊スポーツ杯お盆特選競走2,580,140,150,500,260,140,220,250,3020,1030
日刊スポーツ杯お盆特選競走3,680,450,200,2470,1560,180,1080,1160,15140,5240
日刊スポーツ杯お盆特選競走4,190,130,180,580,330,200,300,570,2890,710
日刊スポーツ杯お盆特選競走5,130,110,170,950,1280,250,120,410,1690,460
日刊スポーツ杯お盆特選競走6,120,100,140,400,330,150,330,240,1650,580
日刊スポーツ杯お盆特選競走7,160,150,390,1680,950,330,330,1100,8820,2620
日刊スポーツ杯お盆特選競走8,120,180,160,490,260,120,120,140,710,140
日刊スポーツ杯お盆特選競走9,100,100,240,410,360,210,520,950,2830,1460
日刊スポーツ杯お盆特選競走10,230,130,180,320,290,130,150,200,650,260
日刊スポーツ杯お盆特選競走11,430,220,270,890,580,250,1310,1810,5180,3240
日刊スポーツ杯お盆特選競走12,120,100,100,220,160,120,200,210,540,240
ｔｙｓテレビ山口杯争奪戦1,120,100,230,320,270,120,140,380,970,470
ｔｙｓテレビ山口杯争奪戦2,120,100,260,430,440,230,360,450,3630,1030
ｔｙｓテレビ山口杯争奪戦3,150,130,230,450,590,160,110,160,770,280
ｔｙｓテレビ山口杯争奪戦4,110,100,120,150,140,130,210,190,470,260
ｔｙｓテレビ山口杯争奪戦5,260,120,100,740,150,170,560,220,1690,460
ｔｙｓテレビ山口杯争奪戦6,260,150,150,370,240,400,-1,-1,-1,-1
ｔｙｓテレビ山口杯争奪戦7,150,310,120,790,330,110,190,120,1740,200
ｔｙｓテレビ山口杯争奪戦8,110,120,290,1450,1480,160,140,300,2430,470
ｔｙｓテレビ山口杯争奪戦9,110,130,110,290,300,160,220,310,1440,530
ｔｙｓテレビ山口杯争奪戦10,100,100,100,300,150,190,390,340,2010,670
ｔｙｓテレビ山口杯争奪戦11,340,280,100,1750,280,160,180,150,3900,350
ｔｙｓテレビ山口杯争奪戦12,130,100,160,270,220,160,400,1320,2230,1310
第５０回スポーツニッポン杯1,190,100,480,840,700,520,260,870,2230,910
第５０回スポーツニッポン杯2,120,100,230,490,460,140,110,680,2320,1080
第５０回スポーツニッポン杯3,130,100,240,1980,980,340,320,660,6080,2560
第５０回スポーツニッポン杯4,540,100,100,870,380,170,160,350,1930,450
第５０回スポーツニッポン杯5,100,100,160,360,290,170,150,300,880,320
第５０回スポーツニッポン杯6,390,850,1630,2810,2010,560,210,970,5970,1080
第５０回スポーツニッポン杯7,200,130,260,430,190,100,170,160,850,240
第５０回スポーツニッポン杯8,190,100,140,450,230,160,170,180,1780,500
第５０回スポーツニッポン杯9,470,300,390,2580,1250,210,130,140,4380,370
第５０回スポーツニッポン杯10,120,100,110,340,150,140,300,620,1640,640
第５０回スポーツニッポン杯11,130,100,100,230,140,120,350,500,1450,580
第５０回スポーツニッポン杯12,260,120,110,1010,220,150,250,150,2680,450
第５３回渦王杯競走1,1810,210,100,3310,370,130,530,180,16800,590
第５３回渦王杯競走2,160,100,120,260,180,110,210,320,700,370
第５３回渦王杯競走3,100,100,140,460,550,150,160,270,1030,300
第５３回渦王杯競走4,120,100,100,290,200,140,220,120,490,160
第５３回渦王杯競走5,190,100,100,330,170,150,370,210,850,260
第５３回渦王杯競走6,250,100,110,450,300,120,170,370,1000,230
第５３回渦王杯競走7,120,160,200,2390,2200,190,330,370,4900,780
第５３回渦王杯競走8,290,130,1200,4320,2760,570,270,490,17170,4900
第５３回渦王杯競走9,180,110,200,570,390,280,230,370,1510,460
第５３回渦王杯競走10,130,130,530,730,510,210,230,520,3630,960
第５３回渦王杯競走11,360,210,260,1190,1300,260,370,230,5070,1210
第５３回渦王杯競走12,150,100,160,310,150,130,190,280,1430,510
日本財団会長杯争奪第４８回オール兵庫王座決定戦1,1530,170,100,2640,440,210,1090,490,11140,2020
日本財団会長杯争奪第４８回オール兵庫王座決定戦2,170,190,670,1640,1120,290,430,1150,6360,1680
日本財団会長杯争奪第４８回オール兵庫王座決定戦3,100,110,320,1320,610,250,250,820,2690,610
日本財団会長杯争奪第４８回オール兵庫王座決定戦4,150,130,-1,4340,4740,750,250,750,19660,2260
日本財団会長杯争奪第４８回オール兵庫王座決定戦5,140,100,100,460,190,120,170,180,1020,220
日本財団会長杯争奪第４８回オール兵庫王座決定戦6,160,100,150,350,230,170,130,290,730,420
日本財団会長杯争奪第４８回オール兵庫王座決定戦7,110,110,150,540,440,220,310,770,2830,1150
日本財団会長杯争奪第４８回オール兵庫王座決定戦8,120,100,530,310,300,190,160,290,780,370
日本財団会長杯争奪第４８回オール兵庫王座決定戦9,140,110,230,250,200,100,120,260,690,240
日本財団会長杯争奪第４８回オール兵庫王座決定戦10,130,100,250,450,350,130,100,140,830,230
日本財団会長杯争奪第４８回オール兵庫王座決定戦11,110,100,100,220,190,110,330,350,1040,670
日本財団会長杯争奪第４８回オール兵庫王座決定戦12,880,210,100,1610,190,150,460,250,7540,610
滋賀県知事杯争奪第２５回びわこカップ1,670,210,130,1020,190,140,510,180,3890,1260
滋賀県知事杯争奪第２５回びわこカップ2,130,110,150,590,350,190,270,650,3540,1480
滋賀県知事杯争奪第２５回びわこカップ3,280,100,440,3660,2180,280,130,290,8770,460
滋賀県知事杯争奪第２５回びわこカップ4,100,100,120,590,250,130,450,530,3370,970
滋賀県知事杯争奪第２５回びわこカップ5,150,150,810,1310,1850,470,600,2140,11240,5540
滋賀県知事杯争奪第２５回びわこカップ6,100,100,150,370,500,150,180,390,1190,480
滋賀県知事杯争奪第２５回びわこカップ7,110,140,450,840,610,410,230,1340,3580,1670
滋賀県知事杯争奪第２５回びわこカップ8,-1,2100,440,12340,4580,1210,650,420,40080,3000
滋賀県知事杯争奪第２５回びわこカップ9,110,100,130,270,230,130,170,250,580,280
滋賀県知事杯争奪第２５回びわこカップ10,1000,310,360,9980,7160,1130,1130,550,55290,7040
滋賀県知事杯争奪第２５回びわこカップ11,170,120,160,460,240,190,370,340,1970,740
滋賀県知事杯争奪第２５回びわこカップ12,180,100,120,410,290,140,280,230,1440,890
第４８回1,100,100,120,180,180,100,140,220,450,220
第４８回2,130,100,200,650,490,180,860,1050,4780,2890
第４８回3,100,120,220,360,330,210,150,310,1090,390
第４８回4,310,160,220,3700,2320,370,110,220,8600,510
第４８回5,140,150,150,330,320,160,180,210,700,270
