レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
日本モーターボート選手会会長杯1,130,100,260,620,440,220,110,470,1460,400
日本モーターボート選手会会長杯2,160,130,210,730,650,160,100,180,1410,250
日本モーターボート選手会会長杯3,2100,1120,220,3530,1050,190,170,110,12760,380
日本モーターボート選手会会長杯4,1880,860,770,26880,11920,1700,380,670,88680,2140
日本モーターボート選手会会長杯5,200,120,250,730,380,170,350,580,4800,1390
日本モーターボート選手会会長杯6,190,430,460,680,550,220,280,180,1970,440
日本モーターボート選手会会長杯7,220,750,850,1790,670,220,140,210,3500,470
日本モーターボート選手会会長杯8,530,100,100,900,390,210,200,250,2160,460
日本モーターボート選手会会長杯9,130,140,230,250,160,140,790,560,2440,1110
日本モーターボート選手会会長杯10,480,410,110,2950,730,290,240,200,8040,460
日本モーターボート選手会会長杯11,590,220,520,4230,2060,1910,1260,1140,12510,1930
日本モーターボート選手会会長杯12,150,120,220,610,810,300,550,770,3000,2410
ＢＴＳ高城オープン２２周年記念1,120,100,120,370,320,140,160,350,940,350
ＢＴＳ高城オープン２２周年記念2,2630,950,160,5580,1020,330,340,150,14950,410
ＢＴＳ高城オープン２２周年記念3,110,100,110,190,120,110,170,260,440,240
ＢＴＳ高城オープン２２周年記念4,110,100,180,230,250,120,170,210,560,270
ＢＴＳ高城オープン２２周年記念5,100,100,160,310,240,130,180,260,740,260
ＢＴＳ高城オープン２２周年記念6,810,160,130,2920,1650,390,200,260,8620,1090
ＢＴＳ高城オープン２２周年記念7,950,320,1570,5550,2570,1090,120,790,11140,1420
ＢＴＳ高城オープン２２周年記念8,100,100,130,220,200,120,230,460,1540,780
ＢＴＳ高城オープン２２周年記念9,150,270,1050,740,730,260,770,1630,7040,4270
ＢＴＳ高城オープン２２周年記念10,580,210,480,5730,2760,350,160,210,18510,770
ＢＴＳ高城オープン２２周年記念11,130,110,210,310,270,100,140,240,610,300
ＢＴＳ高城オープン２２周年記念12,110,100,130,240,170,140,180,220,590,250
ヴィーナスシリーズ第１１戦第６回マクール杯1,110,100,140,250,210,110,110,220,570,240
ヴィーナスシリーズ第１１戦第６回マクール杯2,160,110,610,7740,4580,930,170,770,25240,3140
ヴィーナスシリーズ第１１戦第６回マクール杯3,180,110,160,330,250,170,150,200,660,210
ヴィーナスシリーズ第１１戦第６回マクール杯4,110,100,220,730,580,310,190,660,2030,1050
ヴィーナスシリーズ第１１戦第６回マクール杯5,810,160,100,1510,360,190,340,320,5690,820
ヴィーナスシリーズ第１１戦第６回マクール杯6,130,100,160,540,370,180,190,230,1310,440
ヴィーナスシリーズ第１１戦第６回マクール杯7,120,110,220,370,260,150,150,260,650,250
ヴィーナスシリーズ第１１戦第６回マクール杯8,140,110,120,310,200,100,140,190,680,270
ヴィーナスシリーズ第１１戦第６回マクール杯9,140,100,160,410,460,140,140,510,1390,680
ヴィーナスシリーズ第１１戦第６回マクール杯10,180,160,250,1840,1860,420,210,420,5280,870
ヴィーナスシリーズ第１１戦第６回マクール杯11,160,120,140,340,350,200,540,860,2340,1620
ヴィーナスシリーズ第１１戦第６回マクール杯12,2030,470,310,22430,6740,740,720,450,167180,7870
第３６回日本モーターボート選手会会長杯1,1260,340,100,5690,480,220,810,290,18920,970
第３６回日本モーターボート選手会会長杯2,210,130,130,410,290,210,180,200,1070,390
第３６回日本モーターボート選手会会長杯3,350,300,180,1120,420,290,860,1040,9530,2220
第３６回日本モーターボート選手会会長杯4,100,100,160,780,690,270,350,680,4200,1750
第３６回日本モーターボート選手会会長杯5,220,300,200,2240,1630,300,270,720,10190,1840
第３６回日本モーターボート選手会会長杯6,100,100,160,290,240,110,170,470,1310,620
第３６回日本モーターボート選手会会長杯7,1380,920,920,9630,4110,1320,450,470,23330,3450
第３６回日本モーターボート選手会会長杯8,130,120,220,360,250,160,480,580,1110,530
第３６回日本モーターボート選手会会長杯9,110,100,130,270,280,150,260,450,900,510
第３６回日本モーターボート選手会会長杯10,270,160,100,1400,330,110,480,230,7720,700
第３６回日本モーターボート選手会会長杯11,120,100,150,330,320,190,140,300,890,400
第３６回日本モーターボート選手会会長杯12,730,120,100,1120,240,150,400,210,2630,430
マンスリーＢＲ杯争奪1,460,210,250,1470,1280,320,590,320,5600,1600
マンスリーＢＲ杯争奪2,860,130,100,920,480,160,280,150,3030,360
マンスリーＢＲ杯争奪3,980,200,300,7900,3270,550,610,1030,28370,4780
マンスリーＢＲ杯争奪4,300,780,1420,2190,1910,680,1110,2220,12020,3490
マンスリーＢＲ杯争奪5,170,140,430,910,670,210,210,390,3190,1010
マンスリーＢＲ杯争奪6,120,140,250,250,240,110,190,180,580,220
マンスリーＢＲ杯争奪7,190,140,100,1030,300,180,800,1500,10160,3180
マンスリーＢＲ杯争奪8,120,100,200,400,430,240,350,580,2370,1330
マンスリーＢＲ杯争奪9,120,100,160,250,260,110,400,380,1340,980
マンスリーＢＲ杯争奪10,120,110,130,360,330,140,150,240,880,320
マンスリーＢＲ杯争奪11,1350,420,420,6910,5270,800,1570,1170,34590,7310
マンスリーＢＲ杯争奪12,850,470,940,5190,3180,570,230,370,16740,1400
餃子大好き大阪王将杯1,340,180,750,1350,3250,470,150,620,5610,1000
餃子大好き大阪王将杯2,480,180,180,1070,380,140,200,220,3060,410
餃子大好き大阪王将杯3,400,270,1830,5260,3450,1000,1000,1110,31670,5650
餃子大好き大阪王将杯4,340,130,300,4710,1870,250,1210,290,16730,2710
餃子大好き大阪王将杯5,330,130,260,740,570,220,190,300,1690,370
餃子大好き大阪王将杯6,150,190,290,1680,1270,250,230,530,6190,2100
餃子大好き大阪王将杯7,160,140,160,610,270,110,160,140,940,240
餃子大好き大阪王将杯8,260,100,130,290,230,170,750,750,2730,1450
餃子大好き大阪王将杯9,540,140,400,3620,1190,360,130,120,9860,720
餃子大好き大阪王将杯10,2830,190,100,3400,350,150,1160,490,15370,1920
餃子大好き大阪王将杯11,100,120,190,350,460,220,380,1010,1860,1390
餃子大好き大阪王将杯12,160,110,210,330,330,130,150,240,930,270
三遠ネオフェニックス杯争奪1,640,160,100,1310,390,170,600,470,6550,990
三遠ネオフェニックス杯争奪2,370,380,1200,1730,1430,300,300,950,14020,3410
三遠ネオフェニックス杯争奪3,450,260,100,2640,610,200,260,170,6460,680
三遠ネオフェニックス杯争奪4,220,260,2010,4510,6600,700,220,210,31740,3830
三遠ネオフェニックス杯争奪5,210,260,420,590,470,270,480,340,3510,1030
三遠ネオフェニックス杯争奪6,110,100,130,340,220,130,250,360,1520,620
三遠ネオフェニックス杯争奪7,120,100,100,240,190,130,180,480,1280,480
三遠ネオフェニックス杯争奪8,190,240,320,1100,430,190,120,130,2000,190
三遠ネオフェニックス杯争奪9,130,100,160,230,240,140,160,170,660,270
三遠ネオフェニックス杯争奪10,110,100,150,280,170,130,270,560,930,630
三遠ネオフェニックス杯争奪11,120,100,220,380,390,160,930,1980,5350,3390
三遠ネオフェニックス杯争奪12,120,100,150,320,270,140,190,260,1130,480
ルーキーシリーズ第１５戦1,210,140,220,630,590,240,400,920,4200,1500
ルーキーシリーズ第１５戦2,500,260,140,900,540,310,210,370,3600,1080
ルーキーシリーズ第１５戦3,1920,540,150,10530,4650,1170,1040,140,23730,1720
