レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
2020-08-27福　岡ライジングゼファーフクオカ杯1R,650,800,1530,3550,1680,310,540,360,16900,3000
2020-08-27福　岡ライジングゼファーフクオカ杯2R,190,120,370,910,800,220,230,580,1770,1040
2020-08-27福　岡ライジングゼファーフクオカ杯3R,200,100,140,350,320,160,510,810,1030,630
2020-08-27福　岡ライジングゼファーフクオカ杯4R,340,150,100,870,330,180,290,350,2320,510
2020-08-27福　岡ライジングゼファーフクオカ杯5R,230,380,240,550,230,180,240,170,1320,410
2020-08-27福　岡ライジングゼファーフクオカ杯6R,250,100,110,420,190,130,280,250,1500,580
2020-08-27福　岡ライジングゼファーフクオカ杯7R,100,100,240,720,720,260,210,400,1960,900
2020-08-27福　岡ライジングゼファーフクオカ杯8R,400,220,240,1750,690,210,460,400,6970,1230
2020-08-27福　岡ライジングゼファーフクオカ杯9R,170,130,460,310,260,200,400,640,920,600
2020-08-27福　岡ライジングゼファーフクオカ杯10R,100,280,400,280,230,130,140,220,480,300
2020-08-27福　岡ライジングゼファーフクオカ杯11R,380,100,100,860,180,150,350,390,8270,1090
2020-08-27福　岡ライジングゼファーフクオカ杯12R,170,140,140,570,390,240,260,410,2270,1200
2020-08-27芦　屋ＢＴＳ高城オープン２２周年記念1R,100,100,190,290,240,140,110,150,640,260
2020-08-27芦　屋ＢＴＳ高城オープン２２周年記念2R,290,160,340,1260,1150,370,330,1140,6670,2440
2020-08-27芦　屋ＢＴＳ高城オープン２２周年記念3R,250,100,100,670,200,150,200,360,2980,770
2020-08-27芦　屋ＢＴＳ高城オープン２２周年記念4R,110,100,110,180,120,120,270,330,850,580
2020-08-27芦　屋ＢＴＳ高城オープン２２周年記念5R,150,100,200,530,410,190,540,1250,5230,3780
2020-08-27芦　屋ＢＴＳ高城オープン２２周年記念6R,200,130,170,690,670,240,400,710,3080,980
2020-08-27芦　屋ＢＴＳ高城オープン２２周年記念7R,250,100,100,530,350,160,130,130,900,180
2020-08-27芦　屋ＢＴＳ高城オープン２２周年記念8R,110,110,220,410,380,140,120,310,710,230
2020-08-27芦　屋ＢＴＳ高城オープン２２周年記念9R,230,160,420,410,800,160,360,250,2390,760
2020-08-27芦　屋ＢＴＳ高城オープン２２周年記念10R,-1,480,100,6800,670,460,920,190,21530,1620
2020-08-27芦　屋ＢＴＳ高城オープン２２周年記念11R,100,100,260,730,960,260,180,680,2330,680
2020-08-27芦　屋ＢＴＳ高城オープン２２周年記念12R,110,120,450,670,910,170,140,260,2190,440
2020-08-27下　関第６６回ボートレースメモリアル1R,160,120,350,380,350,230,340,420,2170,1250
2020-08-27下　関第６６回ボートレースメモリアル2R,170,110,100,280,200,150,460,560,2390,1090
2020-08-27下　関第６６回ボートレースメモリアル3R,130,100,130,460,310,200,220,420,1380,530
2020-08-27下　関第６６回ボートレースメモリアル4R,160,230,520,1560,1530,330,280,930,5870,2250
2020-08-27下　関第６６回ボートレースメモリアル5R,830,620,440,2910,1190,270,170,170,8720,340
2020-08-27下　関第６６回ボートレースメモリアル6R,810,170,110,2850,500,220,880,320,10220,1130
2020-08-27下　関第６６回ボートレースメモリアル7R,630,180,170,4120,1310,270,520,240,11740,1630
2020-08-27下　関第６６回ボートレースメモリアル8R,160,120,130,400,250,180,200,300,1300,540
2020-08-27下　関第６６回ボートレースメモリアル9R,160,110,100,240,210,130,340,300,980,550
2020-08-27下　関第６６回ボートレースメモリアル10R,200,190,610,4780,3190,630,150,290,10730,870
2020-08-27下　関第６６回ボートレースメモリアル11R,130,100,140,240,190,160,420,540,1630,840
2020-08-27下　関第６６回ボートレースメモリアル12R,130,110,130,270,230,150,350,420,1350,670
2020-08-27宮　島ヴィーナスシリーズ第１１戦第６回マクール杯1R,660,180,100,1150,190,170,350,250,4390,570
2020-08-27宮　島ヴィーナスシリーズ第１１戦第６回マクール杯2R,130,100,390,2780,2540,240,120,460,5830,870
2020-08-27宮　島ヴィーナスシリーズ第１１戦第６回マクール杯3R,1000,230,180,1960,610,180,210,160,3970,420
2020-08-27宮　島ヴィーナスシリーズ第１１戦第６回マクール杯4R,2370,550,160,10970,6230,1200,550,280,59950,2950
2020-08-27宮　島ヴィーナスシリーズ第１１戦第６回マクール杯5R,110,120,200,570,490,270,500,1740,4900,3040
2020-08-27宮　島ヴィーナスシリーズ第１１戦第６回マクール杯6R,350,170,100,770,350,120,280,220,1790,440
2020-08-27宮　島ヴィーナスシリーズ第１１戦第６回マクール杯7R,290,180,220,970,320,210,520,490,6770,1880
2020-08-27宮　島ヴィーナスシリーズ第１１戦第６回マクール杯8R,160,120,150,330,200,130,230,210,890,370
2020-08-27宮　島ヴィーナスシリーズ第１１戦第６回マクール杯9R,110,100,220,460,470,150,100,170,960,210
2020-08-27宮　島ヴィーナスシリーズ第１１戦第６回マクール杯10R,180,120,190,560,450,160,230,380,2200,810
2020-08-27宮　島ヴィーナスシリーズ第１１戦第６回マクール杯11R,150,130,150,1010,680,200,170,240,1700,430
2020-08-27宮　島ヴィーナスシリーズ第１１戦第６回マクール杯12R,1220,410,140,1950,420,220,310,160,3550,340
