レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
2020-08-04鳴　門ボートレースチケットショップ土佐開設２４周年記念1R,100,100,120,170,160,120,260,430,1490,940
2020-08-04鳴　門ボートレースチケットショップ土佐開設２４周年記念2R,280,120,140,810,650,170,140,220,2360,280
2020-08-04鳴　門ボートレースチケットショップ土佐開設２４周年記念3R,100,100,140,210,180,140,840,990,2460,1000
2020-08-04鳴　門ボートレースチケットショップ土佐開設２４周年記念4R,740,220,190,2550,1760,170,150,120,5490,320
2020-08-04鳴　門ボートレースチケットショップ土佐開設２４周年記念5R,180,100,530,340,220,110,160,380,1840,800
2020-08-04鳴　門ボートレースチケットショップ土佐開設２４周年記念6R,100,100,250,290,230,100,100,190,480,120
2020-08-04鳴　門ボートレースチケットショップ土佐開設２４周年記念7R,300,310,310,1320,820,170,110,250,3550,510
2020-08-04鳴　門ボートレースチケットショップ土佐開設２４周年記念8R,770,300,100,6290,2750,360,230,170,15080,1780
2020-08-04鳴　門ボートレースチケットショップ土佐開設２４周年記念9R,170,440,510,3810,1810,320,240,230,12920,1450
2020-08-04鳴　門ボートレースチケットショップ土佐開設２４周年記念10R,160,120,100,740,280,180,400,330,3670,960
2020-08-04鳴　門ボートレースチケットショップ土佐開設２４周年記念11R,130,100,170,190,240,140,200,370,610,340
2020-08-04鳴　門ボートレースチケットショップ土佐開設２４周年記念12R,380,150,100,1280,230,240,340,400,7300,910
2020-08-04尼　崎マンスリーＢＯＡＴＲＡＣＥ杯1R,120,210,130,630,200,130,290,230,2080,920
2020-08-04尼　崎マンスリーＢＯＡＴＲＡＣＥ杯2R,1620,860,230,8240,2890,490,540,310,34570,2070
2020-08-04尼　崎マンスリーＢＯＡＴＲＡＣＥ杯3R,240,230,100,1580,560,170,180,130,2930,230
2020-08-04尼　崎マンスリーＢＯＡＴＲＡＣＥ杯4R,380,170,240,740,420,190,180,340,2520,440
2020-08-04尼　崎マンスリーＢＯＡＴＲＡＣＥ杯5R,150,110,120,300,220,110,180,290,1220,440
2020-08-04尼　崎マンスリーＢＯＡＴＲＡＣＥ杯6R,110,140,-1,1860,1210,330,100,370,3450,480
2020-08-04尼　崎マンスリーＢＯＡＴＲＡＣＥ杯7R,690,310,380,2330,1490,330,800,510,16940,2430
2020-08-04尼　崎マンスリーＢＯＡＴＲＡＣＥ杯8R,230,120,140,460,210,160,310,300,1720,400
2020-08-04尼　崎マンスリーＢＯＡＴＲＡＣＥ杯9R,100,100,210,280,200,110,160,240,590,310
2020-08-04尼　崎マンスリーＢＯＡＴＲＡＣＥ杯10R,110,100,130,280,240,120,100,230,470,250
2020-08-04尼　崎マンスリーＢＯＡＴＲＡＣＥ杯11R,100,100,200,260,280,140,150,220,690,210
2020-08-04尼　崎マンスリーＢＯＡＴＲＡＣＥ杯12R,100,100,140,290,270,120,300,380,1040,550
2020-08-04住之江ボートの時間！ご視聴ありがとう競走1R,1200,370,140,5140,1230,530,770,620,35200,4360
2020-08-04住之江ボートの時間！ご視聴ありがとう競走2R,100,100,150,250,220,130,180,460,1020,510
2020-08-04住之江ボートの時間！ご視聴ありがとう競走3R,450,260,930,2850,2210,550,450,550,17990,3810
2020-08-04住之江ボートの時間！ご視聴ありがとう競走4R,100,130,700,2560,2870,230,170,1120,10910,1930
2020-08-04住之江ボートの時間！ご視聴ありがとう競走5R,100,100,160,400,370,210,130,280,1120,390
2020-08-04住之江ボートの時間！ご視聴ありがとう競走6R,160,110,100,230,200,160,190,380,1180,530
2020-08-04住之江ボートの時間！ご視聴ありがとう競走7R,140,100,100,230,140,100,210,130,450,180
2020-08-04住之江ボートの時間！ご視聴ありがとう競走8R,100,100,200,980,760,260,150,460,1960,640
2020-08-04住之江ボートの時間！ご視聴ありがとう競走9R,210,170,120,550,220,160,570,390,2960,1040
2020-08-04住之江ボートの時間！ご視聴ありがとう競走10R,100,100,100,470,370,180,120,330,1400,370
2020-08-04住之江ボートの時間！ご視聴ありがとう競走11R,100,100,140,250,170,190,250,680,1260,910
2020-08-04住之江ボートの時間！ご視聴ありがとう競走12R,640,170,400,5970,1560,410,350,530,28480,4120
2020-08-04琵琶湖開設６８周年記念1R,100,100,240,1410,1250,360,560,1470,9540,3040
2020-08-04琵琶湖開設６８周年記念2R,560,220,110,1220,330,200,670,350,4890,920
2020-08-04琵琶湖開設６８周年記念3R,150,170,610,1110,810,340,520,980,5710,2590
2020-08-04琵琶湖開設６８周年記念4R,160,140,310,340,320,140,180,410,1130,440
2020-08-04琵琶湖開設６８周年記念5R,230,100,100,420,200,110,170,190,970,290
2020-08-04琵琶湖開設６８周年記念6R,340,250,700,1640,1380,410,150,340,3660,700
2020-08-04琵琶湖開設６８周年記念7R,100,100,180,470,460,180,160,260,1170,430
2020-08-04琵琶湖開設６８周年記念8R,140,100,200,410,420,160,280,840,3800,1840
2020-08-04琵琶湖開設６８周年記念9R,160,100,170,530,450,160,130,290,1130,360
2020-08-04琵琶湖開設６８周年記念10R,670,360,790,3950,1840,570,600,540,20990,3740
2020-08-04琵琶湖開設６８周年記念11R,120,100,150,320,320,140,230,550,1520,850
2020-08-04琵琶湖開設６８周年記念12R,1030,360,290,5710,1880,450,240,210,15410,720
2020-08-04常　滑中日スポーツ杯争奪第２４回ドラゴン大賞1R,560,120,110,830,170,120,280,310,1990,420
2020-08-04常　滑中日スポーツ杯争奪第２４回ドラゴン大賞2R,150,120,330,1170,1020,240,140,280,2460,340
2020-08-04常　滑中日スポーツ杯争奪第２４回ドラゴン大賞3R,150,100,170,560,510,180,470,580,2990,1740
2020-08-04常　滑中日スポーツ杯争奪第２４回ドラゴン大賞4R,240,130,180,490,250,250,160,240,1750,680
2020-08-04常　滑中日スポーツ杯争奪第２４回ドラゴン大賞5R,760,100,100,1050,170,100,380,230,2490,280
2020-08-04常　滑中日スポーツ杯争奪第２４回ドラゴン大賞6R,290,280,140,2350,1190,200,130,110,5390,310
2020-08-04常　滑中日スポーツ杯争奪第２４回ドラゴン大賞7R,100,100,260,550,590,230,190,720,1490,910
2020-08-04常　滑中日スポーツ杯争奪第２４回ドラゴン大賞8R,140,100,100,190,160,110,140,120,380,200
2020-08-04常　滑中日スポーツ杯争奪第２４回ドラゴン大賞9R,330,100,100,660,240,160,380,380,1750,360
2020-08-04常　滑中日スポーツ杯争奪第２４回ドラゴン大賞10R,140,430,170,300,360,120,180,160,740,260
2020-08-04常　滑中日スポーツ杯争奪第２４回ドラゴン大賞11R,110,100,100,190,190,120,190,250,580,300
