レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
2020-09-01唐　津日本モーターボート選手会会長杯1R,120,100,240,460,310,240,560,1290,5720,3180
2020-09-01唐　津日本モーターボート選手会会長杯2R,240,150,300,860,910,250,300,900,4410,2530
2020-09-01唐　津日本モーターボート選手会会長杯3R,120,110,360,930,700,250,150,870,3490,1380
2020-09-01唐　津日本モーターボート選手会会長杯4R,150,100,120,290,200,130,450,150,1670,670
2020-09-01唐　津日本モーターボート選手会会長杯5R,170,110,110,370,260,170,190,240,1010,340
2020-09-01唐　津日本モーターボート選手会会長杯6R,540,180,180,1510,620,200,200,100,2560,260
2020-09-01唐　津日本モーターボート選手会会長杯7R,430,250,300,2130,970,120,160,170,4480,340
2020-09-01唐　津日本モーターボート選手会会長杯8R,210,110,560,2730,2540,440,170,1850,8810,3620
2020-09-01唐　津日本モーターボート選手会会長杯9R,160,120,270,560,600,200,400,740,3120,1160
2020-09-01唐　津日本モーターボート選手会会長杯10R,600,670,200,5240,1550,100,160,110,7530,350
2020-09-01唐　津日本モーターボート選手会会長杯11R,160,100,120,230,210,250,340,680,1160,780
2020-09-01唐　津日本モーターボート選手会会長杯12R,100,100,320,1050,1040,330,170,380,3540,1050
2020-09-01徳　山マンスリーＢＯＡＴＲＡＣＥ杯争奪戦1R,2070,160,100,2240,190,120,320,140,7880,330
2020-09-01徳　山マンスリーＢＯＡＴＲＡＣＥ杯争奪戦2R,110,100,120,430,350,170,420,1050,3080,2110
2020-09-01徳　山マンスリーＢＯＡＴＲＡＣＥ杯争奪戦3R,130,150,610,770,610,150,110,340,1490,350
2020-09-01徳　山マンスリーＢＯＡＴＲＡＣＥ杯争奪戦4R,100,100,110,160,160,110,220,260,490,310
2020-09-01徳　山マンスリーＢＯＡＴＲＡＣＥ杯争奪戦5R,130,100,410,690,910,250,340,1200,3970,2150
2020-09-01徳　山マンスリーＢＯＡＴＲＡＣＥ杯争奪戦6R,240,230,460,1640,1450,220,150,200,3610,450
2020-09-01徳　山マンスリーＢＯＡＴＲＡＣＥ杯争奪戦7R,530,430,260,1100,450,170,250,210,3610,560
2020-09-01徳　山マンスリーＢＯＡＴＲＡＣＥ杯争奪戦8R,180,120,200,770,630,340,150,330,1430,270
2020-09-01徳　山マンスリーＢＯＡＴＲＡＣＥ杯争奪戦9R,920,1050,730,20180,6660,1720,730,530,49080,6660
2020-09-01徳　山マンスリーＢＯＡＴＲＡＣＥ杯争奪戦10R,700,180,240,6970,5360,430,250,480,25510,2080
2020-09-01徳　山マンスリーＢＯＡＴＲＡＣＥ杯争奪戦11R,130,110,160,320,270,120,160,170,630,200
2020-09-01徳　山マンスリーＢＯＡＴＲＡＣＥ杯争奪戦12R,130,100,200,450,380,140,270,610,1690,540
2020-09-01丸　亀マンスリーＢＲ杯争奪1R,630,150,120,940,310,200,290,350,2900,750
2020-09-01丸　亀マンスリーＢＲ杯争奪2R,750,350,240,3200,750,350,190,160,5820,690
2020-09-01丸　亀マンスリーＢＲ杯争奪3R,1080,490,290,6180,1600,530,410,690,19040,1910
2020-09-01丸　亀マンスリーＢＲ杯争奪4R,140,190,420,2070,2160,580,220,840,5210,2020
2020-09-01丸　亀マンスリーＢＲ杯争奪5R,160,150,680,2700,2160,400,250,490,6960,1040
2020-09-01丸　亀マンスリーＢＲ杯争奪6R,480,160,110,1010,460,180,1690,850,10740,3230
2020-09-01丸　亀マンスリーＢＲ杯争奪7R,220,100,100,320,140,110,130,160,770,210
2020-09-01丸　亀マンスリーＢＲ杯争奪8R,220,100,150,480,360,170,140,200,1340,430
2020-09-01丸　亀マンスリーＢＲ杯争奪9R,180,130,140,350,410,240,400,590,1780,1190
2020-09-01丸　亀マンスリーＢＲ杯争奪10R,120,120,180,320,240,150,260,580,1660,850
2020-09-01丸　亀マンスリーＢＲ杯争奪11R,110,100,330,750,520,200,120,210,1540,350
