レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
ルーキーシリーズ第１６戦1,130,100,120,300,210,140,220,350,910,590
ルーキーシリーズ第１６戦2,1000,210,150,1970,550,260,520,650,8130,1600
ルーキーシリーズ第１６戦3,270,110,100,460,240,100,150,140,840,190
ルーキーシリーズ第１６戦4,240,510,1390,690,620,320,270,650,3670,720
ルーキーシリーズ第１６戦5,190,180,630,2060,1320,430,260,540,9340,840
ルーキーシリーズ第１６戦6,200,120,100,330,110,100,240,150,840,260
ルーキーシリーズ第１６戦7,470,240,1120,3870,4330,410,100,560,8340,1470
ルーキーシリーズ第１６戦8,240,120,110,370,220,130,150,130,900,270
ルーキーシリーズ第１６戦9,110,100,150,220,200,130,150,170,450,190
ルーキーシリーズ第１６戦10,100,100,190,360,360,100,100,250,960,260
ルーキーシリーズ第１６戦11,1020,290,610,13450,17470,540,820,2230,177830,14530
ルーキーシリーズ第１６戦12,110,120,190,360,310,140,100,240,990,330
オールレディースＬＯＶＥＦＭ福岡なでしこカップ1,20520,390,100,4310,470,310,580,230,13490,1130
オールレディースＬＯＶＥＦＭ福岡なでしこカップ2,140,100,150,490,340,240,610,670,5120,2420
オールレディースＬＯＶＥＦＭ福岡なでしこカップ3,790,170,1500,4590,3070,680,300,870,14570,2230
オールレディースＬＯＶＥＦＭ福岡なでしこカップ4,110,100,200,340,210,190,410,660,2810,1570
オールレディースＬＯＶＥＦＭ福岡なでしこカップ5,460,160,120,610,450,160,180,210,2880,340
オールレディースＬＯＶＥＦＭ福岡なでしこカップ6,330,230,140,830,330,260,190,170,1730,530
オールレディースＬＯＶＥＦＭ福岡なでしこカップ7,280,190,200,2310,1120,250,180,340,5040,620
オールレディースＬＯＶＥＦＭ福岡なでしこカップ8,150,100,290,390,390,170,260,460,1590,950
オールレディースＬＯＶＥＦＭ福岡なでしこカップ9,210,140,280,770,460,250,570,1130,5680,3890
オールレディースＬＯＶＥＦＭ福岡なでしこカップ10,340,250,230,2410,1230,290,570,550,11390,2430
オールレディースＬＯＶＥＦＭ福岡なでしこカップ11,920,190,100,1840,250,130,320,180,4960,600
オールレディースＬＯＶＥＦＭ福岡なでしこカップ12,130,100,140,330,250,100,200,260,1110,470
日本ＭＢ選手会会長杯1,120,100,140,190,150,120,240,240,840,650
日本ＭＢ選手会会長杯2,110,100,180,320,230,130,130,120,490,160
