レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
2020-09-07住之江第４８回高松宮記念特別競走1R,940,160,100,1610,360,160,380,180,5710,640
2020-09-07住之江第４８回高松宮記念特別競走2R,120,100,190,930,650,290,230,1170,4650,2100
2020-09-07住之江第４８回高松宮記念特別競走3R,140,110,350,720,650,210,180,490,2770,1030
2020-09-07住之江第４８回高松宮記念特別競走4R,140,120,120,270,250,160,670,1520,4420,2480
2020-09-07住之江第４８回高松宮記念特別競走5R,110,120,330,1600,1380,290,190,750,6960,1700
2020-09-07住之江第４８回高松宮記念特別競走6R,690,200,140,2700,720,260,690,490,9650,2140
2020-09-07住之江第４８回高松宮記念特別競走7R,540,330,110,3030,540,180,290,120,10390,360
2020-09-07住之江第４８回高松宮記念特別競走8R,140,120,170,370,280,130,150,280,960,310
2020-09-07住之江第４８回高松宮記念特別競走9R,120,100,100,340,310,180,340,490,1650,870
2020-09-07住之江第４８回高松宮記念特別競走10R,120,110,260,380,370,170,230,460,1310,700
2020-09-07住之江第４８回高松宮記念特別競走11R,870,270,110,1690,310,150,320,170,5470,530
2020-09-07住之江第４８回高松宮記念特別競走12R,130,120,200,390,340,170,170,400,1280,410
2020-09-07琵琶湖第７回中日スポーツ杯1R,160,100,140,250,230,140,200,300,770,300
2020-09-07琵琶湖第７回中日スポーツ杯2R,320,110,130,630,330,190,430,450,3000,1140
2020-09-07琵琶湖第７回中日スポーツ杯3R,970,280,180,3550,1310,350,1660,840,30730,6010
2020-09-07琵琶湖第７回中日スポーツ杯4R,200,100,100,390,160,140,170,170,1030,290
2020-09-07琵琶湖第７回中日スポーツ杯5R,660,130,110,1050,130,140,380,290,4170,490
2020-09-07琵琶湖第７回中日スポーツ杯6R,270,100,120,360,180,120,100,110,670,160
2020-09-07琵琶湖第７回中日スポーツ杯7R,200,100,120,360,240,140,560,600,4610,2090
2020-09-07琵琶湖第７回中日スポーツ杯8R,150,100,100,340,180,120,130,200,710,220
2020-09-07琵琶湖第７回中日スポーツ杯9R,100,120,260,3500,1960,560,260,830,14690,2500
2020-09-07琵琶湖第７回中日スポーツ杯10R,130,260,540,270,220,150,130,180,610,250
2020-09-07琵琶湖第７回中日スポーツ杯11R,640,350,1130,3360,1930,430,870,1370,18620,6280
2020-09-07琵琶湖第７回中日スポーツ杯12R,110,100,170,830,870,250,200,680,2700,770
2020-09-07　津　津インクル開設９周年記念レース1R,900,170,210,18470,3820,450,630,370,65440,5530
2020-09-07　津　津インクル開設９周年記念レース2R,1510,520,160,6380,2980,810,780,310,36570,2480
2020-09-07　津　津インクル開設９周年記念レース3R,280,280,500,1810,1360,280,190,290,5140,760
2020-09-07　津　津インクル開設９周年記念レース4R,520,240,160,1490,850,250,590,320,5480,1280
2020-09-07　津　津インクル開設９周年記念レース5R,130,100,120,250,210,110,150,270,570,290
2020-09-07　津　津インクル開設９周年記念レース6R,1000,220,100,2510,530,150,180,130,6170,350
2020-09-07　津　津インクル開設９周年記念レース7R,220,120,210,990,810,230,590,1500,12390,4900
2020-09-07　津　津インクル開設９周年記念レース8R,200,180,460,910,560,200,180,340,3110,590
2020-09-07　津　津インクル開設９周年記念レース9R,350,170,130,1020,340,140,140,150,2140,240
2020-09-07　津　津インクル開設９周年記念レース10R,240,110,350,540,510,240,160,360,1410,440
2020-09-07　津　津インクル開設９周年記念レース11R,160,100,200,370,420,140,120,190,790,220
2020-09-07　津　津インクル開設９周年記念レース12R,550,210,110,1950,240,140,180,120,4120,280
