レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
東スタンドリニューアル記念レース1,110,100,160,400,360,130,170,470,940,520
東スタンドリニューアル記念レース2,520,150,400,2450,2240,260,320,610,12000,3560
東スタンドリニューアル記念レース3,160,110,170,470,440,340,360,380,2770,1290
東スタンドリニューアル記念レース4,160,310,1440,7850,1010,910,190,490,17370,1640
東スタンドリニューアル記念レース5,180,160,170,1060,490,130,120,100,1150,180
東スタンドリニューアル記念レース6,110,100,120,230,140,100,110,160,430,200
東スタンドリニューアル記念レース7,230,100,260,760,470,320,370,1130,3090,1370
東スタンドリニューアル記念レース8,100,100,220,160,250,170,240,190,770,520
東スタンドリニューアル記念レース9,140,100,210,800,300,180,110,150,1080,320
東スタンドリニューアル記念レース10,100,100,100,240,170,140,110,230,440,260
東スタンドリニューアル記念レース11,100,100,120,220,140,100,150,160,300,160
東スタンドリニューアル記念レース12,110,100,340,840,810,200,220,830,2470,730
ＲＫＢラジオ杯1,100,100,150,330,310,110,100,210,570,250
ＲＫＢラジオ杯2,670,320,100,3060,750,170,190,100,5490,290
ＲＫＢラジオ杯3,110,110,350,280,220,160,510,600,2400,1860
ＲＫＢラジオ杯4,100,100,150,280,270,160,110,240,620,310
ＲＫＢラジオ杯5,100,100,100,380,210,240,290,400,1340,650
ＲＫＢラジオ杯6,1550,340,150,9140,4120,1050,1000,350,26510,2780
ＲＫＢラジオ杯7,130,100,200,550,470,280,160,490,1240,490
ＲＫＢラジオ杯8,220,100,100,760,170,120,510,250,3650,1080
ＲＫＢラジオ杯9,140,100,300,750,540,230,260,430,2590,1080
ＲＫＢラジオ杯10,260,180,140,1760,1170,520,450,490,8260,2100
ＲＫＢラジオ杯11,130,100,100,300,260,100,210,250,1060,400
ＲＫＢラジオ杯12,100,100,380,720,630,200,190,700,2210,620
Ｇ３長府製作所杯1,100,100,270,340,340,190,250,490,1300,640
Ｇ３長府製作所杯2,100,110,240,380,740,230,130,310,1440,360
Ｇ３長府製作所杯3,240,240,200,1070,870,350,610,660,4860,1740
Ｇ３長府製作所杯4,280,170,810,2450,1100,650,180,380,5160,1330
Ｇ３長府製作所杯5,170,100,120,260,200,140,200,160,720,250
Ｇ３長府製作所杯6,310,160,160,640,510,280,400,180,2220,720
Ｇ３長府製作所杯7,900,220,100,2660,740,260,1620,700,14550,2780
Ｇ３長府製作所杯8,190,210,260,1040,830,240,150,230,2380,670
Ｇ３長府製作所杯9,760,220,140,3790,800,280,250,210,5710,570
Ｇ３長府製作所杯10,100,140,360,1340,940,270,160,340,2510,800
Ｇ３長府製作所杯11,100,100,100,210,180,110,180,190,590,370
Ｇ３長府製作所杯12,450,100,100,910,200,120,260,190,1980,360
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦1,100,100,110,170,180,120,120,210,390,220
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦2,100,100,100,160,110,100,130,150,290,150
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦3,110,100,290,540,350,150,100,180,820,190
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦4,110,100,300,1150,1090,230,100,300,2070,320
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦5,100,100,220,250,310,130,110,440,1090,490
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦6,110,100,210,650,550,240,180,370,1900,620
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦7,350,270,510,3620,2660,780,380,590,14880,1910
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦8,130,100,140,320,210,140,140,340,1000,370
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦9,170,120,120,270,170,100,180,170,590,160
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦10,140,130,110,390,340,150,120,140,690,190
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦11,300,180,1400,2820,1320,970,370,1680,15060,2900
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦12,100,110,290,190,150,120,310,490,830,540
第２５回日本財団会長杯1,120,100,620,1440,1770,470,170,1310,6030,1240
第２５回日本財団会長杯2,880,1120,1300,5480,6060,410,140,170,26530,620
第２５回日本財団会長杯3,390,140,210,850,450,160,190,250,2040,520
第２５回日本財団会長杯4,160,170,740,4480,5140,730,260,630,23950,3600
第２５回日本財団会長杯5,160,120,200,310,370,110,110,210,660,240
第２５回日本財団会長杯6,210,120,100,900,210,160,380,240,3120,610
第２５回日本財団会長杯7,250,210,140,600,520,190,170,290,1990,410
第２５回日本財団会長杯8,150,150,210,520,430,120,120,190,1080,280
第２５回日本財団会長杯9,340,110,100,1310,200,110,180,120,2280,200
第２５回日本財団会長杯10,240,130,1500,6860,7350,820,270,2030,28560,7840
第２５回日本財団会長杯11,230,120,110,630,330,100,170,190,1450,280
第２５回日本財団会長杯12,200,100,220,270,260,190,400,390,2020,930
スポーツニッポンカップ1,120,110,120,270,310,160,250,350,860,430
スポーツニッポンカップ2,150,100,190,360,210,150,290,380,1100,480
スポーツニッポンカップ3,140,100,330,480,590,210,180,210,1760,550
スポーツニッポンカップ4,140,130,230,470,610,230,110,620,1910,710
スポーツニッポンカップ5,120,100,100,340,230,220,260,320,1270,540
スポーツニッポンカップ6,160,100,130,310,240,140,180,310,900,480
スポーツニッポンカップ7,140,100,100,130,150,120,380,160,890,590
スポーツニッポンカップ8,100,100,100,230,250,130,880,1570,2090,1520
スポーツニッポンカップ9,120,100,280,330,260,180,250,620,950,490
スポーツニッポンカップ10,420,470,310,5840,2590,660,490,300,17030,1950
スポーツニッポンカップ11,100,100,450,1170,760,280,280,1090,5740,2530
スポーツニッポンカップ12,520,220,360,2010,1080,180,160,140,3590,210
ボートレースチケットショップ土佐開設２４周年記念1,100,100,210,530,430,170,120,950,2550,960
ボートレースチケットショップ土佐開設２４周年記念2,110,130,290,580,430,120,140,1240,2060,670
ボートレースチケットショップ土佐開設２４周年記念3,870,430,290,6160,2360,970,230,310,20700,5030
ボートレースチケットショップ土佐開設２４周年記念4,120,100,260,690,440,350,1620,1620,9150,5290
ボートレースチケットショップ土佐開設２４周年記念5,160,170,-1,1210,890,480,240,720,1740,680
ボートレースチケットショップ土佐開設２４周年記念6,200,290,620,1920,770,150,130,180,2740,400
ボートレースチケットショップ土佐開設２４周年記念7,210,340,1030,880,1190,720,610,4420,5370,2750
ボートレースチケットショップ土佐開設２４周年記念8,420,110,410,2300,850,350,500,1220,10040,2620
ボートレースチケットショップ土佐開設２４周年記念9,930,1230,140,7370,1520,340,420,200,27760,1180
ボートレースチケットショップ土佐開設２４周年記念10,570,480,900,11570,5410,660,620,870,38390,4430
ボートレースチケットショップ土佐開設２４周年記念11,170,110,120,370,230,110,260,220,1590,460
ボートレースチケットショップ土佐開設２４周年記念12,100,100,100,270,280,160,560,1380,3160,1750
マンスリーＢＯＡＴＲＡＣＥ杯1,210,120,690,4680,1890,430,110,310,10600,820
マンスリーＢＯＡＴＲＡＣＥ杯2,130,100,110,270,210,180,410,660,2330,1660
マンスリーＢＯＡＴＲＡＣＥ杯3,220,160,120,830,170,120,230,230,2800,340
マンスリーＢＯＡＴＲＡＣＥ杯4,100,100,270,440,470,180,170,300,1460,750
マンスリーＢＯＡＴＲＡＣＥ杯5,100,100,120,370,300,160,110,100,770,270
マンスリーＢＯＡＴＲＡＣＥ杯6,3450,710,100,8240,950,230,2920,690,80370,5920
マンスリーＢＯＡＴＲＡＣＥ杯7,190,110,540,590,650,230,200,1080,1860,1190
マンスリーＢＯＡＴＲＡＣＥ杯8,100,130,690,420,390,160,170,340,1220,430
マンスリーＢＯＡＴＲＡＣＥ杯9,230,100,150,550,460,100,110,240,930,250
マンスリーＢＯＡＴＲＡＣＥ杯10,240,150,530,480,410,280,370,660,2110,1420
マンスリーＢＯＡＴＲＡＣＥ杯11,100,100,100,210,160,120,160,590,780,480
マンスリーＢＯＡＴＲＡＣＥ杯12,360,450,980,3010,2240,320,140,220,9330,700
ＢＴＳ名張５周年記念モンスターカップ1,100,100,100,220,130,100,180,330,460,350
