レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
2020-08-08大　村長崎新聞社杯1R,120,100,310,1040,1230,380,260,750,5040,1840
2020-08-08大　村長崎新聞社杯2R,220,100,100,430,140,120,120,140,1040,310
2020-08-08大　村長崎新聞社杯3R,170,210,480,1630,1340,400,390,390,4870,1510
2020-08-08大　村長崎新聞社杯4R,620,310,300,1090,490,210,460,400,3320,680
2020-08-08大　村長崎新聞社杯5R,160,100,100,280,140,110,170,220,590,320
2020-08-08大　村長崎新聞社杯6R,250,150,130,470,230,160,390,450,2250,680
2020-08-08大　村長崎新聞社杯7R,140,160,180,230,190,110,150,130,460,190
2020-08-08大　村長崎新聞社杯8R,200,150,230,620,570,220,370,1110,2820,1870
2020-08-08大　村長崎新聞社杯9R,230,170,290,820,850,260,840,950,5020,3400
2020-08-08大　村長崎新聞社杯10R,110,100,100,220,280,190,610,1100,2090,860
2020-08-08大　村長崎新聞社杯11R,160,100,100,240,170,120,140,240,560,260
2020-08-08大　村長崎新聞社杯12R,110,130,170,320,320,140,150,260,750,420
2020-08-08芦　屋ＲＫＢラジオ杯1R,100,100,180,620,550,200,110,280,1080,330
2020-08-08芦　屋ＲＫＢラジオ杯2R,1590,350,110,9330,1800,570,4230,2840,177390,16930
2020-08-08芦　屋ＲＫＢラジオ杯3R,100,100,180,210,150,120,240,190,630,440
2020-08-08芦　屋ＲＫＢラジオ杯4R,120,100,100,170,120,100,210,190,490,270
2020-08-08芦　屋ＲＫＢラジオ杯5R,1550,180,100,2120,530,160,510,160,13770,1150
2020-08-08芦　屋ＲＫＢラジオ杯6R,500,120,170,1440,590,250,610,760,9730,1960
2020-08-08芦　屋ＲＫＢラジオ杯7R,420,150,120,610,260,140,270,180,1870,440
2020-08-08芦　屋ＲＫＢラジオ杯8R,2110,370,240,5450,1450,290,310,120,10790,340
2020-08-08芦　屋ＲＫＢラジオ杯9R,2330,1060,250,8020,3220,740,990,450,34360,2920
2020-08-08芦　屋ＲＫＢラジオ杯10R,110,100,120,240,300,140,300,420,1330,740
2020-08-08芦　屋ＲＫＢラジオ杯11R,160,160,1980,1870,1510,530,120,740,8350,1760
2020-08-08芦　屋ＲＫＢラジオ杯12R,110,100,150,570,310,240,190,440,1860,1110
2020-08-08下　関Ｇ３長府製作所杯1R,100,110,340,320,340,140,120,380,740,320
2020-08-08下　関Ｇ３長府製作所杯2R,380,240,210,1580,910,270,180,140,3120,280
2020-08-08下　関Ｇ３長府製作所杯3R,500,280,110,3220,730,290,470,190,12880,640
2020-08-08下　関Ｇ３長府製作所杯4R,270,150,290,710,410,130,420,1300,4290,1770
2020-08-08下　関Ｇ３長府製作所杯5R,290,100,110,240,190,120,160,180,810,350
2020-08-08下　関Ｇ３長府製作所杯6R,400,130,170,320,250,150,170,160,640,180
2020-08-08下　関Ｇ３長府製作所杯7R,990,520,220,8230,3010,470,220,120,26440,550
2020-08-08下　関Ｇ３長府製作所杯8R,560,100,110,600,240,140,250,170,1960,360
2020-08-08下　関Ｇ３長府製作所杯9R,200,110,100,320,160,130,270,230,1190,370
2020-08-08下　関Ｇ３長府製作所杯10R,170,110,220,640,770,430,200,1380,2370,930
2020-08-08下　関Ｇ３長府製作所杯11R,120,100,150,310,250,140,110,130,690,280
2020-08-08下　関Ｇ３長府製作所杯12R,100,100,150,300,250,150,180,400,1280,690
2020-08-08児　島第２５回日本財団会長杯1R,100,100,120,240,210,140,150,230,540,250
