レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
2020-09-16大　村ニッカン・コム杯1R,1630,480,120,13570,1470,480,480,180,38010,970
2020-09-16大　村ニッカン・コム杯2R,900,310,220,1610,510,200,880,600,8210,1440
2020-09-16大　村ニッカン・コム杯3R,490,590,500,6200,2300,450,400,200,20360,1370
2020-09-16大　村ニッカン・コム杯4R,130,100,140,410,270,110,150,300,810,320
2020-09-16大　村ニッカン・コム杯5R,110,100,100,220,250,160,400,410,1520,1130
2020-09-16大　村ニッカン・コム杯6R,100,120,250,390,550,210,510,520,4060,1550
2020-09-16大　村ニッカン・コム杯7R,260,100,320,1760,1570,180,140,340,3880,560
2020-09-16大　村ニッカン・コム杯8R,290,120,300,3810,2410,1420,140,1230,10990,1890
2020-09-16大　村ニッカン・コム杯9R,1970,1450,210,16360,5310,880,500,170,46250,1100
2020-09-16大　村ニッカン・コム杯10R,100,100,120,280,210,120,120,150,560,210
2020-09-16大　村ニッカン・コム杯11R,120,100,410,2210,1780,360,200,510,5240,1070
2020-09-16大　村ニッカン・コム杯12R,1270,230,110,1960,300,160,260,130,5650,290
2020-09-16福　岡第１４回ペラ坊ショップ杯1R,120,130,1220,1390,1810,490,150,1000,5610,1040
2020-09-16福　岡第１４回ペラ坊ショップ杯2R,100,100,150,280,270,120,150,380,780,390
2020-09-16福　岡第１４回ペラ坊ショップ杯3R,710,390,120,3570,1620,-1,-1,-1,2840,-1
2020-09-16福　岡第１４回ペラ坊ショップ杯4R,590,130,170,1800,1010,330,700,420,12430,2830
2020-09-16福　岡第１４回ペラ坊ショップ杯5R,700,220,260,4480,1630,430,210,420,12460,3560
2020-09-16福　岡第１４回ペラ坊ショップ杯6R,200,180,280,390,290,180,330,620,2400,1300
2020-09-16福　岡第１４回ペラ坊ショップ杯7R,150,100,130,550,290,180,190,260,1270,460
2020-09-16福　岡第１４回ペラ坊ショップ杯8R,110,100,240,390,370,190,150,280,1640,820
2020-09-16福　岡第１４回ペラ坊ショップ杯9R,380,160,230,2300,1070,100,240,240,6430,970
2020-09-16福　岡第１４回ペラ坊ショップ杯10R,380,180,480,2390,820,260,270,350,4600,730
2020-09-16福　岡第１４回ペラ坊ショップ杯11R,170,110,150,300,350,150,110,190,740,210
2020-09-16福　岡第１４回ペラ坊ショップ杯12R,690,150,130,1290,180,160,260,210,3420,380
2020-09-16若　松オールレディースＪＡＬカップ1R,200,140,180,520,460,190,270,610,3020,1070
2020-09-16若　松オールレディースＪＡＬカップ2R,300,170,1160,1430,930,310,130,250,2230,540
2020-09-16若　松オールレディースＪＡＬカップ3R,310,100,120,1030,260,110,130,100,1900,200
2020-09-16若　松オールレディースＪＡＬカップ4R,240,150,140,1120,610,350,150,310,4320,1810
2020-09-16若　松オールレディースＪＡＬカップ5R,1120,520,190,2910,920,190,380,390,10000,1290
2020-09-16若　松オールレディースＪＡＬカップ6R,250,100,100,340,180,130,210,130,1060,240
2020-09-16若　松オールレディースＪＡＬカップ7R,210,110,230,1130,680,200,110,270,3200,540
2020-09-16若　松オールレディースＪＡＬカップ8R,1810,1090,480,9830,2250,270,140,130,17730,450
2020-09-16若　松オールレディースＪＡＬカップ9R,6360,460,100,14180,2140,290,2340,390,87170,5480
2020-09-16若　松オールレディースＪＡＬカップ10R,170,120,230,1030,1110,310,390,1030,7980,2940
2020-09-16若　松オールレディースＪＡＬカップ11R,1050,260,800,11920,3540,610,740,1000,74200,11610
2020-09-16若　松オールレディースＪＡＬカップ12R,130,100,130,450,470,200,220,420,1600,820
2020-09-16下　関オラレ下関オープン６周年記念1R,4300,230,100,3230,380,150,320,100,7490,260
2020-09-16下　関オラレ下関オープン６周年記念2R,640,480,240,2550,2340,140,220,150,8400,1250
2020-09-16下　関オラレ下関オープン６周年記念3R,600,100,110,680,470,130,220,150,1220,260
2020-09-16下　関オラレ下関オープン６周年記念4R,290,100,110,590,320,160,470,170,2360,810
2020-09-16下　関オラレ下関オープン６周年記念5R,160,120,100,8080,21560,1440,130,2350,33000,4800
2020-09-16下　関オラレ下関オープン６周年記念6R,150,100,100,320,450,110,120,130,690,200
2020-09-16下　関オラレ下関オープン６周年記念7R,160,170,360,950,360,150,120,140,1580,190
2020-09-16下　関オラレ下関オープン６周年記念8R,120,100,100,230,170,110,200,320,580,340
2020-09-16下　関オラレ下関オープン６周年記念9R,240,170,100,810,680,270,380,1020,5840,1960
2020-09-16下　関オラレ下関オープン６周年記念10R,170,100,160,270,350,240,190,610,1580,1010
2020-09-16下　関オラレ下関オープン６周年記念11R,200,120,270,460,430,160,200,200,1240,380
2020-09-16下　関オラレ下関オープン６周年記念12R,110,120,540,490,480,310,620,1970,2500,1650
2020-09-16徳　山スポーツ報知杯争奪戦1R,100,100,340,1260,1130,470,180,1110,4490,1370
2020-09-16徳　山スポーツ報知杯争奪戦2R,190,100,330,670,620,200,270,580,2800,1180
2020-09-16徳　山スポーツ報知杯争奪戦3R,110,100,310,430,280,150,140,330,1130,440
2020-09-16徳　山スポーツ報知杯争奪戦4R,100,180,810,330,400,180,960,1400,3440,2310
2020-09-16徳　山スポーツ報知杯争奪戦5R,120,180,400,270,270,140,180,300,930,390
2020-09-16徳　山スポーツ報知杯争奪戦6R,140,100,170,270,240,150,230,740,1440,790
2020-09-16徳　山スポーツ報知杯争奪戦7R,180,200,760,1190,810,390,370,860,6540,3120
2020-09-16徳　山スポーツ報知杯争奪戦8R,100,120,810,720,790,250,190,1120,2280,780
2020-09-16徳　山スポーツ報知杯争奪戦9R,100,120,210,260,400,120,100,360,730,420
2020-09-16徳　山スポーツ報知杯争奪戦10R,150,140,330,210,270,160,270,500,760,460
2020-09-16徳　山スポーツ報知杯争奪戦11R,160,100,210,250,230,190,130,290,580,270
2020-09-16徳　山スポーツ報知杯争奪戦12R,100,100,110,190,120,120,160,150,430,250
2020-09-16住之江住之江オータムレース1R,480,160,100,770,240,150,370,470,3460,730
2020-09-16住之江住之江オータムレース2R,190,170,300,820,780,420,720,1560,5450,2690
2020-09-16住之江住之江オータムレース3R,410,200,210,400,190,140,690,410,2740,1100
2020-09-16住之江住之江オータムレース4R,140,210,320,5060,2930,700,200,370,7570,660
2020-09-16住之江住之江オータムレース5R,1370,240,1160,12450,5400,360,2420,2910,85280,14270
2020-09-16住之江住之江オータムレース6R,530,260,200,2410,740,350,1450,820,21860,5660
2020-09-16住之江住之江オータムレース7R,570,130,170,1930,1390,350,400,350,6830,590
2020-09-16住之江住之江オータムレース8R,180,140,270,950,640,290,240,320,3160,1210
2020-09-16住之江住之江オータムレース9R,200,130,270,560,430,220,100,300,1290,380
2020-09-16住之江住之江オータムレース10R,160,100,320,520,370,250,510,1070,3410,2110
2020-09-16住之江住之江オータムレース11R,420,100,100,940,210,110,170,130,1630,250
2020-09-16住之江住之江オータムレース12R,140,100,130,220,200,140,170,260,640,280
2020-09-16三　国マスターズリーグ第５戦1R,120,100,140,460,270,220,140,700,1070,530
2020-09-16三　国マスターズリーグ第５戦2R,150,100,100,230,130,110,160,190,660,260
2020-09-16三　国マスターズリーグ第５戦3R,120,100,260,490,340,160,110,200,860,220
2020-09-16三　国マスターズリーグ第５戦4R,150,170,720,2520,1730,670,580,1960,14350,5470
2020-09-16三　国マスターズリーグ第５戦5R,460,230,150,2000,730,280,440,520,7080,1200
2020-09-16三　国マスターズリーグ第５戦6R,250,140,100,520,400,170,230,200,2510,390
2020-09-16三　国マスターズリーグ第５戦7R,160,100,160,2100,980,330,180,280,4350,950
2020-09-16三　国マスターズリーグ第５戦8R,170,250,150,1460,1010,500,380,190,5930,1780
2020-09-16三　国マスターズリーグ第５戦9R,310,210,500,1290,700,210,150,230,2180,350
2020-09-16三　国マスターズリーグ第５戦10R,490,140,140,2650,720,220,140,130,5110,230
2020-09-16三　国マスターズリーグ第５戦11R,130,110,130,430,310,150,150,230,1050,270
2020-09-16三　国マスターズリーグ第５戦12R,100,100,260,1280,1160,540,780,1980,10620,3280
2020-09-16常　滑第３４回半田大賞1R,500,120,100,2040,360,220,260,120,5250,310
2020-09-16常　滑第３４回半田大賞2R,170,430,840,670,500,530,350,700,4070,1570
2020-09-16常　滑第３４回半田大賞3R,470,110,320,780,620,210,230,260,2100,430
2020-09-16常　滑第３４回半田大賞4R,160,120,240,700,600,270,170,530,1350,540
2020-09-16常　滑第３４回半田大賞5R,160,100,110,480,650,210,230,430,2350,1110
2020-09-16常　滑第３４回半田大賞6R,130,210,120,380,180,110,190,180,1020,210
2020-09-16常　滑第３４回半田大賞7R,850,320,200,4910,3610,530,450,170,7040,610
2020-09-16常　滑第３４回半田大賞8R,790,580,340,7900,3410,700,1600,1090,46240,6620
2020-09-16常　滑第３４回半田大賞9R,240,190,190,220,260,110,110,200,530,210
2020-09-16常　滑第３４回半田大賞10R,120,100,100,230,210,220,240,420,870,540
2020-09-16常　滑第３４回半田大賞11R,2130,160,280,16220,6010,360,1350,1220,80140,10930
2020-09-16常　滑第３４回半田大賞12R,100,100,190,390,340,150,110,190,790,250
2020-09-16平和島第３３回キリンカップ1R,170,140,390,1060,730,320,230,330,3710,1280
2020-09-16平和島第３３回キリンカップ2R,640,500,210,1870,1390,350,520,540,13350,2310
2020-09-16平和島第３３回キリンカップ3R,250,140,250,420,460,170,290,350,1810,800
2020-09-16平和島第３３回キリンカップ4R,200,130,310,480,280,140,140,250,1760,390
2020-09-16平和島第３３回キリンカップ5R,130,120,380,1720,1220,410,140,620,6720,1320
2020-09-16平和島第３３回キリンカップ6R,130,180,360,900,790,160,680,1230,6490,2400
2020-09-16平和島第３３回キリンカップ7R,300,160,280,1510,890,330,260,610,6680,1840
2020-09-16平和島第３３回キリンカップ8R,260,140,120,490,260,130,410,290,2030,720
2020-09-16平和島第３３回キリンカップ9R,160,120,110,310,230,190,270,150,1300,370
2020-09-16平和島第３３回キリンカップ10R,120,110,430,3510,1970,590,160,600,7070,1120
2020-09-16平和島第３３回キリンカップ11R,110,100,160,340,250,210,210,240,1150,540
2020-09-16平和島第３３回キリンカップ12R,130,100,140,340,320,140,320,600,1490,830
2020-09-16江戸川第４４回報知新聞社杯1R,320,140,110,750,250,140,280,230,2890,520
2020-09-16江戸川第４４回報知新聞社杯2R,170,140,160,410,220,140,190,210,890,250
2020-09-16江戸川第４４回報知新聞社杯3R,540,250,1110,6400,8900,1080,270,1830,21190,3360
2020-09-16江戸川第４４回報知新聞社杯4R,140,160,220,1720,1780,310,170,750,3100,940
2020-09-16江戸川第４４回報知新聞社杯5R,310,130,110,680,240,130,270,140,1460,250
2020-09-16江戸川第４４回報知新聞社杯6R,180,120,120,410,350,180,260,250,1100,480
2020-09-16江戸川第４４回報知新聞社杯7R,120,100,110,400,270,120,180,150,730,240
2020-09-16江戸川第４４回報知新聞社杯8R,1430,130,100,1210,260,130,260,160,4810,340
2020-09-16江戸川第４４回報知新聞社杯9R,140,140,320,610,640,240,220,660,2220,1320
2020-09-16江戸川第４４回報知新聞社杯10R,200,100,140,280,130,120,130,150,640,240
2020-09-16江戸川第４４回報知新聞社杯11R,320,120,140,280,220,120,160,380,530,220
