レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
九州スポーツ杯1,1420,320,870,12060,6920,520,170,180,26550,550
九州スポーツ杯2,170,110,150,170,150,110,610,400,1650,740
九州スポーツ杯3,1110,1740,200,13930,4830,300,1290,260,70460,4770
九州スポーツ杯4,130,100,120,240,230,130,140,280,680,270
九州スポーツ杯5,190,120,330,1050,570,240,440,750,5630,1980
九州スポーツ杯6,260,260,360,3620,3270,440,230,480,10050,970
九州スポーツ杯7,1550,170,180,2390,770,290,120,200,3820,410
九州スポーツ杯8,1480,480,110,3300,1050,320,540,150,11180,1110
九州スポーツ杯9,140,110,160,310,150,130,290,500,1540,550
九州スポーツ杯10,320,160,160,1110,380,140,210,310,2700,480
九州スポーツ杯11,140,100,180,360,330,150,220,440,1450,690
九州スポーツ杯12,100,110,240,750,550,200,150,370,2710,560
日刊スポーツ杯争奪戦1,120,100,180,300,200,210,970,800,3050,1700
日刊スポーツ杯争奪戦2,310,150,530,2580,870,330,430,430,4820,1780
日刊スポーツ杯争奪戦3,220,150,130,420,320,170,120,110,1210,380
日刊スポーツ杯争奪戦4,180,110,200,1410,570,160,210,280,1760,390
日刊スポーツ杯争奪戦5,230,350,310,580,420,400,340,360,3030,800
日刊スポーツ杯争奪戦6,710,260,120,1710,540,200,200,230,4210,560
日刊スポーツ杯争奪戦7,100,100,100,760,430,210,150,270,2530,370
日刊スポーツ杯争奪戦8,310,430,-1,1660,2570,320,120,170,5460,330
日刊スポーツ杯争奪戦9,250,120,300,1830,1440,240,510,960,6460,2700
日刊スポーツ杯争奪戦10,120,140,180,280,200,180,370,420,890,480
日刊スポーツ杯争奪戦11,110,100,210,340,300,140,490,1520,2200,960
日刊スポーツ杯争奪戦12,150,180,180,220,240,130,100,260,1510,520
ふく～る下関オープン８周年記念1,130,100,110,290,140,110,150,470,580,460
ふく～る下関オープン８周年記念2,130,100,150,300,280,210,230,210,1480,390
ふく～る下関オープン８周年記念3,220,110,180,600,230,160,180,410,2320,590
ふく～る下関オープン８周年記念4,210,110,160,260,470,130,180,250,860,340
ふく～る下関オープン８周年記念5,970,1110,220,4140,380,210,330,170,4360,290
ふく～る下関オープン８周年記念6,290,130,970,10780,5560,1060,280,1710,45460,9630
ふく～る下関オープン８周年記念7,190,150,320,1830,1290,170,510,1230,6990,3730
ふく～る下関オープン８周年記念8,240,180,300,1370,910,360,160,340,3660,490
ふく～る下関オープン８周年記念9,170,100,100,210,110,100,300,230,1750,590
ふく～る下関オープン８周年記念10,130,100,100,250,130,110,100,350,760,390
ふく～る下関オープン８周年記念11,850,130,100,3310,330,210,310,120,5760,290
ふく～る下関オープン８周年記念12,100,100,290,590,750,140,150,430,2000,690
ダイヤモンドカップ1,530,190,320,3610,1930,360,440,490,10150,2110
ダイヤモンドカップ2,190,100,120,340,220,150,210,470,1300,510
ダイヤモンドカップ3,560,130,120,1220,200,170,620,420,9490,1340
ダイヤモンドカップ4,560,180,320,4210,1590,280,130,200,9650,500
ダイヤモンドカップ5,150,120,160,520,540,230,480,500,2960,1350
ダイヤモンドカップ6,1280,420,160,4410,1330,420,600,400,17440,2220
ダイヤモンドカップ7,130,270,190,330,310,170,290,590,1940,1150
ダイヤモンドカップ8,1170,300,220,6880,2870,730,1220,930,54520,6080
ダイヤモンドカップ9,130,110,280,530,530,200,140,420,1690,720
ダイヤモンドカップ10,100,100,220,460,380,180,160,430,1130,550
ダイヤモンドカップ11,120,120,3580,3180,2540,740,370,1940,14240,2750
ダイヤモンドカップ12,1870,680,270,5050,1320,450,400,220,17080,1110
第５回ポカリスエットカップ1,150,100,180,330,310,130,200,290,1030,720
第５回ポカリスエットカップ2,300,100,290,870,350,230,180,360,2310,530
第５回ポカリスエットカップ3,190,110,100,1460,500,420,400,620,5170,2230
第５回ポカリスエットカップ4,1210,320,260,8380,2970,520,600,230,12420,600
第５回ポカリスエットカップ5,310,140,160,680,350,160,150,210,1470,330
第５回ポカリスエットカップ6,150,140,300,500,580,230,250,540,1390,610
第５回ポカリスエットカップ7,180,130,200,1440,880,260,240,430,2590,940
第５回ポカリスエットカップ8,280,130,100,540,270,100,180,110,1190,180
第５回ポカリスエットカップ9,130,100,150,870,620,230,240,450,2850,980
第５回ポカリスエットカップ10,110,100,110,360,300,150,110,140,790,190
第５回ポカリスエットカップ11,100,170,270,350,250,140,120,300,590,320
第５回ポカリスエットカップ12,140,100,150,520,470,250,510,1220,3780,2490
大阪スポーツカップ1,510,150,170,3020,2440,580,1150,720,31310,4190
大阪スポーツカップ2,190,150,150,1390,430,200,220,130,3760,330
大阪スポーツカップ3,190,120,130,640,480,240,270,270,1970,670
大阪スポーツカップ4,390,130,220,2530,2530,380,150,210,5350,850
大阪スポーツカップ5,120,100,330,770,660,440,150,1110,2610,870
大阪スポーツカップ6,270,500,930,4230,3220,610,130,400,12810,760
大阪スポーツカップ7,100,100,110,280,220,160,140,290,900,400
大阪スポーツカップ8,150,100,180,520,380,140,130,200,770,250
大阪スポーツカップ9,110,110,310,390,480,270,400,1270,2320,1180
大阪スポーツカップ10,100,100,340,1310,1160,280,160,850,4190,1180
大阪スポーツカップ11,110,100,110,220,230,120,220,480,830,560
