レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
2020-08-25福　岡ライジングゼファーフクオカ杯1R,100,100,120,200,160,100,130,300,470,230
2020-08-25福　岡ライジングゼファーフクオカ杯2R,500,120,110,1200,410,330,310,250,3300,710
2020-08-25福　岡ライジングゼファーフクオカ杯3R,110,100,180,310,280,110,120,200,470,160
2020-08-25福　岡ライジングゼファーフクオカ杯4R,100,100,180,380,460,150,110,160,1030,180
2020-08-25福　岡ライジングゼファーフクオカ杯5R,340,240,320,4960,2700,360,260,1050,10660,3690
2020-08-25福　岡ライジングゼファーフクオカ杯6R,190,130,150,330,340,120,210,210,1040,420
2020-08-25福　岡ライジングゼファーフクオカ杯7R,190,100,110,310,250,160,390,130,1470,430
2020-08-25福　岡ライジングゼファーフクオカ杯8R,130,100,160,570,330,180,110,290,1090,250
2020-08-25福　岡ライジングゼファーフクオカ杯9R,100,140,1010,1420,1180,170,100,340,3410,810
2020-08-25福　岡ライジングゼファーフクオカ杯10R,120,100,130,210,210,100,100,110,330,150
2020-08-25福　岡ライジングゼファーフクオカ杯11R,1860,350,420,4470,2930,1390,1510,2050,14950,3970
2020-08-25福　岡ライジングゼファーフクオカ杯12R,180,140,140,460,380,210,190,360,1620,450
2020-08-25下　関第６６回ボートレースメモリアル1R,130,130,370,590,560,230,210,360,1420,640
2020-08-25下　関第６６回ボートレースメモリアル2R,140,100,160,350,250,150,180,220,850,340
2020-08-25下　関第６６回ボートレースメモリアル3R,1210,170,100,1320,260,180,660,360,7000,1260
2020-08-25下　関第６６回ボートレースメモリアル4R,110,100,150,470,380,200,450,1020,3150,1870
2020-08-25下　関第６６回ボートレースメモリアル5R,350,150,340,3460,1470,220,170,140,7820,360
2020-08-25下　関第６６回ボートレースメモリアル6R,500,180,270,2630,1180,290,140,200,6350,330
2020-08-25下　関第６６回ボートレースメモリアル7R,1010,240,130,3490,650,250,1040,350,27190,2640
2020-08-25下　関第６６回ボートレースメモリアル8R,140,110,180,280,190,140,180,270,930,450
2020-08-25下　関第６６回ボートレースメモリアル9R,120,120,250,490,440,240,410,800,3040,2000
2020-08-25下　関第６６回ボートレースメモリアル10R,110,110,100,380,330,160,160,400,1440,430
2020-08-25下　関第６６回ボートレースメモリアル11R,590,360,580,3360,2450,780,1150,2330,18540,6000
2020-08-25下　関第６６回ボートレースメモリアル12R,120,100,190,480,390,150,120,340,1250,390
2020-08-25徳　山黒神杯争奪1R,110,100,180,190,260,130,160,230,550,310
2020-08-25徳　山黒神杯争奪2R,100,100,150,320,340,120,110,150,660,290
2020-08-25徳　山黒神杯争奪3R,360,270,410,5970,4400,360,130,200,21080,410
2020-08-25徳　山黒神杯争奪4R,100,100,330,620,590,120,120,240,1250,260
2020-08-25徳　山黒神杯争奪5R,380,100,110,250,190,100,130,150,500,160
2020-08-25徳　山黒神杯争奪6R,250,240,710,3080,1990,260,210,410,6640,730
2020-08-25徳　山黒神杯争奪7R,1500,320,120,3280,450,270,460,120,9450,410
2020-08-25徳　山黒神杯争奪8R,200,270,1100,2680,1910,790,620,700,8360,2230
2020-08-25徳　山黒神杯争奪9R,780,190,100,1910,380,220,1580,650,15270,1520
2020-08-25徳　山黒神杯争奪10R,500,110,100,680,170,110,190,190,2030,370
2020-08-25徳　山黒神杯争奪11R,120,100,580,3110,2140,350,180,930,4990,730
2020-08-25徳　山黒神杯争奪12R,100,100,220,310,290,170,420,870,2750,2080
2020-08-25丸　亀サッポロビールカップ２０２０1R,150,180,190,270,250,180,450,240,1360,710
2020-08-25丸　亀サッポロビールカップ２０２０2R,1700,150,170,1220,520,140,200,270,3340,830
2020-08-25丸　亀サッポロビールカップ２０２０3R,500,260,420,640,600,550,260,400,2640,1720
2020-08-25丸　亀サッポロビールカップ２０２０4R,750,140,110,2040,750,280,300,430,6240,660
2020-08-25丸　亀サッポロビールカップ２０２０5R,210,130,130,380,250,130,230,140,1570,300
2020-08-25丸　亀サッポロビールカップ２０２０6R,130,490,700,2610,1070,250,120,160,4880,410
2020-08-25丸　亀サッポロビールカップ２０２０7R,220,100,140,270,200,120,140,160,440,190
2020-08-25丸　亀サッポロビールカップ２０２０8R,120,100,220,290,400,180,180,330,1090,560
2020-08-25丸　亀サッポロビールカップ２０２０9R,520,170,200,1280,870,280,270,250,2810,610
2020-08-25丸　亀サッポロビールカップ２０２０10R,170,130,150,230,160,110,170,150,490,210
2020-08-25丸　亀サッポロビールカップ２０２０11R,110,100,160,190,190,100,140,200,460,210
2020-08-25丸　亀サッポロビールカップ２０２０12R,590,150,100,1640,240,130,170,130,4110,280
2020-08-25鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走1R,100,100,170,220,180,110,200,740,1110,600
2020-08-25鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走2R,100,270,560,520,620,260,360,680,2090,1350
2020-08-25鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走3R,100,120,260,470,410,240,100,210,770,280
2020-08-25鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走4R,1420,100,110,1060,590,220,310,160,7440,300
2020-08-25鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走5R,170,100,140,210,210,140,270,360,660,350
2020-08-25鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走6R,250,100,330,1090,940,170,600,1120,7680,2550
2020-08-25鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走7R,330,150,120,260,150,130,140,150,550,220
2020-08-25鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走8R,120,120,310,450,150,120,190,370,1320,540
2020-08-25鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走9R,360,180,160,2840,2660,880,330,640,7660,2370
2020-08-25鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走10R,370,560,170,4540,760,240,320,110,12880,660
2020-08-25鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走11R,300,110,540,1700,990,310,340,780,3070,1980
2020-08-25鳴　門ＪＡ大津松茂農産物直売所えがお開設１周年記念競走12R,100,140,190,260,160,110,170,210,710,350
2020-08-25尼　崎オールレディース競走1R,160,150,160,250,210,130,250,300,780,360
2020-08-25尼　崎オールレディース競走2R,300,130,210,1610,1190,450,390,410,8290,1730
2020-08-25尼　崎オールレディース競走3R,170,170,500,1190,880,230,110,350,3040,510
2020-08-25尼　崎オールレディース競走4R,150,210,490,640,500,250,120,250,1550,520
2020-08-25尼　崎オールレディース競走5R,110,120,110,650,520,360,200,660,2940,1080
