レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
2020-08-15唐　津お盆特選～がばい王者決定戦～1R,150,100,190,340,350,140,210,490,1090,670
2020-08-15唐　津お盆特選～がばい王者決定戦～2R,110,100,100,150,140,130,680,1580,4080,2930
2020-08-15唐　津お盆特選～がばい王者決定戦～3R,240,110,100,350,200,120,250,230,1040,330
2020-08-15唐　津お盆特選～がばい王者決定戦～4R,140,120,100,240,150,120,340,430,1510,680
2020-08-15唐　津お盆特選～がばい王者決定戦～5R,160,100,180,1890,1200,160,110,100,2580,190
2020-08-15唐　津お盆特選～がばい王者決定戦～6R,200,110,100,340,220,100,180,210,640,220
2020-08-15唐　津お盆特選～がばい王者決定戦～7R,320,100,100,730,150,130,480,330,2630,590
2020-08-15唐　津お盆特選～がばい王者決定戦～8R,110,210,840,3580,3280,610,240,530,16420,1880
2020-08-15唐　津お盆特選～がばい王者決定戦～9R,750,340,320,7140,2010,610,450,350,27950,1160
2020-08-15唐　津お盆特選～がばい王者決定戦～10R,140,100,100,340,160,-1,-1,-1,400,-1
2020-08-15唐　津お盆特選～がばい王者決定戦～11R,140,120,510,620,520,220,610,1340,4360,2560
2020-08-15唐　津お盆特選～がばい王者決定戦～12R,1140,200,100,1950,460,210,1630,1040,13060,2280
2020-08-15福　岡お盆特選レース1R,100,270,850,190,210,130,140,270,530,330
2020-08-15福　岡お盆特選レース2R,220,140,130,950,600,120,130,130,1110,190
2020-08-15福　岡お盆特選レース3R,120,100,100,180,130,120,240,250,620,330
2020-08-15福　岡お盆特選レース4R,120,100,150,230,120,110,190,190,540,300
2020-08-15福　岡お盆特選レース5R,140,100,100,170,130,120,170,420,770,590
2020-08-15福　岡お盆特選レース6R,100,100,100,200,170,130,990,840,2720,1780
2020-08-15福　岡お盆特選レース7R,100,100,100,140,110,100,100,270,460,210
2020-08-15福　岡お盆特選レース8R,170,110,200,200,200,160,120,190,410,230
2020-08-15福　岡お盆特選レース9R,350,330,450,3800,1880,300,310,300,7720,1330
2020-08-15福　岡お盆特選レース10R,100,110,240,920,600,240,180,860,4610,1520
2020-08-15福　岡お盆特選レース11R,100,100,190,240,250,160,170,290,460,200
2020-08-15福　岡お盆特選レース12R,100,100,150,240,170,110,110,200,420,210
2020-08-15芦　屋九スポ杯争奪オール九州選抜戦1R,110,100,110,300,280,100,110,190,620,230
2020-08-15芦　屋九スポ杯争奪オール九州選抜戦2R,260,160,1290,2940,2970,760,340,1430,19240,6210
2020-08-15芦　屋九スポ杯争奪オール九州選抜戦3R,140,110,310,610,350,150,110,240,950,220
2020-08-15芦　屋九スポ杯争奪オール九州選抜戦4R,100,100,350,1040,760,390,220,780,3970,1520
2020-08-15芦　屋九スポ杯争奪オール九州選抜戦5R,240,140,130,440,280,130,180,170,1020,370
2020-08-15芦　屋九スポ杯争奪オール九州選抜戦6R,200,200,150,1080,460,180,210,220,2530,670
2020-08-15芦　屋九スポ杯争奪オール九州選抜戦7R,110,110,130,240,170,150,350,500,1250,800
2020-08-15芦　屋九スポ杯争奪オール九州選抜戦8R,250,200,1010,2450,1960,320,150,510,6380,1900
2020-08-15芦　屋九スポ杯争奪オール九州選抜戦9R,400,330,160,1250,680,350,520,860,5920,2810
