レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
2020-08-12大　村長崎新聞社杯1R,130,100,170,300,200,170,190,170,660,270
2020-08-12大　村長崎新聞社杯2R,110,100,300,1010,730,280,520,1250,2910,1300
2020-08-12大　村長崎新聞社杯3R,350,170,100,590,250,120,260,280,2490,570
2020-08-12大　村長崎新聞社杯4R,140,120,100,360,260,140,150,420,920,410
2020-08-12大　村長崎新聞社杯5R,1290,880,180,1960,410,250,1390,480,11190,1930
2020-08-12大　村長崎新聞社杯6R,100,120,140,320,280,130,160,370,770,290
2020-08-12大　村長崎新聞社杯7R,150,100,160,440,460,190,200,530,1320,660
2020-08-12大　村長崎新聞社杯8R,190,100,210,380,340,200,160,300,1150,580
2020-08-12大　村長崎新聞社杯9R,1080,180,210,4180,1670,270,180,130,11940,400
2020-08-12大　村長崎新聞社杯10R,1450,220,100,2010,290,170,360,140,5710,510
2020-08-12大　村長崎新聞社杯11R,140,100,120,280,270,150,240,560,1240,840
2020-08-12大　村長崎新聞社杯12R,120,130,480,1030,790,370,290,670,4770,1880
2020-08-12唐　津お盆特選～がばい王者決定戦～1R,100,110,160,190,190,110,130,290,580,390
2020-08-12唐　津お盆特選～がばい王者決定戦～2R,180,100,260,550,400,200,200,540,2310,970
2020-08-12唐　津お盆特選～がばい王者決定戦～3R,100,100,100,210,190,120,160,230,570,300
2020-08-12唐　津お盆特選～がばい王者決定戦～4R,120,110,190,420,330,230,550,1160,3710,1640
2020-08-12唐　津お盆特選～がばい王者決定戦～5R,300,200,200,1120,620,210,150,140,2070,390
2020-08-12唐　津お盆特選～がばい王者決定戦～6R,100,100,200,380,230,190,150,460,950,450
2020-08-12唐　津お盆特選～がばい王者決定戦～7R,130,100,160,1640,1360,460,120,1090,4950,1660
2020-08-12唐　津お盆特選～がばい王者決定戦～8R,150,110,330,590,490,140,190,510,1700,640
2020-08-12唐　津お盆特選～がばい王者決定戦～9R,270,120,100,570,300,170,280,320,1830,560
2020-08-12唐　津お盆特選～がばい王者決定戦～10R,340,300,100,570,370,170,620,280,3040,1010
2020-08-12唐　津お盆特選～がばい王者決定戦～11R,5730,620,100,39460,1860,500,1250,140,179890,3190
2020-08-12唐　津お盆特選～がばい王者決定戦～12R,790,300,300,4170,2850,380,1360,1790,16470,5510
2020-08-12福　岡お盆特選レース1R,530,200,100,2130,180,190,590,170,14210,690
2020-08-12福　岡お盆特選レース2R,180,200,270,4550,4580,650,220,220,10980,730
2020-08-12福　岡お盆特選レース3R,310,150,200,2520,1460,430,170,280,3340,560
2020-08-12福　岡お盆特選レース4R,160,110,170,390,320,210,230,370,1230,590
2020-08-12福　岡お盆特選レース5R,1020,700,1650,2910,2410,390,200,270,8720,980
2020-08-12福　岡お盆特選レース6R,280,160,410,660,290,220,160,280,1910,470
2020-08-12福　岡お盆特選レース7R,240,130,310,1140,880,280,220,190,1930,250
2020-08-12福　岡お盆特選レース8R,110,100,410,880,470,140,140,260,1300,290
2020-08-12福　岡お盆特選レース9R,180,210,750,1690,1090,220,100,120,1960,240
2020-08-12福　岡お盆特選レース10R,110,130,100,160,180,110,270,210,550,310
2020-08-12福　岡お盆特選レース11R,110,140,290,4190,2540,460,210,840,23580,7830
2020-08-12福　岡お盆特選レース12R,190,120,610,970,970,200,120,210,2710,370
2020-08-12若　松日刊スポーツ杯お盆特選競走1R,740,200,100,1530,340,170,690,410,4710,880
2020-08-12若　松日刊スポーツ杯お盆特選競走2R,410,180,610,1890,2070,600,220,190,4820,940
2020-08-12若　松日刊スポーツ杯お盆特選競走3R,140,100,130,270,220,140,330,470,1540,550
2020-08-12若　松日刊スポーツ杯お盆特選競走4R,250,540,110,1320,340,310,380,380,6170,1290
2020-08-12若　松日刊スポーツ杯お盆特選競走5R,180,100,100,280,180,140,110,300,720,260
2020-08-12若　松日刊スポーツ杯お盆特選競走6R,730,130,110,670,290,160,340,280,2880,550
2020-08-12若　松日刊スポーツ杯お盆特選競走7R,150,150,110,1020,590,250,230,240,3050,680
2020-08-12若　松日刊スポーツ杯お盆特選競走8R,490,110,140,930,280,150,310,460,3770,1460
2020-08-12若　松日刊スポーツ杯お盆特選競走9R,140,110,110,320,360,170,200,420,1190,420
2020-08-12若　松日刊スポーツ杯お盆特選競走10R,520,210,190,1190,630,200,180,140,3280,400
2020-08-12若　松日刊スポーツ杯お盆特選競走11R,110,120,560,1760,1270,370,280,830,8100,2330
2020-08-12若　松日刊スポーツ杯お盆特選競走12R,140,110,210,230,190,120,160,200,610,310
2020-08-12宮　島第５０回スポーツニッポン杯1R,220,160,370,2540,2270,420,520,1180,6190,1880
2020-08-12宮　島第５０回スポーツニッポン杯2R,750,150,100,1610,360,280,760,280,8830,1360
2020-08-12宮　島第５０回スポーツニッポン杯3R,200,100,150,330,210,110,140,160,580,190
2020-08-12宮　島第５０回スポーツニッポン杯4R,240,100,200,360,130,140,130,200,720,210
2020-08-12宮　島第５０回スポーツニッポン杯5R,100,100,160,700,450,220,170,380,2300,750
2020-08-12宮　島第５０回スポーツニッポン杯6R,390,170,110,800,210,200,520,360,3680,850
2020-08-12宮　島第５０回スポーツニッポン杯7R,190,170,320,580,430,150,310,590,1710,910
2020-08-12宮　島第５０回スポーツニッポン杯8R,430,100,110,550,240,160,470,380,3240,1090
2020-08-12宮　島第５０回スポーツニッポン杯9R,3080,160,180,1430,300,170,430,210,3260,500
2020-08-12宮　島第５０回スポーツニッポン杯10R,420,170,1120,3770,760,340,720,1510,18140,3740
2020-08-12宮　島第５０回スポーツニッポン杯11R,480,190,670,1300,970,290,930,990,6960,1870
2020-08-12宮　島第５０回スポーツニッポン杯12R,540,210,190,2970,940,380,1080,680,10420,3100
2020-08-12丸　亀マクール杯1R,470,100,660,3190,2250,710,560,1290,10760,4870
2020-08-12丸　亀マクール杯2R,740,350,350,2880,1590,270,240,210,6690,640
2020-08-12丸　亀マクール杯3R,320,170,150,720,540,190,240,220,1850,420
2020-08-12丸　亀マクール杯4R,430,230,390,3530,1150,260,310,280,8730,1290
2020-08-12丸　亀マクール杯5R,150,130,280,710,1060,370,250,830,2550,1160
2020-08-12丸　亀マクール杯6R,150,120,540,2060,1560,270,130,400,4440,710
2020-08-12丸　亀マクール杯7R,220,100,170,260,140,150,420,330,1260,850
2020-08-12丸　亀マクール杯8R,380,110,100,920,150,110,200,160,1950,220
2020-08-12丸　亀マクール杯9R,310,120,300,820,670,250,710,1560,5860,2640
2020-08-12丸　亀マクール杯10R,100,100,150,300,280,140,120,200,520,200
2020-08-12丸　亀マクール杯11R,140,110,160,270,200,140,210,260,780,420
2020-08-12丸　亀マクール杯12R,100,110,210,620,620,190,170,370,1640,570
2020-08-12鳴　門第５３回渦王杯競走1R,290,100,210,190,290,130,130,490,840,530
2020-08-12鳴　門第５３回渦王杯競走2R,470,170,180,1700,770,360,1530,680,18240,4160
2020-08-12鳴　門第５３回渦王杯競走3R,170,100,130,450,210,180,1080,830,3000,1430
2020-08-12鳴　門第５３回渦王杯競走4R,100,100,210,190,170,160,190,650,820,370
2020-08-12鳴　門第５３回渦王杯競走5R,150,100,100,450,230,110,170,190,1280,330
2020-08-12鳴　門第５３回渦王杯競走6R,290,280,320,10830,9650,650,570,780,34770,5820
2020-08-12鳴　門第５３回渦王杯競走7R,210,120,160,740,840,230,450,180,3030,1430
2020-08-12鳴　門第５３回渦王杯競走8R,530,220,910,3960,2990,470,310,1040,12920,2110
2020-08-12鳴　門第５３回渦王杯競走9R,1060,260,260,3270,1360,170,190,230,7010,780
2020-08-12鳴　門第５３回渦王杯競走10R,660,330,150,1100,1000,280,310,300,4340,830
2020-08-12鳴　門第５３回渦王杯競走11R,110,100,100,550,380,170,110,190,840,250
2020-08-12鳴　門第５３回渦王杯競走12R,130,100,320,300,230,100,220,300,1970,1170
2020-08-12尼　崎日本財団会長杯争奪第４８回オール兵庫王座決定戦1R,100,100,200,510,410,230,380,1100,4260,1760
2020-08-12尼　崎日本財団会長杯争奪第４８回オール兵庫王座決定戦2R,350,190,160,1140,830,250,1920,990,4990,1870
2020-08-12尼　崎日本財団会長杯争奪第４８回オール兵庫王座決定戦3R,320,140,140,600,410,250,480,350,2790,1250
2020-08-12尼　崎日本財団会長杯争奪第４８回オール兵庫王座決定戦4R,180,130,180,950,320,150,210,260,2220,460
2020-08-12尼　崎日本財団会長杯争奪第４８回オール兵庫王座決定戦5R,110,130,970,2890,2600,510,150,500,9330,1060
