レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
ボートレース発祥地記念第２４回モーターボート誕生祭1,1000,360,130,2920,450,130,480,200,10640,930
ボートレース発祥地記念第２４回モーターボート誕生祭2,100,100,170,250,290,150,140,330,630,340
ボートレース発祥地記念第２４回モーターボート誕生祭3,110,100,660,810,690,260,130,400,1630,470
ボートレース発祥地記念第２４回モーターボート誕生祭4,1370,380,580,20910,16900,1380,230,350,64110,2950
ボートレース発祥地記念第２４回モーターボート誕生祭5,100,100,260,250,230,110,170,560,910,510
ボートレース発祥地記念第２４回モーターボート誕生祭6,580,140,100,1130,260,130,430,290,4620,780
ボートレース発祥地記念第２４回モーターボート誕生祭7,170,140,190,430,470,200,250,620,1510,1210
ボートレース発祥地記念第２４回モーターボート誕生祭8,160,100,160,510,350,230,140,510,1170,470
ボートレース発祥地記念第２４回モーターボート誕生祭9,120,100,140,220,180,120,130,210,500,250
ボートレース発祥地記念第２４回モーターボート誕生祭10,1290,250,100,4760,660,270,810,560,22150,2870
ボートレース発祥地記念第２４回モーターボート誕生祭11,110,100,210,250,250,140,150,340,680,320
ボートレース発祥地記念第２４回モーターボート誕生祭12,110,110,310,950,890,290,130,570,3240,810
トータリゼータエンジニアリング杯1,100,100,460,570,610,200,130,540,1780,600
トータリゼータエンジニアリング杯2,100,100,110,130,170,120,250,320,570,410
トータリゼータエンジニアリング杯3,120,100,120,150,140,100,170,190,450,270
トータリゼータエンジニアリング杯4,110,100,420,890,1020,340,810,2390,8360,6530
トータリゼータエンジニアリング杯5,180,100,140,720,510,210,150,500,1620,580
トータリゼータエンジニアリング杯6,390,170,120,830,280,130,230,120,1780,340
トータリゼータエンジニアリング杯7,130,100,140,250,310,130,160,320,1350,350
トータリゼータエンジニアリング杯8,140,160,430,410,460,150,140,160,1150,340
トータリゼータエンジニアリング杯9,270,120,120,790,150,130,1010,690,7550,1780
トータリゼータエンジニアリング杯10,100,100,110,150,160,140,170,100,500,310
トータリゼータエンジニアリング杯11,120,100,170,260,260,150,170,430,730,420
トータリゼータエンジニアリング杯12,100,100,100,390,560,130,160,570,1210,380
東スタンドリニューアル記念レース1,110,100,150,220,190,130,360,450,1290,850
東スタンドリニューアル記念レース2,190,100,240,570,730,150,140,250,1660,290
東スタンドリニューアル記念レース3,170,120,100,220,220,100,190,240,1180,440
東スタンドリニューアル記念レース4,710,330,100,2450,1410,310,710,200,10970,1050
東スタンドリニューアル記念レース5,190,120,230,340,260,230,160,360,970,500
東スタンドリニューアル記念レース6,270,100,100,370,190,130,220,440,2700,770
東スタンドリニューアル記念レース7,820,120,100,450,200,120,350,200,1980,530
東スタンドリニューアル記念レース8,100,100,220,980,600,170,300,1530,4150,1270
東スタンドリニューアル記念レース9,370,280,280,1670,1850,250,220,190,3230,540
東スタンドリニューアル記念レース10,110,100,150,200,200,100,150,340,610,280
東スタンドリニューアル記念レース11,120,110,120,210,160,120,580,550,3130,1990
東スタンドリニューアル記念レース12,100,100,160,410,340,150,120,270,1040,340
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦1,110,100,120,220,240,130,140,200,530,270
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦2,110,100,150,300,230,130,150,270,600,300
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦3,100,100,130,240,220,110,260,640,1200,870
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦4,110,100,100,140,130,120,1280,1610,3650,2150
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦5,150,100,200,230,250,120,180,400,810,380
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦6,130,100,390,3280,4640,910,380,1690,38420,7390
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦7,360,140,780,1120,740,400,880,2060,6720,3110
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦8,120,100,510,1140,610,340,170,510,3630,630
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦9,110,100,100,240,150,120,260,480,1020,510
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦10,160,120,110,360,260,100,160,230,1440,530
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦11,110,110,670,6940,4290,160,140,700,10350,2790
スカパー！・ＪＬＣ杯徳山ルーキーシリーズ第１４戦12,100,100,100,260,190,130,260,810,950,570
スポーツニッポンカップ1,170,170,310,580,250,260,130,260,1470,400
スポーツニッポンカップ2,290,100,110,500,250,170,240,280,1280,530
スポーツニッポンカップ3,260,140,260,940,580,220,330,370,6890,2230
スポーツニッポンカップ4,910,380,200,1530,550,290,760,290,12140,820
スポーツニッポンカップ5,680,120,110,920,400,180,490,410,5510,910
スポーツニッポンカップ6,410,170,100,1610,370,150,240,130,3660,250
スポーツニッポンカップ7,290,380,440,1150,660,220,140,140,2050,320
スポーツニッポンカップ8,140,100,120,370,280,150,310,330,1640,810
スポーツニッポンカップ9,1220,330,140,4380,1570,360,240,150,15100,790
スポーツニッポンカップ10,150,150,740,5710,5940,510,130,410,15650,1440
スポーツニッポンカップ11,1010,200,250,6270,2910,550,160,290,12540,760
スポーツニッポンカップ12,120,110,420,610,500,210,570,850,2920,1390
ボートレースチケットショップ土佐開設２４周年記念1,110,100,230,350,250,270,200,500,1450,700
ボートレースチケットショップ土佐開設２４周年記念2,120,400,3010,290,210,190,790,2320,1570,710
ボートレースチケットショップ土佐開設２４周年記念3,140,110,400,500,560,260,110,590,1750,680
ボートレースチケットショップ土佐開設２４周年記念4,220,180,470,1670,1090,360,390,1200,4960,3940
ボートレースチケットショップ土佐開設２４周年記念5,230,130,160,500,270,170,100,120,800,210
ボートレースチケットショップ土佐開設２４周年記念6,2770,6630,300,9330,3300,1320,1740,430,59330,5810
ボートレースチケットショップ土佐開設２４周年記念7,100,100,100,280,210,170,180,440,1090,700
ボートレースチケットショップ土佐開設２４周年記念8,110,120,160,1670,1800,250,410,330,5770,2000
ボートレースチケットショップ土佐開設２４周年記念9,160,100,280,2980,960,200,120,540,1220,940
ボートレースチケットショップ土佐開設２４周年記念10,100,140,160,770,310,280,520,640,7080,2220
ボートレースチケットショップ土佐開設２４周年記念11,190,110,100,330,180,170,170,120,800,180
ボートレースチケットショップ土佐開設２４周年記念12,990,120,100,960,120,140,600,440,5610,1320
マンスリーＢＯＡＴＲＡＣＥ杯1,170,100,100,290,200,140,210,250,690,240
マンスリーＢＯＡＴＲＡＣＥ杯2,810,320,150,2830,900,260,200,140,8810,650
マンスリーＢＯＡＴＲＡＣＥ杯3,110,100,610,2200,1420,570,310,1720,5870,4170
マンスリーＢＯＡＴＲＡＣＥ杯4,130,160,4080,4560,5480,2200,430,1940,49760,8850
マンスリーＢＯＡＴＲＡＣＥ杯5,100,160,250,1970,1250,280,800,850,14720,4920
マンスリーＢＯＡＴＲＡＣＥ杯6,130,100,100,240,240,110,140,130,420,170
マンスリーＢＯＡＴＲＡＣＥ杯7,910,230,130,2360,1000,360,370,130,4690,520
マンスリーＢＯＡＴＲＡＣＥ杯8,100,100,140,340,150,130,450,400,1160,510
マンスリーＢＯＡＴＲＡＣＥ杯9,260,260,100,900,320,250,260,150,2210,500
マンスリーＢＯＡＴＲＡＣＥ杯10,180,200,200,340,370,120,100,170,750,270
マンスリーＢＯＡＴＲＡＣＥ杯11,270,150,560,7320,3260,570,170,350,15170,420
マンスリーＢＯＡＴＲＡＣＥ杯12,160,100,100,240,250,110,260,690,1720,690
ボートの時間！ご視聴ありがとう競走1,120,100,110,270,220,100,150,160,490,170
ボートの時間！ご視聴ありがとう競走2,170,150,230,590,490,190,400,490,2960,1470
ボートの時間！ご視聴ありがとう競走3,1320,110,130,3230,730,250,230,140,5630,290
ボートの時間！ご視聴ありがとう競走4,910,130,100,1370,270,170,360,170,7370,470
ボートの時間！ご視聴ありがとう競走5,110,100,120,220,190,110,240,350,1380,600
ボートの時間！ご視聴ありがとう競走6,510,760,830,2580,1890,410,230,270,6560,840
ボートの時間！ご視聴ありがとう競走7,350,300,170,1810,490,210,1020,860,12970,3670
ボートの時間！ご視聴ありがとう競走8,220,100,120,510,260,180,350,700,3300,1630
ボートの時間！ご視聴ありがとう競走9,170,100,160,860,550,190,230,580,2570,1130
ボートの時間！ご視聴ありがとう競走10,120,100,130,180,240,120,140,300,520,320
ボートの時間！ご視聴ありがとう競走11,520,100,120,810,230,140,250,210,1720,260
ボートの時間！ご視聴ありがとう競走12,130,100,140,180,180,130,260,310,880,600
開設６８周年記念1,120,150,150,340,400,140,150,330,1240,590
開設６８周年記念2,140,130,360,950,780,380,200,510,3320,790
開設６８周年記念3,550,200,130,2610,560,160,200,140,7770,450
開設６８周年記念4,930,540,160,2730,1260,370,720,190,7620,1540
開設６８周年記念5,100,120,170,830,550,220,210,450,2200,890
開設６８周年記念6,160,270,460,490,420,180,610,630,4240,2030
開設６８周年記念7,1050,290,300,3810,2350,530,550,750,12690,2730
開設６８周年記念8,640,660,140,2490,1650,480,510,230,9370,1780
開設６８周年記念9,280,100,160,750,490,170,150,180,2300,330
開設６８周年記念10,1120,240,100,2770,440,190,670,280,14750,1140
開設６８周年記念11,520,170,120,910,200,140,460,230,5090,500
開設６８周年記念12,840,280,240,4040,1780,600,2220,1700,30490,7100
中日スポーツ杯争奪第２４回ドラゴン大賞1,180,110,150,500,260,170,240,470,2060,940
中日スポーツ杯争奪第２４回ドラゴン大賞2,100,100,280,1410,1210,330,320,2050,15930,3730
中日スポーツ杯争奪第２４回ドラゴン大賞3,870,500,-1,19000,3030,1430,2340,640,107660,9820
中日スポーツ杯争奪第２４回ドラゴン大賞4,-1,110,-1,3300,260,210,230,100,4970,310
中日スポーツ杯争奪第２４回ドラゴン大賞5,390,150,160,1070,370,160,1310,1850,12690,6030
中日スポーツ杯争奪第２４回ドラゴン大賞6,160,110,100,290,160,170,520,750,1470,620
中日スポーツ杯争奪第２４回ドラゴン大賞7,150,110,240,1770,1120,680,230,980,4340,1110
中日スポーツ杯争奪第２４回ドラゴン大賞8,430,100,390,3230,1590,430,330,1690,5550,3360
中日スポーツ杯争奪第２４回ドラゴン大賞9,140,170,1250,1860,1910,320,200,1200,7060,2700
中日スポーツ杯争奪第２４回ドラゴン大賞10,110,110,210,410,270,170,380,590,1460,850
中日スポーツ杯争奪第２４回ドラゴン大賞11,270,100,120,570,170,140,840,890,4540,1410
中日スポーツ杯争奪第２４回ドラゴン大賞12,480,130,100,3680,450,110,440,160,7890,710
シーラック1,180,170,190,440,330,160,310,390,2440,1110
シーラック2,770,190,230,1110,620,140,130,210,4390,490
シーラック3,750,500,430,2920,2260,470,800,720,21020,2130
シーラック4,4420,2210,200,18640,7760,730,1130,190,92540,6580
シーラック5,1080,210,320,2420,1170,200,420,520,12090,2470
シーラック6,110,340,660,730,510,290,200,320,1910,530
シーラック7,140,100,250,640,570,300,260,530,2860,1450
シーラック8,100,100,390,590,550,230,280,770,4180,1500
シーラック9,100,100,100,250,270,200,320,370,890,490
シーラック10,250,120,180,470,230,160,230,160,1160,390
シーラック11,210,100,990,4080,3540,810,150,970,17840,2930
シーラック12,170,100,110,370,250,100,250,300,1400,640
創刊６０周年記念1,560,190,120,1810,450,250,330,240,4550,540
創刊６０周年記念2,210,180,270,890,860,290,300,290,2880,820
創刊６０周年記念3,940,240,100,2390,410,210,490,160,5870,650
創刊６０周年記念4,250,100,210,340,280,110,240,440,1230,640
創刊６０周年記念5,280,100,100,290,190,130,180,170,860,260
創刊６０周年記念6,100,100,190,840,490,240,220,710,3070,1230
創刊６０周年記念7,160,120,250,830,550,190,160,300,1980,430
創刊６０周年記念8,310,130,270,1670,690,400,470,470,3660,1420
創刊６０周年記念9,130,110,160,530,490,280,450,650,3260,2300
創刊６０周年記念10,230,110,100,1080,240,190,610,190,5370,670
創刊６０周年記念11,150,150,330,500,160,130,360,660,2700,990
創刊６０周年記念12,140,100,100,380,290,130,130,310,930,270
第２０回日本写真判定杯1,140,150,190,1260,510,220,140,220,1970,360
第２０回日本写真判定杯2,520,290,2060,10740,4070,7290,-1,-1,-1,-1
第２０回日本写真判定杯3,750,170,140,4010,750,300,400,130,8780,630
第２０回日本写真判定杯4,530,120,800,1870,2190,450,290,740,6610,1700
第２０回日本写真判定杯5,190,130,160,360,350,120,190,140,1250,300
第２０回日本写真判定杯6,220,110,520,650,650,220,320,790,4840,1410
第２０回日本写真判定杯7,120,120,560,1000,730,220,120,290,3650,580
第２０回日本写真判定杯8,170,100,250,520,550,220,120,240,1310,290
第２０回日本写真判定杯9,130,110,150,270,150,150,370,320,860,500
第２０回日本写真判定杯10,1270,440,360,4430,1650,300,250,190,12930,660
第２０回日本写真判定杯11,570,210,100,1130,250,180,360,590,6760,1230
第２０回日本写真判定杯12,800,160,100,1570,480,210,500,300,6610,690
スポーツ報知サマーカップ1,210,140,120,1080,450,160,120,130,1850,300
