レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
ルーキーシリーズ第１６戦1,140,100,530,890,730,470,930,1360,10240,3650
ルーキーシリーズ第１６戦2,430,120,130,350,510,140,320,270,1480,540
ルーキーシリーズ第１６戦3,510,110,100,1470,340,140,130,160,2460,160
ルーキーシリーズ第１６戦4,190,150,180,1910,1300,260,390,660,6180,1300
ルーキーシリーズ第１６戦5,350,100,120,340,180,150,310,250,1570,530
ルーキーシリーズ第１６戦6,110,100,100,330,250,170,300,590,1690,860
ルーキーシリーズ第１６戦7,180,140,320,450,370,170,230,820,2970,1150
ルーキーシリーズ第１６戦8,100,110,210,460,480,140,110,200,1040,270
ルーキーシリーズ第１６戦9,600,130,100,4000,1210,430,910,150,13360,1900
ルーキーシリーズ第１６戦10,120,110,130,280,260,140,190,280,690,360
ルーキーシリーズ第１６戦11,110,120,260,360,200,210,160,740,1080,480
ルーキーシリーズ第１６戦12,410,150,110,610,140,100,300,250,2430,500
スポーツ報知杯1,1090,120,110,4140,530,210,640,250,17110,820
スポーツ報知杯2,610,640,280,10690,3900,850,920,540,69100,7140
スポーツ報知杯3,110,150,280,580,410,240,190,330,1980,530
スポーツ報知杯4,130,120,330,890,790,330,130,250,1840,480
スポーツ報知杯5,220,130,130,1090,560,290,260,630,2190,550
スポーツ報知杯6,160,140,510,1590,1070,220,230,640,5070,1330
スポーツ報知杯7,160,100,130,470,230,140,170,130,880,210
スポーツ報知杯8,330,120,120,190,200,110,270,200,1220,510
スポーツ報知杯9,300,100,110,300,140,140,140,130,600,190
スポーツ報知杯10,100,100,200,350,300,170,100,160,890,540
スポーツ報知杯11,480,160,110,650,320,160,160,340,5990,620
スポーツ報知杯12,110,100,140,230,260,150,180,370,760,490
第１４回ペラ坊ショップ杯1,100,100,170,230,250,120,110,730,990,440
第１４回ペラ坊ショップ杯2,150,120,170,420,240,120,220,240,1750,450
第１４回ペラ坊ショップ杯3,1010,110,100,670,260,170,340,270,1760,320
第１４回ペラ坊ショップ杯4,130,120,100,480,250,130,710,340,5880,1130
第１４回ペラ坊ショップ杯5,100,140,170,420,230,190,200,120,750,250
第１４回ペラ坊ショップ杯6,580,100,100,290,250,220,360,160,1320,380
第１４回ペラ坊ショップ杯7,100,100,100,470,210,200,310,390,1880,740
第１４回ペラ坊ショップ杯8,100,100,190,300,250,200,110,950,1120,570
第１４回ペラ坊ショップ杯9,120,100,160,430,300,220,380,980,1720,790
第１４回ペラ坊ショップ杯10,150,100,200,420,480,250,260,720,1270,620
第１４回ペラ坊ショップ杯11,480,260,120,520,160,140,160,100,2010,270
第１４回ペラ坊ショップ杯12,570,190,220,5010,2850,350,190,120,13790,390
日本ＭＢ選手会会長杯1,110,100,190,300,250,120,120,230,660,230
日本ＭＢ選手会会長杯2,100,190,1020,1920,1620,390,210,520,6500,1770
日本ＭＢ選手会会長杯3,830,750,210,4280,2310,900,340,190,13940,1720
日本ＭＢ選手会会長杯4,100,100,210,320,350,160,140,340,710,270
日本ＭＢ選手会会長杯5,100,130,850,3010,2470,340,170,1620,12240,1770
日本ＭＢ選手会会長杯6,840,370,130,3070,850,310,670,180,12190,1540
日本ＭＢ選手会会長杯7,170,110,120,350,280,100,230,220,1260,420
日本ＭＢ選手会会長杯8,140,130,360,830,470,160,290,560,3060,1140
日本ＭＢ選手会会長杯9,150,100,130,230,180,100,150,190,770,260
日本ＭＢ選手会会長杯10,170,110,130,250,220,160,190,220,790,340
日本ＭＢ選手会会長杯11,190,190,760,2140,1740,530,220,470,4790,930
日本ＭＢ選手会会長杯12,1890,760,520,7860,2360,360,220,150,20890,460
ポカリスエットカップ1,510,150,100,1790,310,170,480,160,6000,730
ポカリスエットカップ2,100,180,110,520,450,130,210,290,1150,260
ポカリスエットカップ3,290,300,350,530,930,150,200,290,1250,390
ポカリスエットカップ4,760,240,180,2450,720,150,300,220,10740,1070
ポカリスエットカップ5,100,100,100,390,130,130,150,120,380,190
ポカリスエットカップ6,180,120,390,910,920,200,410,350,7670,1340
ポカリスエットカップ7,1300,350,130,3880,690,160,350,190,15510,710
ポカリスエットカップ8,190,110,240,250,440,160,440,480,1790,1060
ポカリスエットカップ9,190,100,100,340,220,170,700,780,3230,2090
ポカリスエットカップ10,1480,110,110,3090,1470,510,2430,1500,11490,5130
ポカリスエットカップ11,120,110,220,280,240,160,180,120,630,240
ポカリスエットカップ12,140,100,450,490,450,190,190,420,1310,620
ＢＴＳながとオープン記念1,140,100,210,350,330,220,240,630,1320,610
ＢＴＳながとオープン記念2,110,110,210,1940,720,330,130,330,4180,1100
ＢＴＳながとオープン記念3,520,190,150,1340,1840,270,480,500,9320,2750
ＢＴＳながとオープン記念4,210,220,110,740,930,310,180,860,2830,1360
ＢＴＳながとオープン記念5,270,220,580,1620,1500,650,430,1720,10320,3260
ＢＴＳながとオープン記念6,160,110,310,1460,970,260,150,180,2770,580
ＢＴＳながとオープン記念7,100,260,360,380,210,120,180,200,990,430
ＢＴＳながとオープン記念8,100,100,170,270,220,120,130,280,840,360
ＢＴＳながとオープン記念9,110,100,120,340,260,120,140,180,770,240
ＢＴＳながとオープン記念10,220,100,150,650,530,160,140,590,1850,540
ＢＴＳながとオープン記念11,110,100,100,400,340,170,110,410,870,320
ＢＴＳながとオープン記念12,120,100,230,310,520,160,120,230,880,300
スポーツ報知杯争奪戦1,100,100,100,240,190,120,150,530,630,360
スポーツ報知杯争奪戦2,120,110,350,410,420,130,180,580,1450,480
スポーツ報知杯争奪戦3,150,100,630,690,610,180,1630,3200,18280,6430
スポーツ報知杯争奪戦4,1100,250,290,4820,2540,600,160,190,11180,560
スポーツ報知杯争奪戦5,280,220,100,730,170,210,490,560,6650,2450
スポーツ報知杯争奪戦6,2580,570,660,7640,4290,910,250,300,15270,1680
スポーツ報知杯争奪戦7,570,280,900,13270,4710,430,160,680,30040,1820
スポーツ報知杯争奪戦8,260,280,220,1940,280,300,410,210,6060,1500
スポーツ報知杯争奪戦9,100,110,160,880,1150,580,270,480,2800,700
スポーツ報知杯争奪戦10,390,120,140,4090,2110,180,260,300,10270,1540
スポーツ報知杯争奪戦11,980,120,270,620,140,120,350,170,1760,390
スポーツ報知杯争奪戦12,110,100,250,200,220,130,350,670,740,480
宮島チャンピオンカップ開設６６周年1,800,120,630,7760,4250,950,760,700,36080,5180
宮島チャンピオンカップ開設６６周年2,300,130,120,320,300,170,220,280,1330,590
宮島チャンピオンカップ開設６６周年3,170,100,520,2240,1810,360,150,480,6370,1080
宮島チャンピオンカップ開設６６周年4,120,130,210,340,250,110,670,670,2730,1510
宮島チャンピオンカップ開設６６周年5,160,120,140,530,390,180,530,860,4480,2040
宮島チャンピオンカップ開設６６周年6,420,130,190,630,230,160,350,470,2420,620
宮島チャンピオンカップ開設６６周年7,100,160,350,2710,2240,340,170,750,8380,1610
宮島チャンピオンカップ開設６６周年8,650,160,450,3580,4510,670,590,1670,19880,6790
宮島チャンピオンカップ開設６６周年9,140,100,170,560,440,230,290,480,2290,730
宮島チャンピオンカップ開設６６周年10,110,190,250,290,200,140,130,230,700,340
宮島チャンピオンカップ開設６６周年11,3960,330,100,22290,2240,370,480,120,55030,620
宮島チャンピオンカップ開設６６周年12,190,120,160,350,360,130,130,170,1040,370
日刊スポーツ杯争奪第２７回伊丹選手権競走1,190,210,380,1090,780,240,160,200,1850,420
日刊スポーツ杯争奪第２７回伊丹選手権競走2,250,100,160,1910,1170,210,120,230,2870,260
日刊スポーツ杯争奪第２７回伊丹選手権競走3,320,330,180,1200,600,190,200,190,3070,530
日刊スポーツ杯争奪第２７回伊丹選手権競走4,1830,860,100,2290,870,220,200,130,5570,460
日刊スポーツ杯争奪第２７回伊丹選手権競走5,390,170,120,1240,400,160,580,410,7550,960
日刊スポーツ杯争奪第２７回伊丹選手権競走6,140,100,140,190,160,140,230,260,850,380
日刊スポーツ杯争奪第２７回伊丹選手権競走7,240,220,150,320,230,130,100,120,830,200
日刊スポーツ杯争奪第２７回伊丹選手権競走8,250,100,120,510,190,170,280,160,1360,400
日刊スポーツ杯争奪第２７回伊丹選手権競走9,220,140,110,440,190,100,170,140,790,200
日刊スポーツ杯争奪第２７回伊丹選手権競走10,100,130,100,980,560,270,260,590,2420,820
日刊スポーツ杯争奪第２７回伊丹選手権競走11,160,100,210,370,370,190,240,550,1160,660
日刊スポーツ杯争奪第２７回伊丹選手権競走12,120,100,160,1390,1100,280,230,430,3890,1350
中京スポーツ杯争奪1,100,120,220,320,260,310,340,550,1240,390
中京スポーツ杯争奪2,300,170,180,510,410,170,170,130,1050,320
中京スポーツ杯争奪3,130,100,150,440,660,170,340,1090,1460,650
中京スポーツ杯争奪4,210,100,100,430,170,100,110,190,580,210
中京スポーツ杯争奪5,870,310,100,5890,790,520,230,160,10690,500
中京スポーツ杯争奪6,220,100,100,260,170,100,250,310,910,450
中京スポーツ杯争奪7,120,100,210,600,560,160,280,800,1950,750
中京スポーツ杯争奪8,100,110,200,260,310,100,110,150,500,160
中京スポーツ杯争奪9,270,100,100,290,280,120,250,270,1090,400
中京スポーツ杯争奪10,1700,190,220,2360,1300,160,120,180,3700,330
中京スポーツ杯争奪11,110,100,100,220,180,120,140,180,480,220
中京スポーツ杯争奪12,630,150,100,1440,240,190,480,170,4750,500
ヴィーナスシリーズ第１２戦マンスリーボートレース杯1,380,230,190,3280,1130,310,320,200,14350,960
ヴィーナスシリーズ第１２戦マンスリーボートレース杯2,460,300,250,900,620,270,810,590,5240,2200
ヴィーナスシリーズ第１２戦マンスリーボートレース杯3,540,210,110,1210,300,140,180,150,3560,360
ヴィーナスシリーズ第１２戦マンスリーボートレース杯4,100,130,280,330,300,140,110,270,780,310
ヴィーナスシリーズ第１２戦マンスリーボートレース杯5,150,100,320,1730,980,270,160,220,3600,360
ヴィーナスシリーズ第１２戦マンスリーボートレース杯6,150,120,320,1350,1190,420,140,410,3070,800
ヴィーナスシリーズ第１２戦マンスリーボートレース杯7,100,100,100,270,230,100,140,170,490,190
ヴィーナスシリーズ第１２戦マンスリーボートレース杯8,1110,200,250,1450,920,280,330,330,2950,840
ヴィーナスシリーズ第１２戦マンスリーボートレース杯9,330,340,790,1340,950,150,100,130,2620,230
ヴィーナスシリーズ第１２戦マンスリーボートレース杯10,190,110,120,560,180,140,250,230,1650,470
ヴィーナスシリーズ第１２戦マンスリーボートレース杯11,100,180,330,820,840,110,140,270,2000,390
ヴィーナスシリーズ第１２戦マンスリーボートレース杯12,1540,250,130,3010,1270,190,170,130,5930,440
第４回住信ＳＢＩネット銀行賞1,1040,100,100,420,150,120,190,220,1140,340
第４回住信ＳＢＩネット銀行賞2,120,100,410,620,670,130,100,140,1400,260
第４回住信ＳＢＩネット銀行賞3,990,120,-1,6110,3140,510,1170,620,32430,6060
第４回住信ＳＢＩネット銀行賞4,150,130,430,560,260,230,180,320,1570,510
第４回住信ＳＢＩネット銀行賞5,1490,1210,450,4840,1830,340,700,520,31590,3620
第４回住信ＳＢＩネット銀行賞6,180,100,100,360,170,110,140,100,500,150
第４回住信ＳＢＩネット銀行賞7,110,100,110,310,190,150,260,480,1610,1010
第４回住信ＳＢＩネット銀行賞8,400,220,110,1000,310,150,570,280,4860,1050
第４回住信ＳＢＩネット銀行賞9,100,100,310,740,640,240,290,500,2820,1380
第４回住信ＳＢＩネット銀行賞10,130,100,100,570,190,150,200,140,3540,480
第４回住信ＳＢＩネット銀行賞11,1050,110,100,1030,250,110,200,140,1780,290
第４回住信ＳＢＩネット銀行賞12,120,110,510,720,710,260,150,450,2200,1050
第３３回キリンカップ1,320,160,120,610,370,130,250,180,1560,430
第３３回キリンカップ2,110,100,310,970,740,330,310,690,4120,2160
第３３回キリンカップ3,420,220,220,890,460,330,210,380,2410,820
第３３回キリンカップ4,260,210,110,1000,560,180,250,190,1880,440
第３３回キリンカップ5,100,110,330,270,230,180,350,520,1040,690
第３３回キリンカップ6,140,390,210,1140,780,300,300,470,3440,1450
第３３回キリンカップ7,160,210,280,2180,1020,630,450,1240,11480,2250
第３３回キリンカップ8,4740,330,110,2500,1170,340,1230,470,15970,2690
第３３回キリンカップ9,140,100,270,860,950,220,230,250,2560,950
第３３回キリンカップ10,220,100,240,320,370,140,150,300,700,250
第３３回キリンカップ11,400,130,190,530,690,140,120,200,1460,290
第３３回キリンカップ12,190,100,230,410,270,240,240,380,940,460
第２回日本一しょうゆ杯1,240,160,130,350,230,160,210,210,1270,370
第２回日本一しょうゆ杯2,150,120,100,740,320,170,700,470,5830,2140
第２回日本一しょうゆ杯3,420,130,130,1040,470,210,770,290,9310,2100
第２回日本一しょうゆ杯4,180,210,100,290,200,210,410,380,1040,480
第２回日本一しょうゆ杯5,330,360,240,1890,480,150,240,180,6860,780
第２回日本一しょうゆ杯6,130,100,140,420,460,220,270,300,1250,640
第２回日本一しょうゆ杯7,150,130,140,520,320,150,640,380,2340,1200
第２回日本一しょうゆ杯8,100,100,170,250,220,100,150,300,770,370
第２回日本一しょうゆ杯9,160,140,150,320,250,200,200,1030,1420,790
第２回日本一しょうゆ杯10,110,100,270,2660,1540,350,160,390,6000,1510
第２回日本一しょうゆ杯11,150,170,610,360,290,110,350,740,1160,670
第２回日本一しょうゆ杯12,100,150,410,590,450,200,150,340,1380,440
