レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
2020-09-22福　岡日刊スポーツ杯争奪戦1R,100,100,110,390,280,100,120,120,570,210
2020-09-22福　岡日刊スポーツ杯争奪戦2R,100,100,350,450,540,150,180,670,1140,540
2020-09-22福　岡日刊スポーツ杯争奪戦3R,340,190,210,1260,600,190,1860,1260,11960,3020
2020-09-22福　岡日刊スポーツ杯争奪戦4R,230,180,120,710,320,150,390,450,6080,1810
2020-09-22福　岡日刊スポーツ杯争奪戦5R,360,120,130,1260,840,170,360,550,5110,1340
2020-09-22福　岡日刊スポーツ杯争奪戦6R,200,100,150,250,240,140,140,300,700,370
2020-09-22福　岡日刊スポーツ杯争奪戦7R,2170,180,100,2130,570,510,1900,490,7900,1040
2020-09-22福　岡日刊スポーツ杯争奪戦8R,130,100,240,490,420,140,110,160,570,180
2020-09-22福　岡日刊スポーツ杯争奪戦9R,470,130,150,1590,630,150,150,120,2560,220
2020-09-22福　岡日刊スポーツ杯争奪戦10R,220,140,480,800,580,470,200,870,2670,1040
2020-09-22福　岡日刊スポーツ杯争奪戦11R,110,100,120,150,190,120,190,210,420,250
2020-09-22福　岡日刊スポーツ杯争奪戦12R,100,100,170,290,300,140,130,380,770,350
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ1R,100,100,160,200,220,130,230,300,590,390
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ2R,140,100,130,190,160,110,210,270,680,320
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ3R,130,100,100,170,160,110,150,430,580,420
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ4R,100,100,160,220,210,120,140,230,470,250
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ5R,800,140,230,1650,1030,350,400,760,4790,1290
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ6R,150,140,350,700,400,340,740,910,4230,3390
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ7R,140,100,120,900,630,150,160,240,1890,400
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ8R,120,100,100,270,210,130,160,140,630,310
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ9R,610,500,710,7310,5610,1620,420,2390,100220,8190
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ10R,240,1380,280,21550,2610,1470,800,160,105350,2000
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ11R,170,100,170,470,480,260,600,1850,5270,2600
2020-09-22芦　屋ＢＯＡＴＢｏｙカップ12R,290,100,130,270,240,160,190,360,860,440
