レースID,単勝,複勝1,複勝2,2連単,2連複,拡連複12,拡連複13,拡連複23,3連単,3連複
2020-08-20大　村ヴィーナスシリーズ第１０戦1R,1250,290,140,2850,1160,260,510,420,15260,2350
2020-08-20大　村ヴィーナスシリーズ第１０戦2R,130,100,120,320,190,-1,-1,-1,360,-1
2020-08-20大　村ヴィーナスシリーズ第１０戦3R,170,120,100,630,300,100,140,150,920,160
2020-08-20大　村ヴィーナスシリーズ第１０戦4R,440,120,180,1460,1180,180,100,120,2620,160
2020-08-20大　村ヴィーナスシリーズ第１０戦5R,890,160,300,4540,1220,320,3410,2610,56690,14880
2020-08-20大　村ヴィーナスシリーズ第１０戦6R,540,180,120,1720,330,150,320,220,4730,650
2020-08-20大　村ヴィーナスシリーズ第１０戦7R,180,110,350,1380,740,370,580,1350,10140,4370
2020-08-20大　村ヴィーナスシリーズ第１０戦8R,120,100,130,290,270,100,190,300,830,340
2020-08-20大　村ヴィーナスシリーズ第１０戦9R,110,240,730,1020,820,260,140,580,2420,740
2020-08-20大　村ヴィーナスシリーズ第１０戦10R,100,100,120,300,350,160,170,430,1150,460
2020-08-20大　村ヴィーナスシリーズ第１０戦11R,2070,330,100,9750,1340,300,410,140,26720,710
2020-08-20大　村ヴィーナスシリーズ第１０戦12R,140,100,630,2160,1380,250,110,310,4960,680
2020-08-20唐　津か・らっキーバトル２ｎｄ1R,100,130,580,240,250,130,160,310,530,260
2020-08-20唐　津か・らっキーバトル２ｎｄ2R,170,100,110,370,120,120,180,160,770,250
2020-08-20唐　津か・らっキーバトル２ｎｄ3R,550,160,100,880,390,170,300,180,3200,390
2020-08-20唐　津か・らっキーバトル２ｎｄ4R,190,180,160,230,140,140,300,250,830,370
2020-08-20唐　津か・らっキーバトル２ｎｄ5R,250,160,210,580,560,130,270,270,3460,900
2020-08-20唐　津か・らっキーバトル２ｎｄ6R,120,100,300,1100,900,260,220,710,2760,1870
2020-08-20唐　津か・らっキーバトル２ｎｄ7R,360,150,150,1890,610,130,120,130,3440,230
2020-08-20唐　津か・らっキーバトル２ｎｄ8R,2020,330,100,9730,1800,380,350,170,17250,680
2020-08-20唐　津か・らっキーバトル２ｎｄ9R,180,100,100,370,210,130,150,120,800,180
2020-08-20唐　津か・らっキーバトル２ｎｄ10R,770,390,630,7910,5870,490,940,630,36540,5910
2020-08-20唐　津か・らっキーバトル２ｎｄ11R,400,110,100,530,160,150,400,350,2710,890
2020-08-20唐　津か・らっキーバトル２ｎｄ12R,620,290,730,7850,2880,270,140,290,17850,600
2020-08-20下　関トランスワードトロフィー２０２０お盆特選1R,100,100,210,220,260,100,120,220,600,370
2020-08-20下　関トランスワードトロフィー２０２０お盆特選2R,900,150,100,2260,340,100,220,190,4690,330
2020-08-20下　関トランスワードトロフィー２０２０お盆特選3R,160,100,380,300,290,190,160,300,710,360
2020-08-20下　関トランスワードトロフィー２０２０お盆特選4R,150,110,170,330,210,190,410,1040,5340,3390
2020-08-20下　関トランスワードトロフィー２０２０お盆特選5R,100,100,170,320,230,110,120,160,500,180
2020-08-20下　関トランスワードトロフィー２０２０お盆特選6R,100,100,300,590,480,150,110,280,1450,390
2020-08-20下　関トランスワードトロフィー２０２０お盆特選7R,130,100,250,1710,1340,330,160,500,4230,1420
2020-08-20下　関トランスワードトロフィー２０２０お盆特選8R,550,210,100,1970,610,190,520,210,8020,1320
